DPTR_REGN_NM,DPTR_REGN_DTL_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
의성군,문화관광,문화관광,105782,0,1239873,1113.0,0.0,105782,325.0,8.5
의성군,쇼핑,쇼핑,57390,0,1239873,1113.0,0.0,57390,240.0,4.6
의성군,숙박,숙박,66941,0,1239873,1113.0,0.0,66941,259.0,5.4
의성군,역사관광,역사관광,133104,0,1239873,1113.0,0.0,133104,365.0,10.7
의성군,음식,음식,260268,0,1239873,1113.0,0.0,260268,510.0,21.0
의성군,자연관광,자연관광,103998,0,1239873,1113.0,0.0,103998,322.0,8.4
의성군,체험관광,체험관광,25905,0,1239873,1113.0,0.0,25905,161.0,2.1
의왕시,기타관광,기타관광,253381,0,14847520,3853.0,0.4,253381,503.0,1.7
의왕시,레저스포츠,레저스포츠,263679,0,14847520,3853.0,0.4,263679,513.0,1.8
의왕시,문화관광,문화관광,981383,0,14847520,3853.0,0.4,981383,991.0,6.6
의왕시,쇼핑,쇼핑,2992881,0,14847520,3853.0,0.4,2992881,1730.0,20.2
의왕시,숙박,숙박,321291,0,14847520,3853.0,0.4,321291,567.0,2.2
의왕시,역사관광,역사관광,368136,0,14847520,3853.0,0.4,368136,607.0,2.5
의왕시,음식,음식,8304609,0,14847520,3853.0,0.4,8304609,2882.0,55.9
의왕시,자연관광,자연관광,1302599,0,14847520,3853.0,0.4,1302599,1141.0,8.8
의왕시,체험관광,체험관광,59561,0,14847520,3853.0,0.4,59561,244.0,0.4
의정부시,기타관광,기타관광,474884,0,17896972,4230.0,0.5,474884,689.0,2.7
의정부시,레저스포츠,레저스포츠,451924,0,17896972,4230.0,0.5,451924,672.0,2.5
의정부시,문화관광,문화관광,1632892,0,17896972,4230.0,0.5,1632892,1278.0,9.1
의정부시,쇼핑,쇼핑,2727715,0,17896972,4230.0,0.5,2727715,1652.0,15.2
의정부시,숙박,숙박,885356,0,17896972,4230.0,0.5,885356,941.0,4.9
의정부시,역사관광,역사관광,103531,0,17896972,4230.0,0.5,103531,322.0,0.6
의정부시,음식,음식,11572458,0,17896972,4230.0,0.5,11572458,3402.0,64.7
의정부시,자연관광,자연관광,29693,0,17896972,4230.0,0.5,29693,172.0,0.2
의정부시,체험관광,체험관광,18519,0,17896972,4230.0,0.5,18519,136.0,0.1
이천시,기타관광,기타관광,1779024,0,24439869,4944.0,0.7,1779024,1334.0,7.3
이천시,레저스포츠,레저스포츠,5012921,0,24439869,4944.0,0.7,5012921,2239.0,20.5
이천시,문화관광,문화관광,1523116,0,24439869,4944.0,0.7,1523116,1234.0,6.2
이천시,쇼핑,쇼핑,3925210,0,24439869,4944.0,0.7,3925210,1981.0,16.1
이천시,숙박,숙박,1396318,0,24439869,4944.0,0.7,1396318,1182.0,5.7
이천시,역사관광,역사관광,343460,0,24439869,4944.0,0.7,343460,586.0,1.4
이천시,음식,음식,9490745,0,24439869,4944.0,0.7,9490745,3081.0,38.8
이천시,자연관광,자연관광,89355,0,24439869,4944.0,0.7,89355,299.0,0.4
이천시,체험관광,체험관광,879720,0,24439869,4944.0,0.7,879720,938.0,3.6
익산시,기타관광,기타관광,2019613,0,8900829,2983.0,0.3,2019613,1421.0,22.7
익산시,레저스포츠,레저스포츠,429396,0,8900829,2983.0,0.3,429396,655.0,4.8
익산시,문화관광,문화관광,1261665,0,8900829,2983.0,0.3,1261665,1123.0,14.2
익산시,쇼핑,쇼핑,259618,0,8900829,2983.0,0.3,259618,510.0,2.9
익산시,숙박,숙박,674644,0,8900829,2983.0,0.3,674644,821.0,7.6
익산시,역사관광,역사관광,345973,0,8900829,2983.0,0.3,345973,588.0,3.9
익산시,음식,음식,3807336,0,8900829,2983.0,0.3,3807336,1951.0,42.8
익산시,자연관광,자연관광,33651,0,8900829,2983.0,0.3,33651,183.0,0.4
익산시,체험관광,체험관광,68933,0,8900829,2983.0,0.3,68933,263.0,0.8
인제군,기타관광,기타관광,517560,0,4260630,2064.0,0.1,517560,719.0,12.1
