DPTR_REGN_NM,DPTR_REGN_DTL_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,_YEAR
강화군,역사관광,역사관광,212300,0,1421816,1192.0,0.7,212300,461.0,14.9,2018
강화군,음식,음식,303877,0,1421816,1192.0,0.7,303877,551.0,21.4,2018
강화군,자연관광,자연관광,277173,0,1421816,1192.0,0.7,277173,526.0,19.5,2018
강화군,체험관광,체험관광,59990,0,1421816,1192.0,0.7,59990,245.0,4.2,2018
거제시,기타관광,기타관광,132362,0,987693,994.0,0.5,132362,364.0,13.4,2018
거제시,레저스포츠,레저스포츠,27236,0,987693,994.0,0.5,27236,165.0,2.8,2018
거제시,문화관광,문화관광,178278,0,987693,994.0,0.5,178278,422.0,18.0,2018
거제시,쇼핑,쇼핑,34152,0,987693,994.0,0.5,34152,185.0,3.5,2018
거제시,숙박,숙박,182354,0,987693,994.0,0.5,182354,427.0,18.5,2018
거제시,역사관광,역사관광,61432,0,987693,994.0,0.5,61432,248.0,6.2,2018
거제시,음식,음식,178971,0,987693,994.0,0.5,178971,423.0,18.1,2018
거제시,자연관광,자연관광,179219,0,987693,994.0,0.5,179219,423.0,18.1,2018
거제시,체험관광,체험관광,13689,0,987693,994.0,0.5,13689,117.0,1.4,2018
거창군,기타관광,기타관광,22088,0,70271,265.0,0.0,22088,149.0,31.4,2018
거창군,레저스포츠,레저스포츠,3489,0,70271,265.0,0.0,3489,59.0,5.0,2018
거창군,문화관광,문화관광,3935,0,70271,265.0,0.0,3935,63.0,5.6,2018
거창군,쇼핑,쇼핑,2909,0,70271,265.0,0.0,2909,54.0,4.1,2018
거창군,숙박,숙박,6168,0,70271,265.0,0.0,6168,79.0,8.8,2018
거창군,역사관광,역사관광,2043,0,70271,265.0,0.0,2043,45.0,2.9,2018
거창군,음식,음식,13867,0,70271,265.0,0.0,13867,118.0,19.7,2018
거창군,자연관광,자연관광,7936,0,70271,265.0,0.0,7936,89.0,11.3,2018
거창군,체험관광,체험관광,7836,0,70271,265.0,0.0,7836,89.0,11.2,2018
경산시,기타관광,기타관광,60160,0,280556,530.0,0.1,60160,245.0,21.4,2018
경산시,레저스포츠,레저스포츠,25036,0,280556,530.0,0.1,25036,158.0,8.9,2018
경산시,문화관광,문화관광,24796,0,280556,530.0,0.1,24796,157.0,8.8,2018
경산시,쇼핑,쇼핑,25220,0,280556,530.0,0.1,25220,159.0,9.0,2018
경산시,숙박,숙박,11837,0,280556,530.0,0.1,11837,109.0,4.2,2018
경산시,역사관광,역사관광,21402,0,280556,530.0,0.1,21402,146.0,7.6,2018
경산시,음식,음식,100014,0,280556,530.0,0.1,100014,316.0,35.6,2018
경산시,자연관광,자연관광,7564,0,280556,530.0,0.1,7564,87.0,2.7,2018
경산시,체험관광,체험관광,4527,0,280556,530.0,0.1,4527,67.0,1.6,2018
경주시,기타관광,기타관광,247228,0,2616275,1617.0,1.4,247228,497.0,9.4,2018
경주시,레저스포츠,레저스포츠,110362,0,2616275,1617.0,1.4,110362,332.0,4.2,2018
경주시,문화관광,문화관광,410799,0,2616275,1617.0,1.4,410799,641.0,15.7,2018
경주시,쇼핑,쇼핑,47411,0,2616275,1617.0,1.4,47411,218.0,1.8,2018
경주시,숙박,숙박,396727,0,2616275,1617.0,1.4,396727,630.0,15.2,2018
경주시,역사관광,역사관광,559724,0,2616275,1617.0,1.4,559724,748.0,21.4,2018
경주시,음식,음식,768117,0,2616275,1617.0,1.4,768117,876.0,29.4,2018
경주시,자연관광,자연관광,64100,0,2616275,1617.0,1.4,64100,253.0,2.5,2018
경주시,체험관광,체험관광,11807,0,2616275,1617.0,1.4,11807,109.0,0.5,2018
계룡시,기타관광,기타관광,16994,0,75680,275.0,0.0,16994,130.0,22.5,2018
계룡시,레저스포츠,레저스포츠,21279,0,75680,275.0,0.0,21279,146.0,28.1,2018
계룡시,문화관광,문화관광,4071,0,75680,275.0,0.0,4071,64.0,5.4,2018
계룡시,쇼핑,쇼핑,6502,0,75680,275.0,0.0,6502,81.0,8.6,2018
계룡시,숙박,숙박,2030,0,75680,275.0,0.0,2030,45.0,2.7,2018
계룡시,역사관광,역사관광,707,0,75680,275.0,0.0,707,27.0,0.9,2018
계룡시,음식,음식,23762,0,75680,275.0,0.0,23762,154.0,31.4,2018
계룡시,자연관광,자연관광,335,0,75680,275.0,0.0,335,18.0,0.4,2018
계양구,기타관광,기타관광,13576,0,449015,670.0,0.2,13576,117.0,3.0,2018
계양구,레저스포츠,레저스포츠,12188,0,449015,670.0,0.2,12188,110.0,2.7,2018
계양구,문화관광,문화관광,117136,0,449015,670.0,0.2,117136,342.0,26.1,2018
계양구,쇼핑,쇼핑,40257,0,449015,670.0,0.2,40257,201.0,9.0,2018
계양구,숙박,숙박,22675,0,449015,670.0,0.2,22675,151.0,5.0,2018
계양구,역사관광,역사관광,2560,0,449015,670.0,0.2,2560,51.0,0.6,2018
계양구,음식,음식,227382,0,449015,670.0,0.2,227382,477.0,50.6,2018
계양구,자연관광,자연관광,12003,0,449015,670.0,0.2,12003,110.0,2.7,2018
계양구,체험관광,체험관광,1238,0,449015,670.0,0.2,1238,35.0,0.3,2018
고령군,기타관광,기타관광,7078,0,45250,213.0,0.0,7078,84.0,15.6,2018
고령군,레저스포츠,레저스포츠,10543,0,45250,213.0,0.0,10543,103.0,23.3,2018
고령군,문화관광,문화관광,15656,0,45250,213.0,0.0,15656,125.0,34.6,2018
고령군,쇼핑,쇼핑,1863,0,45250,213.0,0.0,1863,43.0,4.1,2018
고령군,숙박,숙박,3251,0,45250,213.0,0.0,3251,57.0,7.2,2018
고령군,역사관광,역사관광,525,0,45250,213.0,0.0,525,23.0,1.2,2018
고령군,음식,음식,4462,0,45250,213.0,0.0,4462,67.0,9.9,2018
고령군,자연관광,자연관광,1636,0,45250,213.0,0.0,1636,40.0,3.6,2018
고령군,체험관광,체험관광,236,0,45250,213.0,0.0,236,15.0,0.5,2018
고성군,기타관광,기타관광,58665,0,819488,905.0,0.4,58665,242.0,7.2,2018
고성군,레저스포츠,레저스포츠,52618,0,819488,905.0,0.4,52618,229.0,6.4,2018
고성군,문화관광,문화관광,94623,0,819488,905.0,0.4,94623,308.0,11.5,2018
고성군,쇼핑,쇼핑,8544,0,819488,905.0,0.4,8544,92.0,1.0,2018
고성군,숙박,숙박,213666,0,819488,905.0,0.4,213666,462.0,26.1,2018
고성군,역사관광,역사관광,46701,0,819488,905.0,0.4,46701,216.0,5.7,2018
고성군,음식,음식,168404,0,819488,905.0,0.4,168404,410.0,20.5,2018
고성군,자연관광,자연관광,172573,0,819488,905.0,0.4,172573,415.0,21.1,2018
고성군,체험관광,체험관광,3694,0,819488,905.0,0.4,3694,61.0,0.5,2018
고양시,기타관광,기타관광,376918,0,5620452,2371.0,2.9,376918,614.0,6.7,2018
고양시,레저스포츠,레저스포츠,231810,0,5620452,2371.0,2.9,231810,481.0,4.1,2018
고양시,문화관광,문화관광,1188964,0,5620452,2371.0,2.9,1188964,1090.0,21.2,2018
고양시,쇼핑,쇼핑,1735470,0,5620452,2371.0,2.9,1735470,1317.0,30.9,2018
고양시,숙박,숙박,95316,0,5620452,2371.0,2.9,95316,309.0,1.7,2018
