region,visits,night,weekend,야간비중,주말비중
경산시,31656815.0,7595844.0,10498349.0,23.99434055510638,33.162998235924874
상주시,12236982.0,2763743.0,4570272.0,22.585168467192318,37.34803238249431
의성군,6632405.0,1162249.0,2604223.0,17.523794159132322,39.2651383623286
청송군,4838022.0,1183359.0,2043197.0,24.459562192978865,42.23207335559863
수성구,49853568.0,11884912.0,16831741.0,23.839641728351317,33.76235979739705
중구,382415499.0,71966480.0,120395099.0,18.818923445359626,31.48279798146989
단양군,8439726.0,1856876.0,3942527.0,22.00161474436492,46.71392175527973
영동군,6595423.0,1254044.0,2585228.0,19.01385248527653,39.19730394851096
삼척시,11322887.0,2926383.0,4274868.0,25.844848579695267,37.754222929187584
화천군,4861117.0,941845.0,1831411.0,19.375073671339322,37.67469493122671
안산시 상록구,31153435.0,7396591.0,9932013.0,23.742457292430192,31.88095630546038
금산군,10072703.0,1853132.0,4111193.0,18.39756418907616,40.81519131458557
서산시,18163070.0,4264428.0,6955446.0,23.47856392118733,38.294440312127854
연제구,26421148.0,6139523.0,8232180.0,23.237154570270754,31.157540921386158
진도군,4021254.0,1128243.0,1413793.0,28.05699416152275,35.158012898464015
용인시 기흥구,58515625.0,11659115.0,19194505.0,19.924789319092124,32.80235834445928
거창군,6574413.0,1519427.0,2752944.0,23.11121920694669,41.87360909635583
순창군,4196885.0,743186.0,1746716.0,17.708038223587256,41.61934387051349
대덕구,23402555.0,4495666.0,7071443.0,19.210150344695272,30.216542595455927
인제군,9502592.0,1823202.0,4104955.0,19.18636515173965,43.198266325650934
철원군,6377300.0,1532336.0,2385559.0,24.02797422106534,37.40703746099447
김포시,47667124.0,9683366.0,15740448.0,20.314558940035905,33.02160205847536
양주시,29263281.0,5626422.0,10187900.0,19.22690077028615,34.81461972770586
보령시,15764009.0,4469473.0,6967909.0,28.352388025152734,44.20137669294657
미추홀구,48415186.0,11498896.0,15403795.0,23.750597591425137,31.81604011600823
의왕시,24520133.0,4031674.0,7902535.0,16.44230070040811,32.228760749380925
하남시,48312586.0,8604218.0,17430596.0,17.809475154155482,36.07878907579073
남원시,9638761.0,2145808.0,3778549.0,22.262280390602072,39.20160485356987
창녕군,9184239.0,1805284.0,3579587.0,19.656326452305954,38.975325010596954
구미시,26384932.0,6810509.0,8757449.0,25.812115035960677,33.19109937444599
봉화군,4130762.0,982370.0,1678920.0,23.781810716763637,40.64431695653247
보은군,6281104.0,1291524.0,2550569.0,20.562054059286396,40.60701749246629
충주시,23403549.0,6164101.0,8807726.0,26.33831732101828,37.634146855248325
원주시,30466270.0,7985889.0,11015761.0,26.212230771932372,36.15723552637064
수원시 장안구,35328688.0,7284330.0,11117857.0,20.618739082526925,31.46977040302204
사하구,24125725.0,6010899.0,7750411.0,24.914894785545304,32.125090541320525
강진군,5392781.0,989477.0,2052862.0,18.3481769424718,38.06685270549648
광양시,12304049.0,2891778.0,4304189.0,23.50265347610368,34.98189092062296
여수시,23939437.0,7188502.0,8790217.0,30.027865734687076,36.71856192775127
완도군,5537627.0,1576564.0,2020205.0,28.470028768640432,36.48142065184239
부안군,9304913.0,2386877.0,3915666.0,25.65179276797107,42.08170457907559
전주시 덕진구,33741419.0,8090469.0,10702713.0,23.977856414396797,31.71980704190301
함안군,9714355.0,1529726.0,3324474.0,15.747067098124374,34.22228238519181
영덕군,9503326.0,2233110.0,4207038.0,23.498194211163543,44.269111677322236
영주시,8883763.0,2270832.0,3387749.0,25.561600416400122,38.134166793958826
칠곡군,17661279.0,2857649.0,6138270.0,16.18030608089029,34.7555236514864
달성군,29376285.0,5937683.0,10550526.0,20.212504746600874,35.915113160156224
기장군,35265536.0,5540596.0,14764948.0,15.71107837408171,41.867924536862276
사상구,29395692.0,5574100.0,8883471.0,18.962302367299262,30.22031595650138
홍성군,11889258.0,2574364.0,4356464.0,21.652856721588513,36.642017525399815
증평군,5470959.0,1001927.0,1817736.0,18.313553437340694,33.225180448254136
세종특별자치시,27456585.0,6146494.0,8873848.0,22.386229023019432,32.319561955720275
고성군,19070705.0,4523022.0,7665716.0,23.717120054030513,40.19629059334723
양양군,13805480.0,3286647.0,5988717.0,23.806828882443785,43.3792740274152
시흥시,51582158.0,10698237.0,17156650.0,20.740188884691484,33.260822472762776
당진시,18560705.0,4209814.0,7223153.0,22.68132595178901,38.916371980482424
남동구,53820380.0,12606214.0,17395951.0,23.422751753146297,32.322237412667846
목포시,23609841.0,7252762.0,8122571.0,30.719232713172445,34.40332783266097
평택시,42319964.0,10074049.0,12534321.0,23.804483860146952,29.617985969931354
포천시,26015612.0,5612182.0,9518441.0,21.57236201093405,36.587419123563194
화순군,11632673.0,2128565.0,4273499.0,18.29815898719065,36.73703369810189
통영시,16292170.0,4440544.0,6662992.0,27.25569399288124,40.89689709842212
울진군,7538371.0,2259195.0,3051452.0,29.96927320239346,40.4789310581822
제천시,13675691.0,3385026.0,5445194.0,24.75213866706991,39.81659135176424
춘천시,29784161.0,7548213.0,11360844.0,25.343043908472023,38.143911456831034
광명시,39709327.0,7996958.0,13628307.0,20.138739697099375,34.320166141319895
광주시,45215067.0,9291637.0,16005446.0,20.549868918694735,35.39847900700888
논산시,15101701.0,3001467.0,5299295.0,19.875025998726898,35.090715939879885
서천군,9153658.0,1785507.0,3734710.0,19.505939592674316,40.80019157368562
광진구,72715914.0,16401405.0,24359613.0,22.55545464229467,33.49969994188618
구로구,61859446.0,12862071.0,19770413.0,20.792412204920165,31.96021671451762
중랑구,37263007.0,9476097.0,12099197.0,25.430306791934427,32.46972795298028
옹진군,5125791.0,1375080.0,2370349.0,26.82668879788505,46.24357489409927
담양군,13458735.0,1837954.0,5683276.0,13.656216576074943,42.22741587526614
영광군,6696183.0,1506277.0,2507710.0,22.49456145389097,37.449842693964605
의정부시,42947389.0,9910630.0,14891166.0,23.0762107563745,34.673041474069585
김제시,10475850.0,1667445.0,3578028.0,15.917037758272597,34.15501367430805
익산시,22542080.0,5448506.0,7556646.0,24.170378243711315,33.52239899778547
전주시 완산구,39789339.0,10349360.0,14083761.0,26.01038433938297,35.395815446946735
사천시,15751588.0,3225692.0,6137879.0,20.478519372142035,38.966731481295724
하동군,6819353.0,1285401.0,2979342.0,18.849310191157432,43.689511307011095
영양군,1650010.0,474055.0,610371.0,28.730431936776142,36.99195762449924
청도군,9198694.0,1692714.0,4289205.0,18.401677455517053,46.62841268553993
남구,124870261.0,28461181.0,37955223.0,22.792601514623247,30.395726489271937
서구,199645062.0,46218466.0,63476451.0,23.150317637207575,31.794651149448416
고양시 일산서구,43983318.0,8724181.0,14693013.0,19.83520433815384,33.40587674627003
안양시 만안구,36158777.0,7151442.0,11470170.0,19.77788684611761,31.721675763535917
도봉구,31242439.0,7533739.0,10218790.0,24.11379918193967,32.708041776123814
