업종,2024,2026,전국중앙_변화율,중앙대비_부족_억
일반외식업,4253.694340746549,4527.93580795053,0.026656257493741675,18.862229657211284
육상운송,4127.280815662149,3998.0447390449785,0.13939339778959936,-82.61793912041482
기타관광쇼핑,3497.821097962664,3442.2112425458236,0.0022993267537668727,-7.464089461449524
대형쇼핑몰,1427.1794831139146,968.84024576525,-0.11554090774617287,-34.40988040949714
제과음료업,808.228602913527,850.9518593740299,0.09581898541620537,-4.071421054395987
골프장,563.0899616453422,380.3147144643601,-0.09077616090982854,-15.438874365361833
기타숙박,229.95632646449766,360.7975806886257,-0.08350848096872665,17.594692979181822
뷰티,257.75962456507096,257.35840902067076,0.07242479837101068,-2.2361378543413255
레저용품쇼핑,199.78710074858878,160.7326327322691,-0.08229829655024334,-2.6515923606408482
기타레저,136.70713902576972,126.30910724531293,0.007075704534017957,-1.3327341850756604
문화서비스,46.097480686185676,26.251646724051007,-0.06581436432665178,-1.9714225984012457
여행업,3.6406925135534984,15.41891431850014,-0.495257415846172,1.592585819340671
호텔,9.466323053713278,10.009370380047878,-0.11379955271851472,0.19000268286086514
캠핑장/펜션,6.854181129767824,6.17372282095172,-0.1123497580979157,0.01050762958781741
렌터카,3.637629474222092,2.5642333241687583,0.025755671834709504,-0.13685611530276118
