시군,업종,2024,2026
가평군,일반외식업,5050.210905122523,5952.00939157407
가평군,육상운송,2709.2462967693436,2584.0799690184276
가평군,기타관광쇼핑,4062.573883513719,3912.1572013920736
가평군,대형쇼핑몰,132.84836069709928,115.48191936220631
가평군,제과음료업,2147.2241777469976,1345.542261855375
가평군,골프장,2193.6974825724055,2031.769275270086
가평군,기타숙박,379.03557330691115,379.0350466501517
가평군,뷰티,47.17202335924494,63.83823434213394
가평군,레저용품쇼핑,32.92392905209092,31.410839994492974
가평군,기타레저,272.1296191843821,354.2951487124595
가평군,문화서비스,8.877795911392038,12.354733989739064
가평군,여행업,6.129626361077015,0.0
가평군,호텔,494.9023599439949,510.61105179611974
가평군,캠핑장/펜션,136.37643514275007,146.71245900503382
가평군,렌터카,0.0,0.05373679886868937
강릉시,일반외식업,8816.444683111053,10579.999778431262
강릉시,육상운송,3131.8168093288446,3626.3595513739274
강릉시,기타관광쇼핑,4763.5656301546105,5154.568508783894
강릉시,대형쇼핑몰,950.7395968627176,674.6733614172399
강릉시,제과음료업,1630.0326248625256,1952.6252015850214
강릉시,골프장,256.3322655421937,241.3973136989685
강릉시,기타숙박,1166.1257754952296,839.8967954397336
강릉시,뷰티,265.3601331332941,263.42282289940283
강릉시,레저용품쇼핑,230.3979963897449,228.4792754187784
강릉시,기타레저,192.84726844055885,165.54300750848319
강릉시,문화서비스,282.1013947743031,246.79417214471857
강릉시,여행업,7.66962781738017,4.480875028883808
강릉시,호텔,435.6168988200781,409.4134266422631
강릉시,캠핑장/펜션,62.36001691886248,341.06428426887277
강릉시,렌터카,8.80934248602869,11.779407326863222
강진군,일반외식업,2823.1535695677517,2757.2004282241373
강진군,육상운송,1443.9730818635317,1512.5458878810812
강진군,기타관광쇼핑,2754.114069343348,2806.666591363477
강진군,대형쇼핑몰,0.0,5.833738087976716
강진군,제과음료업,353.6807379015409,414.03074127204655
강진군,골프장,803.9497645049962,799.8744946842223
강진군,기타숙박,206.9425887426682,163.94884905350168
강진군,뷰티,31.336827497975207,45.71079308064093
강진군,레저용품쇼핑,61.205486801446504,47.4500457466876
강진군,기타레저,106.53608258059191,111.70926944610738
강진군,문화서비스,12.085046454162303,9.182721934187523
강진군,여행업,1.9314201406263702,0.0
강진군,호텔,24.67719386939184,30.705879547528234
강진군,캠핑장/펜션,3.9729786893787367,20.131303661366577
강진군,렌터카,0.7116437190155123,0.9136786988612903
강화군,일반외식업,5939.046869624381,5929.263219168558
강화군,육상운송,767.0582251995679,818.9956527004911
강화군,기타관광쇼핑,4328.017384201645,4336.981185395641
강화군,대형쇼핑몰,0.0,0.0
강화군,제과음료업,1091.748986125547,1080.2568284761057
강화군,골프장,443.7775282722183,325.5382539238355
강화군,기타숙박,157.03991721290706,137.21718313348546
강화군,뷰티,129.92206753784097,131.16231171852382
강화군,레저용품쇼핑,50.16179836193607,80.53424960517522
강화군,기타레저,315.985696290491,327.5860462692897
강화군,문화서비스,100.64832664820608,86.35405492041222
강화군,여행업,0.0,0.0
강화군,호텔,0.3590885623357709,4.030197496929907
강화군,캠핑장/펜션,100.17764050439206,77.346321978965
강화군,렌터카,1.2828735787966408,2.6330853680712436
거제시,일반외식업,4679.951785171014,4619.358856186017
