FSTV_ID,FSTV_REPS_NM,BASE_YEAR,FSTV_PERD_CNT,TOT_LOCAL,TOT_OUT,TOT_FORE,TOTAL_COL,PRE_TOTAL,TOTAL_AVG,PRE_TOTAL_AVG,TOTAL_AVG_VAR,PRE_VAL,GROTH_VAL,LOCAL_TOU_NUM_RAT,OUT_TOU_NUM_RAT,FORE_TOU_NUM_RAT,GROTH_VAL_RATE,GROTH_MARK,DISP_YN,SIDO_NM,지역,FSTV_BGNG_YMD,FSTV_END_YMD,시작월,일평균,외지인_일평균,FSTV_YEAR,SGG_NM,외지인소비,외지인_방문당소비
KCTF0048,영도다리축제,2019,3,53349.0,32784.0,0.0,86133.0,99921.0,28711.0,33307.0,-13.8,99921.0,-13788.0,61.94,38.06,0.0,-13.8,▼,N,부산광역시,영도구,2019-10-11,2019-10-13,10,28711.0,10928.0,2019,영도구,165379469.29999995,5044.517731210345
KCTF0048,영도다리축제,2022,3,62502.0,36257.0,647.0,99406.0,86133.0,33135.3333,28711.0,15.4,86133.0,13273.0,62.88,36.47,0.65,15.41,▲,N,부산광역시,영도구,2022-10-14,2022-10-16,10,33135.333333333336,12085.666666666666,2022,영도구,215040449.3,5931.0050279945945
KCTF0048,영도다리축제,2023,3,60899.0,36403.0,3625.0,100927.0,99406.0,33642.3333,33135.3333,1.5,99406.0,1521.0,60.34,36.07,3.59,1.53,▲,N,부산광역시,영도구,2023-10-13,2023-10-15,10,33642.333333333336,12134.333333333334,2023,영도구,165635825.5,4550.059761558114
KCTF0049,영동난계국악축제,2018,4,92918.0,44896.0,0.0,137814.0,,34453.5,,,,137814.0,67.42,32.58,0.0,0.0,,N,충청북도,영동군,2018-10-11,2018-10-14,10,34453.5,11224.0,2018,영동군,291082561.9000001,6483.485430773345
KCTF0049,영동난계국악축제,2019,4,88518.0,45423.0,0.0,133941.0,137814.0,33485.25,34453.5,-2.8,137814.0,-3873.0,66.09,33.91,0.0,-2.81,▼,N,충청북도,영동군,2019-10-03,2019-10-06,10,33485.25,11355.75,2019,영동군,327962670.1,7220.189553750303
KCTF0049,영동난계국악축제,2022,4,99615.0,48682.0,189.0,148486.0,133941.0,37121.5,33485.25,10.9,133941.0,14545.0,67.09,32.79,0.13,10.86,▲,N,충청북도,영동군,2022-10-06,2022-10-09,10,37121.5,12170.5,2022,영동군,377748058.4,7759.501630992974
KCTF0049,영동난계국악축제,2023,4,102361.0,46733.0,446.0,149540.0,148486.0,37385.0,37121.5,0.7,148486.0,1054.0,68.45,31.25,0.3,0.71,▲,N,충청북도,영동군,2023-10-12,2023-10-15,10,37385.0,11683.25,2023,영동군,463988769.5000001,9928.503830269834
KCTF0049,영동난계국악축제,2024,5,123565.0,51671.0,1367.0,176603.0,149540.0,35320.6,37385.0,-5.5,149540.0,27063.0,69.97,29.26,0.77,18.1,▲,N,충청북도,영동군,2024-10-09,2024-10-13,10,35320.6,10334.2,2024,영동군,489392600.1999999,9471.320473766715
KCTF0049,영동난계국악축제,2025,30,59157.0,74001.0,1343.0,134501.0,176603.0,4483.3667,35320.6,-87.3,176603.0,-42102.0,43.98,55.02,1.0,-23.84,▼,N,충청북도,,2025-09-12,2025-10-11,9,4483.366666666667,2466.7,2025,영동군,294683456.8,3982.1550627694223
KCTF0050,영산강서창들녘억새축제,2018,3,52910.0,68684.0,0.0,121594.0,,40531.3333,,,,121594.0,43.51,56.49,0.0,0.0,,N,광주광역시,서구,2018-10-12,2018-10-14,10,40531.333333333336,22894.666666666668,2018,서구,893557716.6,13009.692455302546
KCTF0050,영산강서창들녘억새축제,2019,3,51733.0,67105.0,0.0,118838.0,121594.0,39612.6667,40531.3333,-2.3,121594.0,-2756.0,43.53,56.47,0.0,-2.27,▼,N,광주광역시,서구,2019-10-11,2019-10-13,10,39612.666666666664,22368.333333333332,2019,서구,882486031.9,13150.823811936518
KCTF0050,영산강서창들녘억새축제,2022,4,77392.0,87811.0,243.0,165446.0,118838.0,41361.5,39612.6667,4.4,118838.0,46608.0,46.78,53.08,0.15,39.22,▲,N,광주광역시,서구,2022-10-07,2022-10-10,10,41361.5,21952.75,2022,서구,1209302435.9999998,13771.650886563184
KCTF0050,영산강서창들녘억새축제,2023,5,103247.0,108290.0,549.0,212086.0,165446.0,42417.2,41361.5,2.6,165446.0,46640.0,48.68,51.06,0.26,28.19,▲,N,광주광역시,서구,2023-10-06,2023-10-10,10,42417.2,21658.0,2023,서구,1363244890.6,12588.834523963431
KCTF0051,영암왕인문화축제,2018,4,22126.0,35965.0,0.0,58091.0,,14522.75,,,,58091.0,38.09,61.91,0.0,0.0,,N,전라남도,영암군,2018-04-05,2018-04-08,4,14522.75,8991.25,2018,영암군,31518483.4,876.3654497428055
KCTF0051,영암왕인문화축제,2019,4,30602.0,70264.0,0.0,100866.0,58091.0,25216.5,14522.75,73.6,58091.0,42775.0,30.34,69.66,0.0,73.63,▲,N,전라남도,영암군,2019-04-04,2019-04-07,4,25216.5,17566.0,2019,영암군,38338282.0,545.6319310030741
KCTF0051,영암왕인문화축제,2023,4,35281.0,86880.0,242.0,122403.0,100866.0,30600.75,25216.5,21.4,100866.0,21537.0,28.82,70.98,0.2,21.35,▲,N,전라남도,영암군,2023-03-30,2023-04-02,3,30600.75,21720.0,2023,영암군,67285243.1,774.4618220534069
KCTF0051,영암왕인문화축제,2024,4,26306.0,51657.0,192.0,78155.0,122403.0,19538.75,30600.75,-36.1,122403.0,-44248.0,33.66,66.1,0.25,-36.15,▼,N,전라남도,영암군,2024-03-28,2024-03-31,3,19538.75,12914.25,2024,영암군,57344070.599999994,1110.0929322260292
KCTF0052,영주풍기인삼축제,2018,9,116342.0,131075.0,0.0,247417.0,,27490.7778,,,,247417.0,47.02,52.98,0.0,0.0,,N,경상북도,영주시,2018-10-20,2018-10-28,10,27490.777777777777,14563.888888888889,2018,영주시,1700900687.3000002,12976.545392332635
