FSTV_ID,FSTV_REPS_NM,BASE_YEAR,FSTV_PERD_CNT,TOT_LOCAL,TOT_OUT,TOT_FORE,TOTAL_COL,TOTAL_AVG,PRE_VAL,GROTH_VAL,LOCAL_TOU_NUM_RAT,OUT_TOU_NUM_RAT,FORE_TOU_NUM_RAT,GROTH_VAL_RATE,GROTH_MARK,DISP_YN,PRE_TOTAL,PRE_TOTAL_AVG,TOTAL_AVG_VAR
KCTF0007,광안리어방축제,2019,3,50017.0,76617.0,0.0,126634.0,42211.3333,153620,-26986.0,39.5,60.5,0.0,-17.57,▼,N,153620.0,51206.6667,-17.6
KCTF0007,광안리어방축제,2022,3,68438.0,104937.0,1570.0,174945.0,58315.0,126634,48311.0,39.12,59.98,0.9,38.15,▲,N,126634.0,42211.3333,38.2
KCTF0007,광안리어방축제,2023,3,64075.0,115398.0,2501.0,181974.0,60658.0,174945,7029.0,35.21,63.41,1.37,4.02,▲,N,174945.0,58315.0,4.0
KCTF0007,광안리어방축제,2024,3,62252.0,132857.0,3381.0,198490.0,66163.3333,181974,16516.0,31.36,66.93,1.7,9.08,▲,N,181974.0,60658.0,9.1
KCTF0007,광안리어방축제,2025,3,56674.0,112218.0,5361.0,174253.0,58084.3333,198490,-24237.0,32.52,64.4,3.08,-12.21,▼,N,198490.0,66163.3333,-12.2
KCTF0008,광주김치축제,2018,4,48686.0,33154.0,0.0,81840.0,20460.0,N/A,81840.0,59.49,40.51,0.0,0.0,,N,,,
KCTF0008,광주김치축제,2019,3,40874.0,29360.0,0.0,70234.0,23411.3333,81840,-11606.0,58.2,41.8,0.0,-14.18,▼,N,81840.0,20460.0,14.4
KCTF0008,광주김치축제,2022,4,159300.0,170000.0,452.0,329752.0,82438.0,70234,259518.0,48.31,51.55,0.14,369.5,▲,N,70234.0,23411.3333,252.1
KCTF0008,광주김치축제,2023,4,148203.0,160224.0,1858.0,310285.0,77571.25,329752,-19467.0,47.76,51.64,0.6,-5.9,▼,N,329752.0,82438.0,-5.9
KCTF0008,광주김치축제,2024,3,121341.0,157684.0,1186.0,280211.0,93403.6667,310285,-30074.0,43.3,56.27,0.42,-9.69,▼,N,310285.0,77571.25,20.4
KCTF0008,광주김치축제,2025,3,130082.0,160917.0,1144.0,292143.0,97381.0,280211,11932.0,44.53,55.08,0.39,4.26,▲,N,280211.0,93403.6667,4.3
KCTF0009,괴산고추축제,2018,4,38254.0,53578.0,0.0,91832.0,22958.0,N/A,91832.0,41.66,58.34,0.0,0.0,,N,,,
KCTF0009,괴산고추축제,2019,4,39975.0,70971.0,0.0,110946.0,27736.5,91832,19114.0,36.03,63.97,0.0,20.81,▲,N,91832.0,22958.0,20.8
KCTF0009,괴산고추축제,2022,4,50340.0,61335.0,93.0,111768.0,27942.0,110946,822.0,45.04,54.88,0.08,0.74,▲,N,110946.0,27736.5,0.7
KCTF0009,괴산고추축제,2023,4,52928.0,79873.0,481.0,133282.0,33320.5,111768,21514.0,39.71,59.93,0.36,19.25,▲,N,111768.0,27942.0,19.2
KCTF0009,괴산고추축제,2024,4,51251.0,82457.0,306.0,134014.0,33503.5,133282,732.0,38.24,61.53,0.23,0.55,▲,N,133282.0,33320.5,0.5
KCTF0009,괴산고추축제,2025,4,55874.0,70056.0,228.0,126158.0,31539.5,134014,-7856.0,44.29,55.53,0.18,-5.86,▼,N,134014.0,33503.5,-5.9
KCTF0010,군산시간여행축제,2018,3,93059.0,36403.0,0.0,129462.0,43154.0,N/A,129462.0,71.88,28.12,0.0,0.0,,N,,,
KCTF0010,군산시간여행축제,2019,3,90067.0,53838.0,0.0,143905.0,47968.3333,129462,14443.0,62.59,37.41,0.0,11.16,▲,N,129462.0,43154.0,11.2
KCTF0010,군산시간여행축제,2022,4,134175.0,76724.0,72.0,210971.0,52742.75,143905,67066.0,63.6,36.37,0.03,46.6,▲,N,143905.0,47968.3333,10.0
KCTF0010,군산시간여행축제,2023,4,179570.0,75490.0,236.0,255296.0,63824.0,210971,44325.0,70.34,29.57,0.09,21.01,▲,N,210971.0,52742.75,21.0
KCTF0011,금산인삼축제,2018,10,215278.0,224894.0,0.0,440172.0,44017.2,N/A,440172.0,48.91,51.09,0.0,0.0,,N,,,
KCTF0011,금산인삼축제,2019,10,232728.0,225600.0,0.0,458328.0,45832.8,440172,18156.0,50.78,49.22,0.0,4.12,▲,N,440172.0,44017.2,4.1
KCTF0011,금산인삼축제,2022,11,300315.0,267140.0,339.0,567794.0,51617.6364,458328,109466.0,52.89,47.05,0.06,23.88,▲,N,458328.0,45832.8,12.6
KCTF0011,금산인삼축제,2023,10,297531.0,253536.0,1854.0,552921.0,55292.1,567794,-14873.0,53.81,45.85,0.34,-2.62,▼,N,567794.0,51617.6364,7.1
KCTF0011,금산인삼축제,2024,11,310502.0,260864.0,1346.0,572712.0,52064.7273,552921,19791.0,54.22,45.55,0.24,3.58,▲,N,552921.0,55292.1,-5.8
KCTF0011,금산인삼축제,2025,10,274139.0,232531.0,1545.0,508215.0,50821.5,572712,-64497.0,53.94,45.75,0.3,-11.26,▼,N,572712.0,52064.7273,-2.4
KCTF0012,금호강바람소리길축제,2019,2,55369.0,54782.0,0.0,110151.0,55075.5,N/A,110151.0,50.27,49.73,0.0,0.0,,N,,,
KCTF0012,금호강바람소리길축제,2022,2,59401.0,69725.0,73.0,129199.0,64599.5,110151,19048.0,45.98,53.97,0.06,17.29,▲,N,110151.0,55075.5,17.3
KCTF0012,금호강바람소리길축제,2023,3,97531.0,102436.0,599.0,200566.0,66855.3333,129199,71367.0,48.63,51.07,0.3,55.24,▲,N,129199.0,64599.5,3.5
KCTF0013,김제지평선축제,2018,5,43630.0,69298.0,0.0,112928.0,22585.6,N/A,112928.0,38.64,61.36,0.0,0.0,,N,,,
KCTF0013,김제지평선축제,2019,10,71992.0,112269.0,0.0,184261.0,18426.1,112928,71333.0,39.07,60.93,0.0,63.17,▲,N,112928.0,22585.6,-18.4
KCTF0013,김제지평선축제,2022,5,59096.0,89065.0,59.0,148220.0,29644.0,184261,-36041.0,39.87,60.09,0.04,-19.56,▼,N,184261.0,18426.1,60.9
KCTF0013,김제지평선축제,2023,5,57094.0,89480.0,186.0,146760.0,29352.0,148220,-1460.0,38.9,60.97,0.13,-0.99,▼,N,148220.0,29644.0,-1.0
KCTF0013,김제지평선축제,2024,5,49781.0,80609.0,222.0,130612.0,26122.4,146760,-16148.0,38.11,61.72,0.17,-11.0,▼,N,146760.0,29352.0,-11.0
KCTF0013,김제지평선축제,2025,5,52839.0,124614.0,245.0,177698.0,35539.6,130612,47086.0,29.74,70.13,0.14,36.05,▲,N,130612.0,26122.4,36.1
KCTF0014,김해분청도자기축제,2018,10,90070.0,64702.0,0.0,154772.0,15477.2,N/A,154772.0,58.2,41.8,0.0,0.0,,N,,,
KCTF0014,김해분청도자기축제,2019,10,69983.0,41811.0,0.0,111794.0,11179.4,154772,-42978.0,62.6,37.4,0.0,-27.77,▼,N,154772.0,15477.2,-27.8
KCTF0014,김해분청도자기축제,2022,10,115497.0,67566.0,1323.0,184386.0,18438.6,111794,72592.0,62.64,36.64,0.72,64.93,▲,N,111794.0,11179.4,64.9
KCTF0014,김해분청도자기축제,2023,10,107345.0,57788.0,2435.0,167568.0,16756.8,184386,-16818.0,64.06,34.49,1.45,-9.12,▼,N,184386.0,18438.6,-9.1
KCTF0014,김해분청도자기축제,2024,6,72218.0,36355.0,1469.0,110042.0,18340.3333,167568,-57526.0,65.63,33.04,1.33,-34.33,▼,N,167568.0,16756.8,9.5
KCTF0014,김해분청도자기축제,2025,6,87684.0,48666.0,1909.0,138259.0,23043.1667,110042,28217.0,63.42,35.2,1.38,25.64,▲,N,110042.0,18340.3333,25.6
KCTF0015,남원춘향제,2018,5,40355.0,44830.0,0.0,85185.0,17037.0,N/A,85185.0,47.37,52.63,0.0,0.0,,N,,,
KCTF0015,남원춘향제,2019,5,42233.0,35639.0,0.0,77872.0,15574.4,85185,-7313.0,54.23,45.77,0.0,-8.58,▼,N,85185.0,17037.0,-8.6
KCTF0015,남원춘향제,2022,5,59276.0,51267.0,32.0,110575.0,22115.0,77872,32703.0,53.61,46.36,0.03,42.0,▲,N,77872.0,15574.4,42.0
KCTF0015,남원춘향제,2023,5,70626.0,63884.0,246.0,134756.0,26951.2,110575,24181.0,52.41,47.41,0.18,21.87,▲,N,110575.0,22115.0,21.9
KCTF0016,담양대나무축제,2018,6,73102.0,166564.0,0.0,239666.0,39944.3333,N/A,239666.0,30.5,69.5,0.0,0.0,,N,,,
KCTF0016,담양대나무축제,2019,6,77130.0,208406.0,0.0,285536.0,47589.3333,239666,45870.0,27.01,72.99,0.0,19.14,▲,N,239666.0,39944.3333,19.1
KCTF0016,담양대나무축제,2023,5,85117.0,126686.0,326.0,212129.0,42425.8,285536,-73407.0,40.13,59.72,0.15,-25.71,▼,N,285536.0,47589.3333,-10.9
KCTF0016,담양대나무축제,2024,5,90142.0,167207.0,423.0,257772.0,51554.4,212129,45643.0,34.97,64.87,0.16,21.52,▲,N,212129.0,42425.8,21.5
KCTF0016,담양대나무축제,2025,5,84791.0,260085.0,663.0,345539.0,69107.8,257772,87767.0,24.54,75.27,0.19,34.05,▲,N,257772.0,51554.4,34.0
KCTF0017,대구약령시한방문화축제,2018,5,68570.0,222713.0,0.0,291283.0,58256.6,N/A,291283.0,23.54,76.46,0.0,0.0,,N,,,
KCTF0017,대구약령시한방문화축제,2019,5,70912.0,234411.0,0.0,305323.0,61064.6,291283,14040.0,23.23,76.77,0.0,4.82,▲,N,291283.0,58256.6,4.8
KCTF0017,대구약령시한방문화축제,2022,5,57047.0,181569.0,500.0,239116.0,47823.2,305323,-66207.0,23.86,75.93,0.21,-21.68,▼,N,305323.0,61064.6,-21.7
KCTF0017,대구약령시한방문화축제,2023,3,31703.0,106142.0,1307.0,139152.0,46384.0,239116,-99964.0,22.78,76.28,0.94,-41.81,▼,N,239116.0,47823.2,-3.0
KCTF0017,대구약령시한방문화축제,2024,5,80781.0,199660.0,3400.0,283841.0,56768.2,139152,144689.0,28.46,70.34,1.2,103.98,▲,N,139152.0,46384.0,22.4
KCTF0017,대구약령시한방문화축제,2025,4,69651.0,190674.0,2854.0,263179.0,65794.75,283841,-20662.0,26.47,72.45,1.08,-7.28,▼,N,283841.0,56768.2,15.9
KCTF0018,대구치맥페스티벌,2018,5,105973.0,147276.0,0.0,253249.0,50649.8,N/A,253249.0,41.85,58.15,0.0,0.0,,N,,,
KCTF0018,대구치맥페스티벌,2019,5,108254.0,140051.0,0.0,248305.0,49661.0,253249,-4944.0,43.6,56.4,0.0,-1.95,▼,N,253249.0,50649.8,-2.0
KCTF0018,대구치맥페스티벌,2022,5,85961.0,141431.0,110.0,227502.0,45500.4,248305,-20803.0,37.78,62.17,0.05,-8.38,▼,N,248305.0,49661.0,-8.4
KCTF0018,대구치맥페스티벌,2023,5,96663.0,130011.0,2076.0,228750.0,45750.0,227502,1248.0,42.26,56.84,0.91,0.55,▲,N,227502.0,45500.4,0.5
KCTF0018,대구치맥페스티벌,2024,5,100824.0,132578.0,870.0,234272.0,46854.4,228750,5522.0,43.04,56.59,0.37,2.41,▲,N,228750.0,45750.0,2.4
KCTF0018,대구치맥페스티벌,2025,5,101963.0,136937.0,606.0,239506.0,47901.2,234272,5234.0,42.57,57.17,0.25,2.23,▲,N,234272.0,46854.4,2.2
KCTF0019,대전사이언스페스티벌,2018,4,111622.0,68855.0,0.0,180477.0,45119.25,N/A,180477.0,61.85,38.15,0.0,0.0,,N,,,
