FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2023,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,99,전체,3,1076519132.3000004,1076519,358839711,358840
2023,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,3,내국인,3,1032889810.2000003,1032890,344296603,344297
2023,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,2,외국인,3,43629322.099999994,43629,14543107,14543
2023,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,1,외지인,3,1028408573.2000003,1028409,342802858,342803
2023,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,0,현지인,3,4481237,4481,1493746,1494
2024,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,99,전체,3,1195574472.3,1195574,398524824,398525
2024,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,3,내국인,3,1124032770.3999996,1124033,374677590,374678
2024,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,2,외국인,3,71541701.89999999,71542,23847234,23847
2024,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,1,외지인,3,1109808480.4999998,1109808,369936160,369936
2024,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,0,현지인,3,14224289.899999999,14224,4741430,4741
2025,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,99,전체,3,1148279138.2,1148279,382759713,382760
2025,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,3,내국인,3,1052630020.6000001,1052630,350876674,350877
2025,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,2,외국인,3,95649117.6,95649,31883039,31883
2025,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,1,외지인,3,1050600883.7000002,1050601,350200295,350200
2025,KCTF0007,광안리어방축제,광안리어방축제,26,부산광역시,수영구,광안2동,0,현지인,3,2029136.9,2029,676379,676
2018,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,99,전체,4,315621874.59999996,315622,78905469,78906
2018,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,3,내국인,4,315621874.59999996,315622,78905469,78906
2018,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,1,외지인,4,305637273.09999996,305637,76409318,76409
2018,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,0,현지인,4,9984601.5,9985,2496150,2496
2019,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,99,전체,3,285273752.5,285274,95091251,95091
2019,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,3,내국인,3,285273752.5,285274,95091251,95091
2019,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,1,외지인,3,280587800,280588,93529267,93529
2019,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,남구,송암동,0,현지인,3,4685952.5,4686,1561984,1562
2022,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,99,전체,4,3378441831.6,3378442,844610458,844610
2022,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,3,내국인,4,3350379229.5,3350379,837594807,837595
2022,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,2,외국인,4,28062602.1,28063,7015651,7016
2022,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,1,외지인,4,3177456790.1000004,3177457,794364198,794364
2022,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,0,현지인,4,172922439.4,172922,43230610,43230
2023,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,99,전체,4,2860554370.7,2860554,715138593,715138
2023,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,3,내국인,4,2798466951.5,2798467,699616738,699617
2023,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,2,외국인,4,62087419.2,62087,15521855,15522
2023,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,1,외지인,4,2682737233.8,2682737,670684308,670684
2023,KCTF0008,광주김치축제,광주세계김치축제,29,전남광주통합특별시,서구,치평동,0,현지인,4,115729717.70000002,115730,28932429,28932
2024,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,99,전체,3,2656599214.8,2656599,885533072,885533
2024,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,3,내국인,3,2600831076.1000004,2600831,866943692,866944
2024,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,2,외국인,3,55768138.7,55768,18589380,18589
2024,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,1,외지인,3,2527052245.6000004,2527052,842350749,842351
2024,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,0,현지인,3,73778830.5,73779,24592944,24593
2025,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,99,전체,3,2527768804.200001,2527769,842589601,842590
2025,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,3,내국인,3,2468327581.1000004,2468328,822775860,822776
2025,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,2,외국인,3,59441223.1,59441,19813741,19814
2025,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,1,외지인,3,2402421086.6000004,2402421,800807029,800807
2025,KCTF0008,광주김치축제,광주김치축제,29,전남광주통합특별시,서구,치평동,0,현지인,3,65906494.5,65906,21968832,21969
2018,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,99,전체,4,342737906.6,342738,85684477,85684
2018,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,3,내국인,4,342702476.6,342702,85675619,85676
2018,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,2,외국인,4,35430,35,8858,9
2018,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,1,외지인,4,341985947.70000005,341986,85496487,85496
2018,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,0,현지인,4,716528.9,717,179132,179
2019,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,99,전체,4,345575781.7,345576,86393945,86394
2019,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,3,내국인,4,342797751.29999995,342798,85699438,85700
2019,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,2,외국인,4,2778030.4,2778,694508,694
2019,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,1,외지인,4,342797751.29999995,342798,85699438,85700
2022,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,99,전체,4,416770863.4,416771,104192716,104193
2022,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,3,내국인,4,416467773.4,416468,104116943,104117
2022,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,2,외국인,4,303090,303,75772,76
2022,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,1,외지인,4,416148717.4,416149,104037179,104037
2022,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,0,현지인,4,319056,319,79764,80
2023,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,99,전체,4,534230536.5,534231,133557634,133558
2023,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,3,내국인,4,532486720.5,532487,133121680,133122
2023,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,2,외국인,4,1743816,1744,435954,436
2023,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,1,외지인,4,529585627.7,529586,132396407,132396
2023,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,0,현지인,4,2901092.8000000003,2901,725273,725
2024,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,99,전체,4,489494261.90000004,489494,122373565,122374
2024,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,3,내국인,4,488967781.6,488968,122241945,122242
2024,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,2,외국인,4,526480.3,526,131620,132
2024,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,1,외지인,4,488022037.29999995,488022,122005509,122006
2024,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,0,현지인,4,945744.3,946,236436,236
2025,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,99,전체,4,411478600.1999999,411479,102869650,102870
2025,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,3,내국인,4,410617649.1999999,410618,102654412,102654
2025,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,2,외국인,4,860951,861,215238,215
2025,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,1,외지인,4,409973961.29999995,409974,102493490,102494
2025,KCTF0009,괴산고추축제,괴산고추축제,43,충청북도,괴산군,괴산읍,0,현지인,4,643687.9,644,160922,161
2018,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,99,전체,3,274108492.7,274108,91369498,91369
2018,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,3,내국인,3,271196199.3,271196,90398733,90399
2018,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,2,외국인,3,2912293.4,2912,970764,971
2018,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,1,외지인,3,247079016.20000002,247079,82359672,82360
2018,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,0,현지인,3,24117183.1,24117,8039061,8039
2019,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,99,전체,3,416839963.09999985,416840,138946654,138947
2019,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,3,내국인,3,414062451.69999987,414062,138020817,138021
2019,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,2,외국인,3,2777511.4,2778,925837,926
2019,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,1,외지인,3,403566103.1999999,403566,134522034,134522
2019,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,0,현지인,3,10496348.5,10496,3498783,3499
2022,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,99,전체,4,679546108.4,679546,169886527,169886
2022,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,3,내국인,4,673941090.5,673941,168485273,168485
2022,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,2,외국인,4,5605017.9,5605,1401254,1401
2022,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,1,외지인,4,656835388.5,656835,164208847,164209
2022,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,0,현지인,4,17105702,17106,4276426,4276
2023,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,99,전체,4,544096429.6000001,544096,136024107,136024
2023,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,3,내국인,4,538718442.1000001,538718,134679611,134680
2023,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,2,외국인,4,5377987.5,5378,1344497,1344
2023,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,1,외지인,4,534450247.0000001,534450,133612562,133612
2023,KCTF0010,군산시간여행축제,군산시간여행축제,52,전북특별자치도,군산시,월명동,0,현지인,4,4268195.1,4268,1067049,1067
2018,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,99,전체,10,2375936411.8000007,2375936,237593641,237594
2018,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,3,내국인,10,2373436661.4000006,2373437,237343666,237344
2018,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,2,외국인,10,2499750.4,2500,249975,250
2018,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,1,외지인,10,2348346914.3000007,2348347,234834691,234835
2018,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,0,현지인,10,25089747.099999998,25090,2508975,2509
2019,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,99,전체,10,2287291737.3,2287292,228729174,228729
2019,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,3,내국인,10,2277327508.6000004,2277328,227732751,227733
