FSTV_ID,FSTV_REPS_NM,SIDO_CD,SIDO_NM,ADONG_NM1,ADONG_NM2,ADONG_NM3,ADONG_NM4,ADONG_NM5,FSTV_BGNG_YMD,FSTV_END_YMD,BASE_YEAR,ROWNUM,FLOOR_VAR,MOD_VAR,PAGING_VAR
KCTF0050,영산강서창들녘억새축제,29,광주광역시,서구 서창동,,,,,2018-10-12,2018-10-14,2018,50,5,0,5
KCTF0051,영암왕인문화축제,46,전라남도,영암군 군서면,,,,,2018-04-05,2018-04-08,2018,51,5,1,6
KCTF0052,영주풍기인삼축제,47,경상북도,영주시 풍기읍,,,,,2018-10-20,2018-10-28,2018,52,5,2,6
KCTF0053,울산고래축제,31,울산광역시,남구 야음장생포동,,,,,2018-07-05,2018-07-08,2018,53,5,3,6
KCTF0054,울산쇠부리축제,31,울산광역시,북구 효문동,,,,,2018-05-11,2018-05-13,2018,54,5,4,6
KCTF0055,울산옹기축제,31,울산광역시,울주군 온양읍,,,,,2018-05-04,2018-05-07,2018,55,5,5,6
KCTF0056,원주다이내믹댄싱카니발,51,강원특별자치도,원주시 명륜1동,,,,,2018-09-11,2018-09-16,2018,56,5,6,6
KCTF0057,원주한지문화제,51,강원특별자치도,원주시 무실동,,,,,2018-05-03,2018-05-06,2018,57,5,7,6
KCTF0058,음성품바축제,43,충청북도,음성군 음성읍,,,,,2018-05-23,2018-05-27,2018,58,5,8,6
KCTF0059,이천쌀문화축제,41,경기도,이천시 관고동,,,,,2018-10-17,2018-10-21,2018,59,5,9,6
KCTF0060,인천펜타포트음악축제,28,인천광역시,연수구 송도2동,,,,,2018-08-10,2018-08-12,2018,60,6,0,6
KCTF0061,임실N치즈축제,52,전북특별자치도,임실군 성수면,,,,,2018-10-06,2018-10-09,2018,61,6,1,7
KCTF0062,정남진장흥물축제,46,전라남도,장흥군 장흥읍,,,,,2018-07-27,2018-08-02,2018,62,6,2,7
KCTF0063,정선아리랑제,51,강원특별자치도,정선군 정선읍,,,,,2018-10-03,2018-10-09,2018,63,6,3,7
KCTF0064,제주들불축제,50,제주특별자치도,제주시 애월읍,,,,,2018-03-01,2018-03-04,2018,64,6,4,7
KCTF0065,지용제,43,충청북도,옥천군 옥천읍,,,,,2018-05-10,2018-05-13,2018,65,6,5,7
KCTF0066,진도신비의바닷길축제,46,전라남도,진도군 고군면,,,,,2018-05-16,2018-05-19,2018,66,6,6,7
KCTF0067,진안홍삼축제,52,전북특별자치도,진안군 진안읍,,,,,2018-10-18,2018-10-21,2018,67,6,7,7
KCTF0068,진주유등축제,48,경상남도,진주시 성북동,,,,,2018-10-01,2018-10-14,2018,68,6,8,7
KCTF0069,천안흥타령축제,44,충청남도,천안시 동남구 청룡동,,,,,2018-09-12,2018-09-16,2018,69,6,9,7
KCTF0070,청송사과축제,47,경상북도,청송군 청송읍,,,,,2018-11-01,2018-11-04,2018,70,7,0,7
KCTF0071,추억의충장축제,29,광주광역시,동구 충장동,,,,,2018-10-07,2018-10-09,2018,71,7,1,8
KCTF0072,춘천마임축제,51,강원특별자치도,춘천시 강남동,,,,,2018-05-20,2018-05-27,2018,72,7,2,8
KCTF0073,탐라입춘굿축제,50,제주특별자치도,제주시 삼도2동,,,,,2018-02-02,2018-02-04,2018,73,7,3,8
KCTF0074,탐라문화제,50,제주특별자치도,제주시 일도1동,,,,,2018-10-10,2018-10-14,2018,74,7,4,8
KCTF0075,태백산눈축제,51,강원특별자치도,태백시 문곡소도동,,,,,2018-01-19,2018-02-11,2018,75,7,5,8
KCTF0076,통영한산대첩축제,48,경상남도,통영시 중앙동,,,,,2018-08-10,2018-08-14,2018,76,7,6,8
KCTF0077,평창송어축제,51,강원특별자치도,평창군 진부면,,,,,-,-,2018,77,7,7,8
KCTF0078,평창효석문화제,51,강원특별자치도,평창군 봉평면,,,,,2018-09-01,2018-09-09,2018,78,7,8,8
KCTF0079,포항국제불빛축제,47,경상북도,포항시 북구 두호동,,,,,2018-07-25,2018-07-29,2018,79,7,9,8
KCTF0080,하동야생차문화축제,48,경상남도,하동군 화개면,,,,,2018-05-19,2018-05-22,2018,80,8,0,8
KCTF0081,한산모시문화제,44,충청남도,서천군 한산면,,,,,2018-06-22,2018-06-25,2018,81,8,1,9
KCTF0082,한성백제문화제,11,서울특별시,송파구 오륜동,,,,,2018-10-12,2018-10-14,2018,82,8,2,9
KCTF0083,함평나비축제,46,전라남도,함평군 함평읍,,,,,2018-04-27,2018-05-07,2018,83,8,3,9
KCTF0084,화성뱃놀이축제,41,경기도,화성시 서신면,,,,,2018-05-26,2018-06-03,2018,84,8,4,9
KCTF0085,화천산천어축제,51,강원특별자치도,화천군 화천읍,,,,,2018-01-06,2018-01-28,2018,85,8,5,9
KCTF0086,횡성한우축제,51,강원특별자치도,횡성군 횡성읍,,,,,2018-10-05,2018-10-09,2018,86,8,6,9
KCTF0001,강경젓갈축제,44,충청남도,,논산시 강경읍,,,,-,-,2019,87,8,7,9
KCTF0002,강릉커피축제,51,강원특별자치도,,강릉시 포남2동,,,,2019-10-03,2019-10-06,2019,88,8,8,9
KCTF0003,강진청자축제,46,전라남도,,강진군 대구면,,,,2019-10-03,2019-10-09,2019,89,8,9,9
KCTF0004,고령대가야축제,47,경상북도,,고령군 대가야읍,,,,2019-04-11,2019-04-14,2019,90,9,0,9
KCTF0005,곡성세계장미축제,46,전라남도,,곡성군 오곡면,,,,2019-05-17,2019-05-26,2019,91,9,1,10
KCTF0006,관악강감찬축제,11,서울특별시,,관악구 낙성대동,,,,2019-10-17,2019-10-19,2019,92,9,2,10
KCTF0007,광안리어방축제,26,부산광역시,,수영구 광안2동,,,,2019-04-26,2019-04-28,2019,93,9,3,10
KCTF0008,광주김치축제,29,광주광역시,,남구 송암동,,,,2019-10-25,2019-10-27,2019,94,9,4,10
KCTF0009,괴산고추축제,43,충청북도,,괴산군 괴산읍,,,,2019-08-29,2019-09-01,2019,95,9,5,10
KCTF0010,군산시간여행축제,52,전북특별자치도,,군산시 월명동,,,,2019-10-04,2019-10-06,2019,96,9,6,10
KCTF0011,금산인삼축제,44,충청남도,,금산군 금산읍,,,,2019-09-27,2019-10-06,2019,97,9,7,10
KCTF0012,금호강바람소리길축제,27,대구광역시,,북구 산격2동,,,,2019-09-28,2019-09-29,2019,98,9,8,10
KCTF0013,김제지평선축제,52,전북특별자치도,,김제시 부량면,,,,2019-09-27,2019-10-06,2019,99,9,9,10
KCTF0014,김해분청도자기축제,48,경상남도,,김해시 진례면,,,,2019-10-25,2019-11-03,2019,100,10,0,10
KCTF0015,남원춘향제,52,전북특별자치도,,남원시 금동,,,,2019-05-08,2019-05-12,2019,101,10,1,11
KCTF0016,담양대나무축제,46,전라남도,,담양군 담양읍,,,,2019-05-01,2019-05-06,2019,102,10,2,11
KCTF0017,대구약령시한방문화축제,27,대구광역시,,중구 성내2동,,,,2019-05-02,2019-05-06,2019,103,10,3,11
KCTF0018,대구치맥페스티벌,27,대구광역시,,달서구 두류3동,,,,2019-07-17,2019-07-21,2019,104,10,4,11
KCTF0019,대전사이언스페스티벌,30,대전광역시,,유성구 신성동,,,,2019-10-18,2019-10-21,2019,105,10,5,11
KCTF0020,대전효문화뿌리축제,30,대전광역시,,중구 산성동,,,,2019-09-27,2019-09-29,2019,106,10,6,11
KCTF0021,동래읍성역사축제,26,부산광역시,,동래구 명륜동,,,,2019-10-11,2019-10-13,2019,107,10,7,11
KCTF0022,목포항구축제,46,전라남도,,목포시 만호동,,,,2019-10-04,2019-10-07,2019,108,10,8,11
KCTF0023,무주반딧불축제,52,전북특별자치도,,무주군 무주읍,,,,2019-08-31,2019-09-08,2019,109,10,9,11
KCTF0024,문경찻사발축제,47,경상북도,,문경시 문경읍,,,,2019-04-27,2019-05-06,2019,110,11,0,11
KCTF0025,밀양아리랑대축제,48,경상남도,,밀양시 삼문동,,,,2019-05-16,2019-05-19,2019,111,11,1,12
KCTF0026,보령머드축제,44,충청남도,,보령시 대천5동,,,,2019-07-19,2019-07-28,2019,112,11,2,12
KCTF0027,보성다향대축제,46,전라남도,,보성군 보성읍,,,,2019-05-02,2019-05-06,2019,113,11,3,12
KCTF0028,봉화은어축제,47,경상북도,,봉화군 봉화읍,,,,2019-07-27,2019-08-04,2019,114,11,4,12
KCTF0029,부안마실축제,52,전북특별자치도,,부안군 부안읍,,,,2019-05-04,2019-05-06,2019,115,11,5,12
KCTF0030,부천국제만화축제,41,경기도,,부천시 상동,,,,2019-08-14,2019-08-18,2019,116,11,6,12
KCTF0031,부평풍물대축제,28,인천광역시,,부평구 부평1동,,,,-,-,2019,117,11,7,12
KCTF0032,산청한방약초축제,48,경상남도,,산청군 금서면,,,,2019-09-27,2019-10-09,2019,118,11,8,12
KCTF0033,서산해미읍성축제,44,충청남도,,서산시 해미면,,,,2019-10-11,2019-10-13,2019,119,11,9,12
KCTF0034,석장리세계구석기축제,44,충청남도,,공주시 월송동,,,,2019-05-03,2019-05-06,2019,120,12,0,12
KCTF0035,세종축제,36,세종특별자치시,,세종특별자치시 새롬동,,,,2019-10-05,2019-10-09,2019,121,12,1,13
KCTF0036,소래포구축제,28,인천광역시,,남동구 논현고잔동,,,,-,-,2019,122,12,2,13
KCTF0037,수성못페스티벌,27,대구광역시,,수성구 두산동,,,,2019-09-27,2019-09-29,2019,123,12,3,13
KCTF0038,수원화성문화제,41,경기도,,수원시 팔달구 행궁동,,,,2019-10-03,2019-10-06,2019,124,12,4,13
KCTF0039,순창장류축제,52,전북특별자치도,,순창군 순창읍,,,,2019-10-18,2019-10-20,2019,125,12,5,13
KCTF0040,시흥갯골축제,41,경기도,,시흥시 장곡동,,,,2019-09-20,2019-09-22,2019,126,12,6,13
KCTF0041,안동탈춤축제,47,경상북도,,안동시 중구동,,,,2019-09-27,2019-10-06,2019,127,12,7,13
