ym,안동,경주,포항,전주,군산
2018-01-01,15.100000000000001,18.1,11.593671173668794,11.945972237802005,17.0
2018-02-01,19.1,20.1,13.614180733708006,14.404210536459583,20.199999999999996
2018-03-01,12.4,15.4,9.106035354392754,9.92485206380129,14.4
2018-04-01,12.4,16.3,10.203117549724782,10.302432462737974,14.4
2018-05-01,14.1,17.3,11.313894537713745,11.25150711031572,15.5
2018-06-01,12.7,17.7,10.820215426281456,10.344236985500107,15.3
2018-07-01,13.0,20.1,12.236401615986004,10.43118647279341,16.0
2018-08-01,13.7,22.8,13.556168766341063,11.634455893804319,17.8
2018-09-01,17.3,19.0,13.16346234584416,12.673883778463773,17.6
2018-10-01,11.0,16.4,9.755891411448893,9.795626411370367,14.6
2018-11-01,13.5,18.1,10.808792242482431,10.885898994625162,16.2
2018-12-01,14.300000000000002,21.3,12.604464375744946,11.238592918019735,16.7
2019-01-01,11.3,16.7,9.945819411260327,9.639237437269617,14.0
2019-02-01,18.7,20.7,13.97794966630786,13.678723856546867,19.5
2019-03-01,12.599999999999998,15.7,9.591742038489024,10.005845213910403,14.6
2019-04-01,12.5,16.8,9.942615903214676,9.58522620109187,13.9
2019-05-01,13.700000000000001,17.7,10.662636962117588,10.272854375730788,15.4
2019-06-01,12.5,18.3,10.789262282045335,9.680638107605532,15.3
2019-07-01,13.299999999999999,20.2,12.026241319382653,10.62089960063275,16.9
2019-08-01,14.6,23.2,13.779358280939698,11.480896494819822,17.2
2019-09-01,16.6,17.9,12.422680104503943,12.152945795824552,17.6
2019-10-01,11.6,17.0,10.083202987831488,9.628993660158178,14.8
2019-11-01,14.0,18.8,11.133598119293428,10.977805238313525,16.5
2019-12-01,12.8,19.9,11.657224436692585,10.628555876596854,15.8
2020-01-01,17.1,20.3,12.966768715793638,12.216775216246482,17.5
2020-02-01,11.8,14.6,10.029576956390075,9.809529842971756,14.5
2020-03-01,11.5,8.9,8.970897389090622,10.204113330048855,14.3
2020-04-01,13.3,11.8,9.846165931569045,10.25854042398852,15.3
2020-05-01,13.699999999999998,15.199999999999998,10.774833005130386,10.506057545227701,16.0
2020-06-01,12.3,15.2,10.107757079172108,9.31426171240758,15.099999999999998
2020-07-01,14.2,19.4,12.109881345322163,10.583994694854638,17.3
2020-08-01,15.1,23.7,14.099329406477791,12.001681573534537,18.1
2020-09-01,15.3,16.1,12.109503357372878,11.165949487471924,17.6
2020-10-01,15.3,17.6,12.256537851500642,12.040608480573024,17.8
2020-11-01,13.1,16.6,10.43064377630595,9.63541632601735,14.5
2020-12-01,13.1,16.7,11.852774023760642,10.657579141773525,15.0
2021-01-01,12.1,13.7,10.324477279996733,9.852406252733331,14.0
2021-02-01,15.9,17.8,12.700426318269862,11.617926862211531,17.1
