city,총소비2024(억),숙박비중2024%,총소비2025(억),숙박비중2025%,총소비2026(억),숙박비중2026%,총소비 25/24 %,총소비 26/24 %,1인당2024(원),1인당2025(원),1인당2026(원),1인당 26/24 %,1인당 25/24 %
안동,1796.1185,1.85520554462303,1729.23669,2.4151881718401427,1603.47567,3.0246308632796404,-3.723685825851697,-10.725507810314294,15977.77012548038,14728.96318629469,13384.610511106222,-16.22979673639655,-7.815902528189267
경주,6116.02608,7.130924464599405,5926.17314,5.494746648593531,6142.13064,5.52427878675013,-3.1041878748823137,0.4268222479522299,19100.669844768057,17723.750549477038,17683.572756579742,-7.419096291937,-7.208748732276405
포항,6336.66062,2.052728365938588,6132.77718,1.9473750063751702,5885.8194,1.606151388199237,-3.2175218498604052,-7.114807736065865,15342.945968533388,14486.963290831973,13762.883311042593,-10.298300344218902,-5.5789981888545785
전주,7771.13214,1.7809618663877207,7726.27563,1.7440144055538958,7224.15796,1.939612073487939,-0.5772197562966652,-7.038539174808067,14522.954184400109,13616.25614778204,12599.240762354599,-13.246020042615536,-6.243206616956776
군산,3490.5811,2.4948069534897788,3482.209,2.3262276905263297,3471.90857,1.8902992022050857,-0.23984831637345883,-0.5349404430110449,19963.85770667074,19342.661172688157,18589.373012980886,-6.884865209345703,-3.111605698206399
