y,안동,경주,포항,전주,군산
2018,34.655755412385616,39.45087435288124,36.616529220681024,41.20818997085545,36.844527473726544
2019,33.21710570596569,38.53702366667095,35.8580709704505,38.41951282482359,34.58360717343236
2020,33.495600735743096,39.03592649586935,36.40522566995646,36.71527498741916,34.91810913336742
2021,33.2323945190683,39.41776182944599,36.10199980055975,38.4783613329796,36.209820385025495
2022,31.838446499776452,37.46742911358105,34.18516746291886,37.45214862288978,33.32343083596471
2023,31.232812237625527,36.36524447521889,32.8454714829991,36.57209633449271,33.03234064305359
2024,30.355198796184695,35.32891426989325,32.07071388864139,35.111961588617476,32.08475403029622
2025,30.046959278308293,35.10528113848891,31.833108042730565,34.50659417570391,32.11767680214068
