y,안동,경주,포항,전주,군산
2018,35381.0,240183.0,173908.0,140389.0,150643.0
2019,48152.0,374304.0,245107.0,190818.0,265807.0
2020,355.0,3755.0,5130.0,4180.0,7587.0
2021,369.0,4328.0,7047.0,4457.0,11309.0
2022,2040.0,12787.0,12054.0,15377.0,17691.0
2023,15292.0,101719.0,75989.0,79841.0,83208.0
2024,31108.0,219567.0,153127.0,118429.0,148982.0
2025,38344.0,264557.0,143019.0,130162.0,165960.0
