y,안동,경주,포항,전주,군산
2018,1499.1318,3213.9933,4641.0193,6214.1237,1791.8264
2019,1433.3951,3388.5479,4865.6979,6285.0147,1948.9892
2020,1135.4694,2910.6046,4454.8532,5454.7758,1815.2073
2021,1193.2016,3159.6594,4591.1086,5763.4096,1860.273
2022,1269.1062,3494.5697,4897.9784,6246.505,1938.6925
2023,1343.5393,3717.3482,5098.6237,6619.2086,1958.0394
2024,1375.245,3761.7864,5097.0527,6928.2193,2043.1899
2025,1451.0884,4023.3831,5299.8049,7359.159,2140.2324
