y,안동,경주,포항,전주,군산
2018,13.768518164018005,11.902024606587354,14.075605258081938,12.505775112664892,13.136821736463768
2019,16.175375446157815,13.637169814247365,16.06621572087994,15.012410180784482,15.709294620602222
2020,17.845714787246994,15.004473017618661,17.196633015478916,18.272206447936163,16.548354499717362
2021,19.677301928574035,15.86065695949161,18.99330679723691,19.41862009253366,17.685210325521034
2022,21.579961227384835,17.443201136107028,21.15416574705669,20.45688844286659,20.651817849641382
2023,23.18691559711024,19.029866819678837,23.111140936976703,22.006540523882425,21.966252609400414
2024,24.595565626184516,20.578539972268587,24.412609702945147,24.440192056912636,23.395310730145802
2025,25.506521088085186,21.604646408627715,25.25253074747091,25.042200449196297,24.213584391496806
