ym,안동_숙박방문자(만),안동_당일방문자(만),경주_숙박방문자(만),경주_당일방문자(만),포항_숙박방문자(만),포항_당일방문자(만),전주_숙박방문자(만),전주_당일방문자(만),군산_숙박방문자(만),군산_당일방문자(만)
2018,260.1905043,1581.2137957,750.7511769,3285.1171231,636.7632415999999,4845.2143584,837.5059183000001,6621.0042817,370.0790932,1902.7490068
2019,261.7396175,1635.5450825,797.2569794,3477.1164206,636.8860416,4956.3759584,787.9020705,6565.1730295,378.5407052,1986.5857947999998
2020,224.2890176,1366.1378824,609.6992812,2988.4881188,593.5409207,4583.5053793,677.3823845,5622.2516155,351.5532472,1810.0043528
2021,227.80439109999998,1449.5479089,713.2655063,3245.1849936999997,628.3723209999999,4765.556179,691.5178903,6096.0230097,355.5420973,1893.9033026999998
2022,261.2184908,1448.9546092,882.3637749,3642.9844251000004,721.2438688,5216.9112312,802.5748223,6681.118377700001,414.17419900000004,2080.242301
2023,273.76193670000004,1455.0381633,930.3182598999999,3916.6388401,747.8163265,5471.0549734999995,818.9069770000001,7062.132023,431.8433773,2171.7507227
2024,247.3537038,1490.3989961999998,823.136051,4005.119349,675.6516265,5475.5610735,750.7794566,7369.7083434,393.2937594,2270.3189406
2025,251.32025750000003,1580.5919425000002,845.5935722999999,4313.2569277,685.8916796,5697.4338204000005,792.8452369,7858.6139631,404.8699236,2378.9566763999997
