SGG_CD,SGG_NM,부울경_2019,부울경_2022,부울경_2023,부울경_2025,수도권_2019,수도권_2022,수도권_2023,수도권_2025,d수도권_2022,d부울경_2022,d숙박_2022,d수도권_2023,d부울경_2023,d숙박_2023,d수도권_2025,d부울경_2025,d숙박_2025,ktx
11110,서울특별시 종로구,0.28,0.33,0.29,0.31,97.65,97.33,97.65,97.65,-0.3200000000000074,0.04999999999999999,-0.008333333333333304,0.0,0.009999999999999953,-0.09166666666666679,0.0,0.02999999999999997,-0.2250000000000001,
11140,서울특별시 중구,0.15,0.2,0.14,0.14,98.13,97.81,98.26,98.39,-0.3199999999999932,0.05000000000000002,-0.3250000000000002,0.13000000000000966,-0.009999999999999981,-0.9500000000000002,0.2600000000000051,-0.009999999999999981,-1.125,
11170,서울특별시 용산구,0.14,0.14,0.13,0.14,98.13,98.16,98.2,98.23,0.030000000000001137,0.0,-0.5666666666666669,0.07000000000000739,-0.010000000000000009,-0.7500000000000004,0.10000000000000853,0.0,-0.9750000000000005,
11200,서울특별시 성동구,0.39,0.32,0.27,0.35,96.88,97.11,97.03,96.92,0.23000000000000398,-0.07,-1.1749999999999998,0.15000000000000568,-0.12,-1.0166666666666666,0.04000000000000625,-0.040000000000000036,-2.033333333333334,
11215,서울특별시 광진구,0.14,0.1,0.11,0.11,97.78,98.06,98.11,98.02,0.28000000000000114,-0.04000000000000001,-0.5083333333333329,0.3299999999999983,-0.030000000000000013,-0.29166666666666696,0.23999999999999488,-0.030000000000000013,-1.3166666666666664,
11230,서울특별시 동대문구,0.22,0.32,0.39,0.51,97.69,97.05,96.8,95.94,-0.6400000000000006,0.1,-0.7666666666666675,-0.8900000000000006,0.17,-0.8250000000000011,-1.75,0.29000000000000004,-1.2583333333333346,
11260,서울특별시 중랑구,0.24,0.15,0.26,0.37,97.56,97.65,97.32,96.41,0.09000000000000341,-0.09,-0.7333333333333334,-0.2400000000000091,0.020000000000000018,-0.666666666666667,-1.1500000000000057,0.13,-1.208333333333334,
11290,서울특별시 성북구,0.4,0.35,0.33,0.6,96.72,96.95,96.84,95.76,0.23000000000000398,-0.050000000000000044,-0.8916666666666666,0.12000000000000455,-0.07,-0.8833333333333337,-0.9599999999999937,0.19999999999999996,-1.5166666666666666,
11305,서울특별시 강북구,0.13,0.12,0.15,0.12,98.01,98.62,98.56,98.42,0.6099999999999994,-0.010000000000000009,-0.9083333333333332,0.5499999999999972,0.01999999999999999,-0.9083333333333332,0.4099999999999966,-0.010000000000000009,-1.8249999999999993,
11320,서울특별시 도봉구,0.06,0.16,0.14,0.18,97.67,98.42,98.14,97.9,0.75,0.1,-1.1833333333333336,0.46999999999999886,0.08000000000000002,-1.3916666666666666,0.23000000000000398,0.12,-1.841666666666666,
11350,서울특별시 노원구,0.24,0.21,0.25,0.27,97.42,97.35,97.53,96.9,-0.07000000000000739,-0.03,-1.8916666666666675,0.10999999999999943,0.010000000000000009,-1.8166666666666664,-0.519999999999996,0.030000000000000027,-2.2666666666666675,
11380,서울특별시 은평구,0.21,0.22,0.22,0.35,97.77,97.71,97.66,97.19,-0.060000000000002274,0.010000000000000009,-1.0083333333333329,-0.10999999999999943,0.010000000000000009,-1.0583333333333336,-0.5799999999999983,0.13999999999999999,-1.9916666666666671,
11410,서울특별시 서대문구,0.2,0.32,0.28,0.32,97.63,97.28,97.25,97.36,-0.3499999999999943,0.12,0.0,-0.37999999999999545,0.08000000000000002,-0.40000000000000036,-0.269999999999996,0.12,-0.8833333333333346,
