y,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70세 이상
2018,1.107466242424588,8.634379846003167,19.078234703295287,15.577520709090331,20.222363238001055,21.611517097167564,10.23803879816542,3.530479365852586
2019,1.3063261473896326,8.020027800812182,18.652022705946774,14.565083000018921,19.06318968701923,22.217975212655446,11.44125227094518,4.734123175212634
2020,1.6557868672941307,6.88905687538202,19.070531362669314,14.425069373073779,18.193276954046254,21.92056378028751,12.218658014418526,5.6270567728284675
2021,1.4286469113879783,6.6285294989743715,19.036942687618332,14.19545183144997,17.285882767450186,21.747244374545122,13.731068083217302,5.946233845356734
2022,1.4271384177207553,6.670308261148591,18.025588145620205,13.81285835415625,16.82824851252754,21.655897081441818,14.938806805623539,6.641154421761297
2023,1.2868354427572257,6.346890506632359,17.343929996002498,13.88888224162303,16.350688397661777,21.595857818212867,16.182926323190312,7.003989273919927
2024,1.225555001577759,6.2090309099222205,16.226836839791428,14.128361956393269,15.85849111943301,21.756158546697794,17.15288266802697,7.442682958157549
2025,1.1282456378517605,6.110433259064085,15.435663163344879,14.611296114963412,15.544372427626255,21.66346830906442,17.57744115772514,7.929079930360048
