BASE_YM,실제 안동,합성 안동,격차(지수p),격차율%
2018,97.0547171966337,97.11507009987673,-0.060352903243025224,-0.062145764999145925
2019,100.0,99.82552446808022,0.17447553191979873,0.17478048109387923
2020,83.82647580513351,85.85705939287327,-2.0305835877397396,-2.365074697524863
2021,88.40804440155976,91.55410261027787,-3.146058208718093,-3.4362831582873454
2022,90.1379271123622,100.81264413429243,-10.674717021930208,-10.588668825817551
2023,91.11969858819818,105.33528417171472,-14.215585583516537,-13.495559152185582
2024,91.5915624049464,104.6639713693843,-13.072408964437898,-12.489884334984984
2025,96.55441800590076,109.93834446457019,-13.383926458669437,-12.174029474295633
2026,94.71426454869952,108.22650906068219,-13.512244511982663,-12.485152324747348
