ym,안동,경주,포항,전주,군산
2025-03-01,1508251.0,4004101.0,5283851.0,7621700.0,2375207.0
2025-04-01,1307734.0,4158743.0,4640072.0,6581904.0,2106087.0
2025-05-01,1702205.0,4668662.0,5715987.0,8135227.0,2617846.0
2025-06-01,1433792.0,4043075.0,5220188.0,6934713.0,2245889.0
2025-07-01,1477253.0,4262843.0,5588844.0,7099425.0,2230972.0
2025-08-01,1664090.0,5056228.0,6021910.0,7348797.0,2556621.0
2025-09-01,1591137.0,3975056.0,5001896.0,7241347.0,2361249.0
2025-10-01,2055402.0,5500047.0,6011723.0,8048175.0,3027549.0
2025-11-01,1572189.0,4710960.0,5239051.0,7278202.0,2297594.0
2025-12-01,1360011.0,3966104.0,5247509.0,7203843.0,2149134.0
2026-01-01,1303714.0,3853261.0,5212614.0,6870604.0,2062438.0
2026-02-01,1465918.0,4148646.0,5164867.0,6959549.0,2252965.0
2026-03-01,1574612.0,4152000.0,5300485.0,7934948.0,2438434.0
2026-04-01,1442670.0,4532088.0,4820571.0,6831903.0,2221803.0
2026-05-01,1713501.0,4858400.0,5750927.0,7828540.0,2628105.0
2026-06-01,1390571.0,3887554.0,4982435.0,6638506.0,2184828.0
2026-07-01,1455674.0,4371629.0,5585830.0,6944695.0,2285947.0
2026-08-01,1633335.0,4929961.0,5948160.0,7329297.0,2602326.0
