city,2024(1-8월),2025(1-8월),2026(1-8월),25/24 %,26/24 %
안동,11241359.0,11740383.0,11979995.0,4.439178572626323,6.5707002151608185
경주,32019956.0,33436338.0,34733539.0,4.423435185232605,8.47466186399506
포항,41300156.0,42333076.0,42765889.0,2.5010075022476874,3.5489769094334767
전주,53509307.0,56743025.0,57338042.0,6.043281405232914,7.155269269325437
군산,17484502.0,18002740.0,18676846.0,2.963984905031891,6.819433576089273
전국 시군구 중앙값,,,,4.071400632496158,5.565545854842746
