도시,2020,2021,2022,2023,2024,2025,2021_전국백분위,2022_전국백분위,2023_전국백분위,2025_전국백분위
안동,83.82647580513351,88.40804440155978,90.1379271123622,91.11969858819818,91.59156240494639,96.55441800590074,24.23076923076923,5.384615384615385,1.9230769230769231,3.8461538461538463
경주,84.18046490744116,92.6089073079109,105.87161617653713,113.39573421451668,112.95820341760503,120.69255577905291,42.69230769230769,58.46153846153847,70.0,70.76923076923077
포항,92.55862321486103,96.43618518138432,106.16622464672672,111.18505265800171,109.97540791044653,114.12527251539441,59.61538461538461,59.61538461538461,62.69230769230769,45.38461538461539
전주,85.67346197783291,92.30887496307497,101.77637380583806,107.18017826310519,110.43662263153004,117.65770214967613,41.53846153846154,43.07692307692308,46.53846153846154,60.38461538461538
군산,91.39289589795726,95.10888318235831,105.46651521599372,110.08265731241013,112.62030593289619,117.70307423302728,53.46153846153846,57.692307692307686,57.30769230769231,60.38461538461538
전국 시군구 중앙값,90.85437663760976,94.36286785775113,103.73262294239558,108.17797393751043,109.06955906671266,115.26147090466361,,,,
경북 시군 중앙값,92.10724984581275,96.4349527121245,105.80392770679791,110.48017062877224,109.5724372331201,115.16825391650454,,,,
