y,안동,경주,포항,전주,군산
2018,13872.0,17953.0,14425.0,14713.0,31467.0
2019,13364.0,17640.0,14309.0,15275.0,23611.0
2020,12920.0,17071.0,14040.0,15921.0,16786.0
2021,14309.0,19650.0,14826.0,15296.0,17172.0
2022,15697.0,21042.0,15512.0,16470.0,17382.0
2023,15745.0,19363.0,15452.0,15301.0,17450.0
2024,15856.0,18966.0,15333.0,14549.0,20664.0
2025,14853.0,18001.0,14622.0,13793.0,19813.0
