ITS_BRO_NM,KTO_CATE_NAME_B,2018,2019,2020,2021,2022,2023,2024,2025,19→25%
쇼모텔,모텔,207.0,1116.0,1652.0,1998.0,1943.0,1916.0,1757.0,1767.0,58.33333333333333
수산궁모텔,모텔,,605.0,501.0,719.0,982.0,,,,
수애당,역사유적지,,,729.0,,,,,,
스위트호텔,모텔,,,,978.0,3030.0,3023.0,2166.0,1625.0,
스탠포드호텔안동,호텔,,,,,,,3345.0,13308.0,
스테이호텔,호텔,183.0,,,,,,,,
스튜디오131호텔,모텔,370.0,597.0,,,,,,,
시그너스358호텔,모텔,,,,,,,,1151.0,
안동강변구장,레저스포츠시설,655.0,948.0,783.0,2146.0,1911.0,1506.0,3821.0,5189.0,447.3628691983122
안동구시장,시장,21821.0,31185.0,32275.0,35219.0,40478.0,46000.0,40695.0,43512.0,39.52861952861952
안동국제컨벤션센터,전시시설,,,,,2275.0,2311.0,2680.0,3324.0,
안동국제탈춤페스티벌,기타문화관광지,,,,,,841.0,2712.0,1139.0,
안동군자마을,역사유적지,704.0,1038.0,1056.0,1669.0,1315.0,1463.0,684.0,,
안동그랜드호텔,호텔,10126.0,13404.0,10204.0,14233.0,18253.0,17883.0,15763.0,14477.0,8.005073112503736
안동농촌테마파크,기타관광,243.0,,,,,,,,
안동드림베이스볼파크,레저스포츠시설,,,,,,,,854.0,
안동레이크GC,육상레저스포츠,3538.0,5217.0,5626.0,5975.0,6794.0,6115.0,5057.0,4581.0,-12.190914318573897
안동문화관광단지,복합관광시설,276.0,486.0,449.0,,,,,,
안동문화예술의전당,공연시설,2961.0,4535.0,2053.0,3970.0,4578.0,5124.0,4375.0,4412.0,-2.7122381477397983
안동물문화관,전시시설,1322.0,792.0,,,,,,,
안동민속촌,역사유적지,814.0,1031.0,880.0,1094.0,1365.0,,,811.0,-21.33850630455868
안동벚꽃길,기타관광,241.0,842.0,,,,,,,
안동선비순례길1코스,기타레저스포츠,334.0,763.0,814.0,729.0,,,758.0,,
안동소주전통음식박물관,전시시설,1506.0,1485.0,983.0,1156.0,1577.0,2262.0,2126.0,1928.0,29.83164983164983
안동수산물도매시장,시장,1767.0,2509.0,3483.0,4355.0,3913.0,3720.0,3237.0,3141.0,25.189318453567154
안동시농산물도매시장,시장,1793.0,2919.0,4523.0,5697.0,5272.0,4849.0,4693.0,6040.0,106.92017814319973
안동시립민속박물관휴관중(2023년10월01일개관예정),전시시설,1721.0,2592.0,1525.0,2025.0,2832.0,,,,
안동시립박물관,전시시설,,,,,,1875.0,2843.0,3155.0,
