ym,안동,경주,포항,전주,군산
2018-01-01,35.80858970573465,36.08203489716728,32.11457089670403,30.552535581788714,32.551330798479086
2018-02-01,33.59423108830104,36.099084013712975,32.85310591916032,31.66010502570359,33.862154636055905
2018-03-01,36.582569619365,43.081175065934076,36.76615452181981,34.21467226463215,36.505304068624135
2018-04-01,43.13176928854922,46.2044155164349,39.669654719280324,38.58457408785612,42.807052377668725
2018-05-01,39.65836415046523,40.710473750886045,35.33846493078644,33.72796625530343,38.62863843030617
2018-06-01,41.132187754637414,43.81127960626492,38.38197295971453,35.829556001244015,40.97612260370166
2018-07-01,38.45817964994486,41.819081622845964,37.938999949502936,33.27763692224842,38.41201301528231
2018-08-01,33.38673207002101,35.539911660416514,32.47188562401897,29.37470308463901,33.19157633417497
2018-09-01,40.22734999822097,41.55787590628702,38.513108691193814,36.8971604310278,38.25818844777474
2018-10-01,37.47650571529965,38.94273492532616,32.827424563809586,31.694604248324694,35.02122658671103
2018-11-01,39.98600552082204,44.06682146202051,36.51813707273086,34.47780894798851,39.234011801617555
2018-12-01,42.89029485218107,45.577734753146174,40.52577408214258,38.64043187312278,42.46014107196427
2019-01-01,34.79396216801477,36.12113300128718,31.687489728689183,29.884341220289468,33.47242002872958
2019-02-01,31.07199676011184,34.076360247129934,32.30961663907409,31.378809650694745,32.48779680025893
2019-03-01,39.72581394267326,46.27958487393218,39.06881195654984,36.5796842500553,39.39807440528239
2019-04-01,40.846925417046606,42.48855239023804,36.531374722703525,35.42872121920821,40.43312168476853
2019-05-01,39.27623190094306,41.91445120578127,35.40209771245814,33.77200935600906,38.61807354044481
2019-06-01,44.74822207815403,47.557175143394744,43.257405810261325,40.049732170062676,44.472763030286316
2019-07-01,33.369587387936924,36.42867791593966,31.899686627486968,29.126676758011904,32.715380035721374
2019-08-01,38.44487121843976,40.429523256528405,37.62410632890682,32.83319016660197,36.200985964095544
2019-09-01,34.542781714057845,37.46083427425576,32.86199745229199,31.572490891106597,33.77225476000086
2019-10-01,38.88696172495372,40.9652433319617,34.12716258234959,32.114496186119105,36.039205420862274
2019-11-01,43.93943412422771,47.55814778613793,40.740645659033056,37.70202737161995,41.734171762773556
2019-12-01,38.249878374791514,41.34746919897107,36.778700524777996,34.28905255518336,37.83438740361479
2020-01-01,38.531627470167386,39.108006963341474,34.05734921085616,30.986365406713656,35.82903122570258
2020-02-01,36.544512648233585,41.364662170674734,36.4639656132547,32.62097773943785,34.91152859917291
