ym,안동,경주,포항,전주,군산,전국 시군구 중앙값
2018,14.049999999999999,18.55,11.564691294444751,11.23607132214112,16.308333333333334,9.7
2019,13.683333333333332,18.575,11.334360959339884,10.69605182154173,15.958333333333334,9.2
2020,13.816666666666668,16.341666666666665,11.296222403157161,10.69954231459299,16.083333333333332,8.7
2021,13.533333333333333,17.841666666666665,11.607524886677004,10.193506340780468,15.766666666666666,8.3
2022,15.174999999999999,19.333333333333332,12.056711073575835,10.704881463291374,16.541666666666668,8.8
2023,15.725,19.208333333333332,11.994063172701024,10.383953894480014,16.541666666666668,8.9
2024,14.183333333333332,17.058333333333334,10.965261311025428,9.246523430310194,14.75,8.1
2025,13.541666666666666,16.308333333333334,10.650895545187948,9.126304375255621,14.433333333333332,7.8
2026,13.528571428571428,16.857142857142858,10.396644061655682,8.929866483396925,14.271428571428572,7.5
