관리번호,사업장명,업태구분명,인허가일자,소재지면적,시설총규모,남성종사자수,여성종사자수,전통업소주된음식,도로명주소,지번주소,전화번호,경도,위도,데이터갱신시점
5070000-101-2000-00134,태광식당,한식,2000-02-16,27.6,27.6,0.0,0.0,,경상북도 안동시 길안면 천지길 64,경상북도 안동시 길안면 천지리 750-22 ,,128.8939741200835,36.45699517264419,2026-05-07 22:01:56
5070000-101-2000-00177,최가네추어탕,탕류(보신용),2000-02-17,362.39,362.39,0.0,0.0,,경상북도 안동시 제비원로 590-7 (이천동),경상북도 안동시 이천동 414-10 ,548587577.0,128.71321325854674,36.60185696157167,2026-05-07 22:02:02
5070000-101-2000-00167,동아숯불갈비,식육(숯불구이),2000-02-17,67.12,67.12,0.0,0.0,,경상북도 안동시 제비원로 277 (안기동),경상북도 안동시 안기동 235-28 ,,128.71805243514265,36.576464462691156,2026-05-07 22:01:59
5070000-101-2000-00197,한티재,한식,2000-02-17,26.4,26.4,0.0,0.0,,경상북도 안동시 제비원로 503 (이천동),경상북도 안동시 이천동 987 ,,128.71245035036856,36.5947225100851,2026-05-07 22:02:16
5070000-101-2000-00173,왕성숯불갈비,식육(숯불구이),2000-02-17,58.04,58.04,0.0,0.0,,경상북도 안동시 제비원로 268 (안기동),경상북도 안동시 안기동 223-50 ,,128.71912291081716,36.57592897561884,2026-05-07 22:02:01
5070000-101-2000-00170,민속주점식당,호프/통닭,2000-02-17,71.71,71.71,0.0,0.0,,경상북도 안동시 제비원로 257 (안기동),경상북도 안동시 안기동 180-30 ,548533141.0,128.7189490143431,36.57484913829082,2026-05-07 22:02:00
5070000-101-2000-00189,천안문안기점,중국식,2000-02-17,42.95,42.95,0.0,0.0,,경상북도 안동시 단원로 121 (안기동),경상북도 안동시 안기동 109-14 ,548590987.0,128.71712810205378,36.57071887761453,2026-05-07 22:02:09
5070000-101-2000-00198,관광식당,한식,2000-02-17,48.81,48.81,0.0,0.0,,경상북도 안동시 서후면 서후중앙길 18,경상북도 안동시 서후면 성곡리 128-1 ,,128.66385446325103,36.61653122349518,2026-05-07 22:02:16
5070000-101-2000-00190,피크닉김밥천국,김밥(도시락),2000-02-17,33.99,33.99,0.0,0.0,,경상북도 안동시 제비원로 249 (안기동),경상북도 안동시 안기동 180-21 ,,128.7189378028187,36.574239702962586,2026-05-07 22:02:10
5070000-101-2000-00161,석송가든식당,한식,2000-02-17,165.37,165.37,0.0,0.0,,경상북도 안동시 제비원로 539-23 (이천동),경상북도 안동시 이천동 452 ,548417000.0,128.71087746796886,36.600150206698935,2026-05-07 22:01:58
5070000-101-2000-00143,안기기사식당,한식,2000-02-17,64.64,64.64,0.0,0.0,,경상북도 안동시 제비원로 245 (안기동),경상북도 안동시 안기동 180-26 ,,128.7189249053955,36.57394257422813,2026-05-07 22:01:57
5070000-101-2000-00158,왕비소머리보양식,한식,2000-02-17,96.36,96.36,0.0,0.0,,"경상북도 안동시 제비원로 497, D동 1층 (이천동)",경상북도 안동시 이천동 987-9 ,548430007.0,128.71256659412384,36.594425034468095,2026-08-05 21:47:50
5070000-101-2000-00166,청보석반점,중국식,2000-02-17,36.04,36.04,0.0,0.0,,경상북도 안동시 제비원로 289 (안기동),경상북도 안동시 안기동 235-18 ,548530082.0,128.71736515461333,36.57724685884436,2026-05-07 22:01:59
5070000-101-2000-00206,동악골원조식당,한식,2000-02-21,264.91,264.91,0.0,0.0,,"경상북도 안동시 와룡면 동악골길 52 (,449-2)","경상북도 안동시 와룡면 중가구리 449 ,449-2 ",548556365.0,128.77406297517692,36.591735785820276,2026-05-07 22:02:18
5070000-101-2000-00207,신시골식당,한식,2000-02-21,15.9,15.9,0.0,0.0,,경상북도 안동시 경동로 880 (용상동),경상북도 안동시 용상동 1223-1 ,548224958.0,128.7519507026923,36.55858575798233,2026-05-07 22:02:18
5070000-101-2000-00210,용궁국밥,한식,2000-02-21,155.0,155.0,0.0,0.0,,경상북도 안동시 옥동3길 16 (옥동),경상북도 안동시 옥동 945-1 ,548574919.0,128.70116760315037,36.561001887464855,2026-05-07 22:02:19
5070000-101-2000-00220,안동막국수,횟집,2000-02-29,128.4,128.4,0.0,0.0,,"경상북도 안동시 용상북1길 6, 에이스아울렛 D동 111,112호 (용상동)",경상북도 안동시 용상동 1427-7 에이스아울렛 ,548414422.0,128.74866938061808,36.561462956349146,2026-05-07 22:02:28
5070000-101-2000-00225,투다리태화옥동점,호프/통닭,2000-03-06,49.0,49.0,0.0,0.0,,경상북도 안동시 말구리길 5 (옥동),경상북도 안동시 옥동 616-4 ,548575810.0,128.7049839669855,36.564202081839156,2026-05-07 22:02:30
5070000-101-2000-00230,학가산탑골식당,한식,2000-03-06,83.45,83.45,0.0,0.0,,경상북도 안동시 북후면 산북로 279,경상북도 안동시 북후면 석탑리 873-1 ,548417877.0,128.61410692551132,36.69917401278321,2026-05-07 22:02:32
5070000-101-2001-00012,무릉동네식당,한식,2000-03-06,73.75,73.75,0.0,0.0,,경상북도 안동시 남후면 무릉길 105,경상북도 안동시 남후면 무릉리 335-9 ,548589400.0,128.6904151102294,36.52192386145455,2026-05-07 22:03:44
5070000-101-2000-00233,착할 선,한식,2000-03-08,61.83,61.83,0.0,0.0,,경상북도 안동시 예일길 19 (정하동),경상북도 안동시 정하동 373-1 ,548598122.0,128.7201776957531,36.55131769700798,2026-05-07 22:02:33
5070000-101-2000-01693,해옥,일식,2000-03-11,120.23,120.23,0.0,0.0,,경상북도 안동시 전거리8길 100 (용상동),경상북도 안동시 용상동 1246-3 ,548219059.0,128.7493586889895,36.55996270416518,2026-05-07 22:03:43
5070000-101-2000-00932,마당지기육자(肉炙)냉면,한식,2000-03-11,51.72,51.72,0.0,0.0,,경상북도 안동시 목성교길 19-5 (목성동),경상북도 안동시 목성동 38-6 ,548551255.0,128.7290903496291,36.56716609811286,2026-05-07 22:03:12
5070000-101-2000-01244,향토식당,한식,2000-03-11,20.53,20.53,0.0,0.0,,경상북도 안동시 서부시장4길 48 (태화동),경상북도 안동시 태화동 175-29 ,548565633.0,128.71649093530758,36.56490700856587,2026-05-07 22:03:20
5070000-101-2000-00965,화성식당,한식,2000-03-11,72.63,72.63,0.0,0.0,,경상북도 안동시 북후면 북평로 857,경상북도 안동시 북후면 옹천리 554-16 ,548584554.0,128.70153297456244,36.68345335996291,2026-05-07 22:03:13
5070000-101-2000-01427,예전칼국수,한식,2000-03-11,56.73,56.73,0.0,0.0,,경상북도 안동시 맑은샘3길 6 (천리동),경상북도 안동시 천리동 215-15 ,,128.72737510278876,36.56292942239372,2026-05-07 22:03:28
5070000-101-2000-00652,비행장,한식,2000-03-11,46.68,46.68,0.0,0.0,,경상북도 안동시 송천1길 120 (송천동),경상북도 안동시 송천동 884 ,548529757.0,128.79316937072707,36.54430484416122,2026-05-07 22:02:59
5070000-101-2000-01307,돈의맛숯불구이,식육(숯불구이),2000-03-11,142.58,142.58,,,,경상북도 안동시 용상시장6길 6 (용상동),경상북도 안동시 용상동 1471-16 ,548211915.0,128.74878950163514,36.5578588738649,2026-05-07 22:03:22
5070000-101-2000-00851,서원분식,분식,2000-03-11,15.64,15.64,0.0,0.0,,경상북도 안동시 도산면 도산서원길 155,경상북도 안동시 도산면 토계리 674-1 ,548406576.0,128.84006235575453,36.72841326648656,2026-05-07 22:03:09
5070000-101-2000-00918,땡큐치킨옥동점,통닭(치킨),2000-03-11,28.5,28.5,0.0,0.0,,,경상북도 안동시 옥동 974 옥동 3APT상가 104호 ,548411170.0,128.6958092117978,36.5669821633693,2026-05-07 22:03:12
5070000-101-2000-00670,고박사숯불갈비,식육(숯불구이),2000-03-11,22.0,22.0,,,,경상북도 안동시 동흥길 43-5 (동문동),경상북도 안동시 동문동 192-14 ,548411775.0,128.7356142565561,36.56463007599466,2026-05-07 22:03:00
5070000-101-2000-00321,까치구멍집,한식,2000-03-11,392.0,392.0,0.0,0.0,,경상북도 안동시 석주로 203 (상아동),경상북도 안동시 상아동 513-1 ,548551056.0,128.7581400459123,36.577694975818275,2026-05-07 22:02:43
5070000-101-2000-01262,라라룬,기타,2000-03-11,221.42,221.42,0.0,0.0,,"경상북도 안동시 석주로 213, 1~2층 (상아동)",경상북도 안동시 상아동 526 ,548058885.0,128.75876989040253,36.578396281211,2026-05-07 22:03:21
