승하차,구분,요일,시간대,기간누적,해당일수,일평균
하차,주말,토,21-22,5519,135.0,40.9
하차,주말,일,21-22,7170,134.0,53.5
하차,공휴일,월,21-22,332,8.0,41.5
하차,공휴일,화,21-22,227,4.0,56.8
하차,공휴일,수,21-22,291,6.0,48.5
하차,공휴일,목,21-22,199,6.0,33.2
하차,공휴일,금,21-22,291,6.0,48.5
하차,공휴일,토,21-22,220,3.0,73.3
하차,공휴일,일,21-22,80,3.0,26.7
하차,명절대수송,월,21-22,178,,
하차,명절대수송,화,21-22,194,,
하차,명절대수송,수,21-22,183,,
하차,명절대수송,목,21-22,229,,
하차,명절대수송,금,21-22,356,,
하차,명절대수송,토,21-22,310,,
하차,명절대수송,일,21-22,344,,
하차,평일,월,22-23,0,128.0,0.0
하차,평일,화,22-23,0,131.0,0.0
하차,평일,수,22-23,0,129.0,0.0
하차,평일,목,22-23,0,132.0,0.0
하차,평일,금,22-23,0,132.0,0.0
하차,주말,토,22-23,0,135.0,0.0
하차,주말,일,22-23,0,134.0,0.0
하차,공휴일,월,22-23,0,8.0,0.0
하차,공휴일,화,22-23,0,4.0,0.0
하차,공휴일,수,22-23,0,6.0,0.0
하차,공휴일,목,22-23,0,6.0,0.0
하차,공휴일,금,22-23,0,6.0,0.0
하차,공휴일,토,22-23,0,3.0,0.0
하차,공휴일,일,22-23,0,3.0,0.0
하차,명절대수송,월,22-23,0,,
하차,명절대수송,화,22-23,0,,
하차,명절대수송,수,22-23,0,,
하차,명절대수송,목,22-23,0,,
하차,명절대수송,금,22-23,0,,
하차,명절대수송,토,22-23,0,,
하차,명절대수송,일,22-23,0,,
하차,평일,월,23-24,5249,128.0,41.0
하차,평일,화,23-24,4840,131.0,36.9
하차,평일,수,23-24,5064,129.0,39.3
하차,평일,목,23-24,6831,132.0,51.8
하차,평일,금,23-24,11050,132.0,83.7
하차,주말,토,23-24,9646,135.0,71.5
하차,주말,일,23-24,11356,134.0,84.7
하차,공휴일,월,23-24,586,8.0,73.2
하차,공휴일,화,23-24,283,4.0,70.8
하차,공휴일,수,23-24,260,6.0,43.3
하차,공휴일,목,23-24,204,6.0,34.0
하차,공휴일,금,23-24,531,6.0,88.5
하차,공휴일,토,23-24,423,3.0,141.0
하차,공휴일,일,23-24,156,3.0,52.0
하차,명절대수송,월,23-24,398,,
하차,명절대수송,화,23-24,296,,
하차,명절대수송,수,23-24,224,,
하차,명절대수송,목,23-24,306,,
하차,명절대수송,금,23-24,674,,
하차,명절대수송,토,23-24,671,,
하차,명절대수송,일,23-24,736,,
