Q_SGG_CD,Q_SGG_NM,PERIOD,SGG_CD,PTL_SIDO_CD,AREA_NM,SIDO_NM,TOU_NUM,SPPY_TOU_NUM,DTL_TOU_NUM_RATE
47170,경상북도 안동시,2018,4717025000,4717025000,풍산읍,풍산읍,4206912.0,0.0,0.0
47170,경상북도 안동시,2018,4717031000,4717031000,와룡면,와룡면,497340.0,0.0,0.0
47170,경상북도 안동시,2018,4717032000,4717032000,북후면,북후면,286430.0,0.0,0.0
47170,경상북도 안동시,2018,4717033000,4717033000,서후면,서후면,765926.0,0.0,0.0
47170,경상북도 안동시,2018,4717034000,4717034000,풍천면,풍천면,1503810.0,0.0,0.0
47170,경상북도 안동시,2018,4717035000,4717035000,일직면,일직면,434147.0,0.0,0.0
47170,경상북도 안동시,2018,4717036000,4717036000,남후면,남후면,394432.0,0.0,0.0
47170,경상북도 안동시,2018,4717037000,4717037000,남선면,남선면,149450.0,0.0,0.0
47170,경상북도 안동시,2018,4717038000,4717038000,임하면,임하면,260841.0,0.0,0.0
47170,경상북도 안동시,2018,4717039000,4717039000,길안면,길안면,524538.0,0.0,0.0
47170,경상북도 안동시,2018,4717040000,4717040000,임동면,임동면,239810.0,0.0,0.0
47170,경상북도 안동시,2018,4717041000,4717041000,예안면,예안면,136636.0,0.0,0.0
47170,경상북도 안동시,2018,4717042000,4717042000,도산면,도산면,413710.0,0.0,0.0
47170,경상북도 안동시,2018,4717043000,4717043000,녹전면,녹전면,135160.0,0.0,0.0
47170,경상북도 안동시,2018,4717051000,4717051000,중구동,중구동,3462798.0,0.0,0.0
47170,경상북도 안동시,2018,4717052000,4717052000,명륜동,명륜동,1000762.0,0.0,0.0
47170,경상북도 안동시,2018,4717055500,4717055500,용상동,용상동,2486764.0,0.0,0.0
47170,경상북도 안동시,2018,4717058500,4717058500,서구동,서구동,1900647.0,0.0,0.0
47170,경상북도 안동시,2018,4717060000,4717060000,태화동,태화동,909783.0,0.0,0.0
47170,경상북도 안동시,2018,4717062000,4717062000,평화동,평화동,258612.0,0.0,0.0
47170,경상북도 안동시,2018,4717063000,4717063000,안기동,안기동,236397.0,0.0,0.0
47170,경상북도 안동시,2018,4717065000,4717065000,옥동,옥동,2556690.0,0.0,0.0
47170,경상북도 안동시,2018,4717066000,4717066000,송하동,송하동,1086978.0,0.0,0.0
47170,경상북도 안동시,2018,4717069000,4717069000,강남동,강남동,1780768.0,0.0,0.0
47170,경상북도 안동시,2019,4717025000,4717025000,풍산읍,풍산읍,4113820.0,0.0,0.0
47170,경상북도 안동시,2019,4717031000,4717031000,와룡면,와룡면,505155.0,0.0,0.0
