SGG_CD,SGG_NM,AGEG_DIV_NM,TOU_NUM1,TOU_NUM1_RATE,TOU_NUM2,TOU_NUM2_RATE
11305,서울특별시 강북구,80대,17508706220.0,0.4,14779054103.0,0.3
11305,서울특별시 강북구,70대,108562152492.0,2.4,78452200815.0,1.7
11305,서울특별시 강북구,60대,356875702889.0,7.8,270599833577.0,5.9
11305,서울특별시 강북구,50대,575468310142.0,12.6,461499570344.0,10.1
11305,서울특별시 강북구,40대,577080523066.0,12.6,421470676892.0,9.2
11305,서울특별시 강북구,30대,585219332756.0,12.8,362363928280.0,7.9
11305,서울특별시 강북구,20대,359550108308.0,7.9,340738893192.0,7.5
11305,서울특별시 강북구,10대,14730213155.0,0.3,17111467624.0,0.4
11740,서울특별시 강동구,80대,33910844748.0,0.5,26122109670.0,0.4
11740,서울특별시 강동구,70대,205510122259.0,3.0,135604258981.0,2.0
11740,서울특별시 강동구,60대,511907928199.0,7.5,450296515707.0,6.6
11740,서울특별시 강동구,50대,766599019250.0,11.2,677244267713.0,9.9
11740,서울특별시 강동구,40대,882969708416.0,13.0,670123783546.0,9.8
11740,서울특별시 강동구,30대,911128867334.0,13.4,643235320635.0,9.4
11740,서울특별시 강동구,20대,422693008873.0,6.2,446308965059.0,6.5
11740,서울특별시 강동구,10대,17007397318.0,0.2,16425409986.0,0.2
11680,서울특별시 강남구,80대,209505011707.0,0.4,172750953941.0,0.3
11680,서울특별시 강남구,70대,770349505156.0,1.5,621682441838.0,1.2
11680,서울특별시 강남구,60대,2233708278746.0,4.4,2042918210473.0,4.0
11680,서울특별시 강남구,50대,4710889348810.0,9.3,4141012382068.0,8.2
11680,서울특별시 강남구,40대,6426708597784.0,12.7,5321357086817.0,10.5
11680,서울특별시 강남구,30대,8117973224844.0,16.0,6740976105998.0,13.3
11680,서울특별시 강남구,20대,3615941547298.0,7.1,5250612246688.0,10.4
11680,서울특별시 강남구,10대,128790664794.0,0.3,167829491373.0,0.3
11500,서울특별시 강서구,80대,67075609155.0,0.2,46292292728.0,0.2
11500,서울특별시 강서구,70대,476055295633.0,1.6,261011732723.0,0.9
11500,서울특별시 강서구,60대,2013173875901.0,6.7,1201025326943.0,4.0
11500,서울특별시 강서구,50대,3957255332790.0,13.2,2598435792306.0,8.7
11500,서울특별시 강서구,40대,4730998783256.0,15.8,3119163810758.0,10.4
11500,서울특별시 강서구,30대,4536080264777.0,15.1,3363411193330.0,11.2
11500,서울특별시 강서구,20대,1573973520088.0,5.2,2002038311239.0,6.7
11500,서울특별시 강서구,10대,32320324260.0,0.1,36554763435.0,0.1
11620,서울특별시 관악구,80대,23764905700.0,0.3,16714119849.0,0.2
11620,서울특별시 관악구,70대,127630988077.0,1.7,88447583170.0,1.2
11620,서울특별시 관악구,60대,409255827477.0,5.6,314735352310.0,4.3
11620,서울특별시 관악구,50대,718815663239.0,9.9,573586148003.0,7.9
11620,서울특별시 관악구,40대,730225412124.0,10.0,468791812937.0,6.4
11620,서울특별시 관악구,30대,1245763155922.0,17.1,633853820515.0,8.7
11620,서울특별시 관악구,20대,1042371145897.0,14.3,844758957862.0,11.6
11620,서울특별시 관악구,10대,27978650820.0,0.4,27678374833.0,0.4
11215,서울특별시 광진구,80대,30141327787.0,0.3,20569463892.0,0.2
11215,서울특별시 광진구,70대,155225506946.0,1.7,87561354473.0,1.0
11215,서울특별시 광진구,60대,537637201210.0,6.0,359816348502.0,4.0
11215,서울특별시 광진구,50대,911110409052.0,10.2,703869598467.0,7.9
11215,서울특별시 광진구,40대,952113613866.0,10.7,668220061760.0,7.5
11215,서울특별시 광진구,30대,1268233016822.0,14.3,816887881234.0,9.2
11215,서울특별시 광진구,20대,1137529109800.0,12.8,1148503011871.0,12.9
11215,서울특별시 광진구,10대,44110992401.0,0.5,57292910743.0,0.6
11530,서울특별시 구로구,80대,22855042575.0,0.2,17501121106.0,0.2
11530,서울특별시 구로구,70대,160957837591.0,1.7,102609306186.0,1.1
11530,서울특별시 구로구,60대,594362063042.0,6.4,453227909117.0,4.9
11530,서울특별시 구로구,50대,1020858983941.0,11.0,827520882164.0,9.0
11530,서울특별시 구로구,40대,1247168164852.0,13.5,858134185243.0,9.3
11530,서울특별시 구로구,30대,1500883032360.0,16.2,977117137969.0,10.6
11530,서울특별시 구로구,20대,714334380099.0,7.7,711774090826.0,7.7
11530,서울특별시 구로구,10대,16036673203.0,0.2,15650290368.0,0.2
11545,서울특별시 금천구,80대,11830367450.0,0.2,8676918831.0,0.1
11545,서울특별시 금천구,70대,83097300322.0,1.4,64292825175.0,1.1
11545,서울특별시 금천구,60대,355576389350.0,6.0,287087177106.0,4.9
11545,서울특별시 금천구,50대,722078812627.0,12.3,541864010098.0,9.2
11545,서울특별시 금천구,40대,920134732851.0,15.7,569970116685.0,9.7
11545,서울특별시 금천구,30대,974035758621.0,16.6,561347581351.0,9.6
11545,서울특별시 금천구,20대,398187060460.0,6.8,365656296607.0,6.2
11545,서울특별시 금천구,10대,6918664490.0,0.1,6913453402.0,0.1
11320,서울특별시 도봉구,80대,30352056009.0,0.8,20481453601.0,0.5
11320,서울특별시 도봉구,70대,156571647909.0,3.9,102104096568.0,2.5
11320,서울특별시 도봉구,60대,433831950882.0,10.8,341262073792.0,8.5
11320,서울특별시 도봉구,50대,580848753319.0,14.4,451284054516.0,11.2
11320,서울특별시 도봉구,40대,515066313876.0,12.8,338057414690.0,8.4
11320,서울특별시 도봉구,30대,452881803744.0,11.2,267210025755.0,6.6
11320,서울특별시 도봉구,20대,174518819408.0,4.3,157461902721.0,3.9
11320,서울특별시 도봉구,10대,6033215266.0,0.1,5997933757.0,0.1
11230,서울특별시 동대문구,80대,60919131239.0,0.8,38639102465.0,0.5
11230,서울특별시 동대문구,70대,322676779210.0,4.0,204288230051.0,2.5
11230,서울특별시 동대문구,60대,745463480462.0,9.3,609717355937.0,7.6
11230,서울특별시 동대문구,50대,966678496416.0,12.1,851641728737.0,10.6
11230,서울특별시 동대문구,40대,891186741480.0,11.1,660722230351.0,8.2
11230,서울특별시 동대문구,30대,905705849420.0,11.3,584589862570.0,7.3
11230,서울특별시 동대문구,20대,580606482377.0,7.2,555338043041.0,6.9
11230,서울특별시 동대문구,10대,18009320689.0,0.2,20585381631.0,0.3
11350,서울특별시 노원구,80대,28157325079.0,0.4,23525114517.0,0.3
11350,서울특별시 노원구,70대,173812539581.0,2.2,120431243272.0,1.6
11350,서울특별시 노원구,60대,531905071239.0,6.9,455509429114.0,5.9
11350,서울특별시 노원구,50대,901849082272.0,11.7,899431654484.0,11.6
11350,서울특별시 노원구,40대,959250506004.0,12.4,878130087614.0,11.4
11350,서울특별시 노원구,30대,893365594473.0,11.6,690792757870.0,8.9
11350,서울특별시 노원구,20대,556391525889.0,7.2,554930545488.0,7.2
11350,서울특별시 노원구,10대,32258294596.0,0.4,33568902160.0,0.4
11590,서울특별시 동작구,80대,32832256804.0,0.5,24944047753.0,0.4
11590,서울특별시 동작구,70대,143702392187.0,2.1,109350849372.0,1.6
11590,서울특별시 동작구,60대,416749466938.0,6.2,324335478079.0,4.8
11590,서울특별시 동작구,50대,732275716335.0,10.9,576046661110.0,8.6
11590,서울특별시 동작구,40대,706205638952.0,10.5,486806444306.0,7.2
11590,서울특별시 동작구,30대,1049181242734.0,15.6,579583946731.0,8.6
11590,서울특별시 동작구,20대,812893929236.0,12.1,690547060956.0,10.3
11590,서울특별시 동작구,10대,22349190087.0,0.3,18597710601.0,0.3
11650,서울특별시 서초구,80대,220061740275.0,0.6,172931259250.0,0.4
11650,서울특별시 서초구,70대,820727194658.0,2.1,862683116336.0,2.2
11650,서울특별시 서초구,60대,2290010113763.0,5.8,2870810538683.0,7.2
11650,서울특별시 서초구,50대,3841292781285.0,9.7,4649071505546.0,11.7
11650,서울특별시 서초구,40대,4353982166336.0,11.0,5043725020484.0,12.7
11650,서울특별시 서초구,30대,4668818161709.0,11.8,4929263095415.0,12.4
11650,서울특별시 서초구,20대,2017888553025.0,5.1,2799502738818.0,7.1
11650,서울특별시 서초구,10대,58590667177.0,0.1,72565423340.0,0.2
11410,서울특별시 서대문구,80대,29077174286.0,0.4,28196145951.0,0.4
11410,서울특별시 서대문구,70대,105366366234.0,1.4,94812617700.0,1.3
11410,서울특별시 서대문구,60대,349813121459.0,4.7,309297794783.0,4.2
11410,서울특별시 서대문구,50대,700464436874.0,9.5,690924262877.0,9.3
11410,서울특별시 서대문구,40대,688041594663.0,9.3,641623135442.0,8.7
11410,서울특별시 서대문구,30대,849281818026.0,11.5,711482686511.0,9.6
11410,서울특별시 서대문구,20대,782317881677.0,10.6,1330641303924.0,18.0
11410,서울특별시 서대문구,10대,31193893598.0,0.4,66678229725.0,0.9
11440,서울특별시 마포구,80대,34711096879.0,0.2,28996498129.0,0.2
11440,서울특별시 마포구,70대,146772377305.0,0.9,116028870291.0,0.7
11440,서울특별시 마포구,60대,577923199525.0,3.4,452495812549.0,2.7
11440,서울특별시 마포구,50대,1339325981485.0,7.9,1066552935246.0,6.3
11440,서울특별시 마포구,40대,1732908622090.0,10.2,1255640251143.0,7.4
11440,서울특별시 마포구,30대,2634537195713.0,15.6,2000343353084.0,11.8
11440,서울특별시 마포구,20대,2111737879886.0,12.5,3167771879378.0,18.7
11440,서울특별시 마포구,10대,85939712577.0,0.5,169733506895.0,1.0
11200,서울특별시 성동구,80대,24451503604.0,0.3,21089227773.0,0.2
11200,서울특별시 성동구,70대,121599078157.0,1.3,92158784986.0,1.0
11200,서울특별시 성동구,60대,448123743793.0,4.8,330427533183.0,3.6
11200,서울특별시 성동구,50대,893231582238.0,9.6,689344520187.0,7.4
11200,서울특별시 성동구,40대,1050616926936.0,11.3,754459457241.0,8.1
11200,서울특별시 성동구,30대,1412194900401.0,15.2,1015769042217.0,11.0
11200,서울특별시 성동구,20대,1030527562527.0,11.1,1296024255936.0,14.0
11200,서울특별시 성동구,10대,34511679245.0,0.4,53380972961.0,0.6
11290,서울특별시 성북구,80대,20490489200.0,0.4,18676432304.0,0.3
11290,서울특별시 성북구,70대,104769231847.0,1.8,82334020141.0,1.4
11290,서울특별시 성북구,60대,364592381839.0,6.3,292237786987.0,5.0
11290,서울특별시 성북구,50대,693868220704.0,11.9,600764108811.0,10.3
11290,서울특별시 성북구,40대,688742803796.0,11.8,538877992589.0,9.2
11290,서울특별시 성북구,30대,738234533978.0,12.7,478405352094.0,8.2
11290,서울특별시 성북구,20대,565698666577.0,9.7,581910423395.0,10.0
11290,서울특별시 성북구,10대,25737357246.0,0.4,33511043675.0,0.6
11710,서울특별시 송파구,80대,88744167884.0,0.3,68656660563.0,0.3
11710,서울특별시 송파구,70대,515756581420.0,2.0,335458627860.0,1.3
11710,서울특별시 송파구,60대,1547697158481.0,6.1,1219531946777.0,4.8
11710,서울특별시 송파구,50대,2429220482682.0,9.5,2145369061359.0,8.4
11710,서울특별시 송파구,40대,3272109198357.0,12.8,2733510997970.0,10.7
