SGG_CD,SGG_NM,SIDO_CD,SIDO_NM,SIDO_AVG_STAY_TM,SIDO_AVG_LODG_TOU_RAT,SGG_CD,SGG_NM,SGG_AVG_STAY_TM,SGG_AVG_LODG_TOU_RAT
,,11305,강북구,127.05821808948951,0.030313073187300255,,,0.0,0.0
,,11740,강동구,217.0500016132304,0.2069904094124495,,,0.0,0.0
,,11530,구로구,-127.0115031289771,0.1125701746869141,,,0.0,0.0
,,11500,강서구,-49.6985925025632,0.0704191544813475,,,0.0,0.0
,,11620,관악구,276.84159555509234,0.07330194705100856,,,0.0,0.0
,,11215,광진구,-186.94408111925304,0.01701827794664812,,,0.0,0.0
,,11545,금천구,32.96253047890639,0.09119997239013733,,,0.0,0.0
,,11680,강남구,-402.5812998880085,-0.011319163346125372,,,0.0,0.0
,,11350,노원구,60.66480750935909,0.21428150451639505,,,0.0,0.0
,,11590,동작구,1.861800024591389,0.21415731339571886,,,0.0,0.0
,,11650,서초구,-522.1941916988452,0.01227851402831126,,,0.0,0.0
,,11440,마포구,-387.750409960566,-0.14434330274742369,,,0.0,0.0
,,11200,성동구,-182.57700962479998,0.07807204751972519,,,0.0,0.0
,,11230,동대문구,0.9598918489862172,0.14875884821539964,,,0.0,0.0
,,11320,도봉구,71.24699737699814,0.16068534757782071,,,0.0,0.0
,,11410,서대문구,-217.8229330482436,0.033003704097731124,,,0.0,0.0
,,11380,은평구,391.430273701866,0.1725135989610962,,,0.0,0.0
,,11140,중구,-665.019350548574,-0.13227086427586876,,,0.0,0.0
,,11710,송파구,-167.8731929126251,0.07700302327712816,,,0.0,0.0
,,11560,영등포구,-336.2118146861733,-0.05667902880944542,,,0.0,0.0
,,11290,성북구,166.7911109624846,0.1910625449097476,,,0.0,0.0
,,11110,종로구,-615.3500892199093,-0.16487903389680136,,,0.0,0.0
,,11470,양천구,83.41196465344717,0.2489894330921345,,,0.0,0.0
,,11170,용산구,-531.9031232424358,-0.1445930812959424,,,0.0,0.0
,,26440,강서구,-390.5466983576348,-0.000491131455907734,,,0.0,0.0
,,26710,기장군,-398.5896749846104,-0.17687293577573948,,,0.0,0.0
,,26290,남구,105.57565633985166,0.15033325420607202,,,0.0,0.0
,,26170,동구,-540.1139385856861,-0.1631045142049552,,,0.0,0.0
