구분,BASE_YM,AREA_NM,TOU_NUM
안동_현지인,201801,풍산읍,190946.0
안동_현지인,201801,와룡면,70735.0
안동_현지인,201801,북후면,52650.0
안동_현지인,201801,서후면,92281.0
안동_현지인,201801,풍천면,74991.0
안동_현지인,201801,일직면,33215.0
안동_현지인,201801,남후면,60004.0
안동_현지인,201801,남선면,45731.0
안동_현지인,201801,임하면,48766.0
안동_현지인,201801,길안면,35266.0
안동_현지인,201801,임동면,25204.0
안동_현지인,201801,예안면,16464.0
안동_현지인,201801,도산면,27118.0
안동_현지인,201801,녹전면,16268.0
안동_현지인,201801,중구동,782824.0
안동_현지인,201801,명륜동,131068.0
안동_현지인,201801,용상동,724384.0
안동_현지인,201801,서구동,506380.0
안동_현지인,201801,태화동,418040.0
안동_현지인,201801,평화동,131915.0
안동_현지인,201801,안기동,104346.0
안동_현지인,201801,옥동,911816.0
안동_현지인,201801,송하동,348330.0
안동_현지인,201801,강남동,419454.0
안동_현지인,201802,풍산읍,176365.0
안동_현지인,201802,와룡면,71908.0
안동_현지인,201802,북후면,57004.0
안동_현지인,201802,서후면,89061.0
안동_현지인,201802,풍천면,71278.0
안동_현지인,201802,일직면,36158.0
안동_현지인,201802,남후면,49878.0
안동_현지인,201802,남선면,41979.0
안동_현지인,201802,임하면,46582.0
안동_현지인,201802,길안면,36652.0
안동_현지인,201802,임동면,24038.0
안동_현지인,201802,예안면,17563.0
안동_현지인,201802,도산면,26026.0
안동_현지인,201802,녹전면,17262.0
안동_현지인,201802,중구동,732858.0
안동_현지인,201802,명륜동,128352.0
안동_현지인,201802,용상동,663030.0
안동_현지인,201802,서구동,476714.0
안동_현지인,201802,태화동,395549.0
안동_현지인,201802,평화동,119420.0
안동_현지인,201802,안기동,101192.0
안동_현지인,201802,옥동,834676.0
안동_현지인,201802,송하동,330516.0
안동_현지인,201802,강남동,385140.0
안동_현지인,201803,풍산읍,204953.0
안동_현지인,201803,와룡면,87650.0
안동_현지인,201803,북후면,69083.0
안동_현지인,201803,서후면,129899.0
안동_현지인,201803,풍천면,87528.0
안동_현지인,201803,일직면,42662.0
안동_현지인,201803,남후면,57414.0
안동_현지인,201803,남선면,52924.0
안동_현지인,201803,임하면,57600.0
안동_현지인,201803,길안면,45328.0
안동_현지인,201803,임동면,28080.0
안동_현지인,201803,예안면,20132.0
안동_현지인,201803,도산면,35354.0
안동_현지인,201803,녹전면,20332.0
안동_현지인,201803,중구동,866474.0
안동_현지인,201803,명륜동,160433.0
안동_현지인,201803,용상동,794647.0
안동_현지인,201803,서구동,587832.0
안동_현지인,201803,태화동,465174.0
안동_현지인,201803,평화동,138212.0
안동_현지인,201803,안기동,115080.0
안동_현지인,201803,옥동,916570.0
안동_현지인,201803,송하동,400964.0
안동_현지인,201803,강남동,469063.0
안동_현지인,201804,풍산읍,188290.0
안동_현지인,201804,와룡면,94098.0
안동_현지인,201804,북후면,74378.0
안동_현지인,201804,서후면,115143.0
안동_현지인,201804,풍천면,88154.0
안동_현지인,201804,일직면,43936.0
안동_현지인,201804,남후면,56564.0
안동_현지인,201804,남선면,53102.0
안동_현지인,201804,임하면,58058.0
안동_현지인,201804,길안면,45808.0
안동_현지인,201804,임동면,34230.0
안동_현지인,201804,예안면,21480.0
안동_현지인,201804,도산면,36015.0
안동_현지인,201804,녹전면,21276.0
안동_현지인,201804,중구동,867895.0
안동_현지인,201804,명륜동,126070.0
안동_현지인,201804,용상동,767711.0
안동_현지인,201804,서구동,539018.0
안동_현지인,201804,태화동,443972.0
안동_현지인,201804,평화동,131026.0
안동_현지인,201804,안기동,104920.0
안동_현지인,201804,옥동,884510.0
안동_현지인,201804,송하동,376208.0
안동_현지인,201804,강남동,442670.0
안동_현지인,201805,풍산읍,192560.0
안동_현지인,201805,와룡면,103810.0
안동_현지인,201805,북후면,81904.0
안동_현지인,201805,서후면,140508.0
안동_현지인,201805,풍천면,97524.0
안동_현지인,201805,일직면,51975.0
안동_현지인,201805,남후면,64092.0
안동_현지인,201805,남선면,61590.0
안동_현지인,201805,임하면,68190.0
안동_현지인,201805,길안면,55209.0
안동_현지인,201805,임동면,35500.0
안동_현지인,201805,예안면,26075.0
안동_현지인,201805,도산면,45486.0
안동_현지인,201805,녹전면,24577.0
안동_현지인,201805,중구동,934986.0
안동_현지인,201805,명륜동,133994.0
안동_현지인,201805,용상동,919723.0
안동_현지인,201805,서구동,575628.0
안동_현지인,201805,태화동,463624.0
안동_현지인,201805,평화동,135989.0
안동_현지인,201805,안기동,109014.0
안동_현지인,201805,옥동,940156.0
안동_현지인,201805,송하동,403788.0
안동_현지인,201805,강남동,470092.0
안동_현지인,201806,풍산읍,183404.0
안동_현지인,201806,와룡면,95144.0
안동_현지인,201806,북후면,76192.0
안동_현지인,201806,서후면,132458.0
안동_현지인,201806,풍천면,98546.0
안동_현지인,201806,일직면,51824.0
안동_현지인,201806,남후면,61404.0
안동_현지인,201806,남선면,60200.0
안동_현지인,201806,임하면,70620.0
안동_현지인,201806,길안면,51464.0
안동_현지인,201806,임동면,33936.0
안동_현지인,201806,예안면,24493.0
안동_현지인,201806,도산면,37485.0
안동_현지인,201806,녹전면,21452.0
안동_현지인,201806,중구동,820816.0
안동_현지인,201806,명륜동,131362.0
안동_현지인,201806,용상동,880918.0
안동_현지인,201806,서구동,653415.0
안동_현지인,201806,태화동,465174.0
안동_현지인,201806,평화동,131344.0
안동_현지인,201806,안기동,105959.0
안동_현지인,201806,옥동,892990.0
안동_현지인,201806,송하동,408723.0
안동_현지인,201806,강남동,458535.0
안동_현지인,201807,풍산읍,187278.0
안동_현지인,201807,와룡면,96204.0
안동_현지인,201807,북후면,53578.0
안동_현지인,201807,서후면,139660.0
안동_현지인,201807,풍천면,120449.0
안동_현지인,201807,일직면,49581.0
안동_현지인,201807,남후면,63984.0
안동_현지인,201807,남선면,57008.0
안동_현지인,201807,임하면,67512.0
안동_현지인,201807,길안면,53854.0
안동_현지인,201807,임동면,31868.0
안동_현지인,201807,예안면,22838.0
안동_현지인,201807,도산면,38854.0
안동_현지인,201807,녹전면,21560.0
안동_현지인,201807,중구동,749654.0
안동_현지인,201807,명륜동,208859.0
안동_현지인,201807,용상동,849786.0
안동_현지인,201807,서구동,719120.0
안동_현지인,201807,태화동,470281.0
안동_현지인,201807,평화동,142670.0
안동_현지인,201807,안기동,98357.0
안동_현지인,201807,옥동,914448.0
안동_현지인,201807,송하동,480036.0
안동_현지인,201807,강남동,476203.0
안동_현지인,201808,풍산읍,179512.0
안동_현지인,201808,와룡면,91150.0
안동_현지인,201808,북후면,53354.0
안동_현지인,201808,서후면,131607.0
안동_현지인,201808,풍천면,129549.0
안동_현지인,201808,일직면,46326.0
안동_현지인,201808,남후면,67186.0
안동_현지인,201808,남선면,52762.0
안동_현지인,201808,임하면,53924.0
안동_현지인,201808,길안면,53438.0
안동_현지인,201808,임동면,29978.0
안동_현지인,201808,예안면,21998.0
안동_현지인,201808,도산면,34874.0
안동_현지인,201808,녹전면,19306.0
안동_현지인,201808,중구동,689868.0
안동_현지인,201808,명륜동,222022.0
안동_현지인,201808,용상동,801734.0
안동_현지인,201808,서구동,668952.0
안동_현지인,201808,태화동,466802.0
안동_현지인,201808,평화동,120194.0
안동_현지인,201808,안기동,111244.0
안동_현지인,201808,옥동,879914.0
안동_현지인,201808,송하동,384972.0
안동_현지인,201808,강남동,449673.0
안동_현지인,201809,풍산읍,182987.0
안동_현지인,201809,와룡면,101986.0
안동_현지인,201809,북후면,58824.0
안동_현지인,201809,서후면,155827.0
안동_현지인,201809,풍천면,136398.0
안동_현지인,201809,일직면,51930.0
안동_현지인,201809,남후면,70424.0
안동_현지인,201809,남선면,53462.0
안동_현지인,201809,임하면,57736.0
안동_현지인,201809,길안면,56612.0
안동_현지인,201809,임동면,36386.0
안동_현지인,201809,예안면,26621.0
안동_현지인,201809,도산면,36239.0
안동_현지인,201809,녹전면,22516.0
안동_현지인,201809,중구동,701284.0
안동_현지인,201809,명륜동,200644.0
안동_현지인,201809,용상동,774704.0
안동_현지인,201809,서구동,695174.0
안동_현지인,201809,태화동,461108.0
안동_현지인,201809,평화동,128247.0
안동_현지인,201809,안기동,98112.0
안동_현지인,201809,옥동,843038.0
안동_현지인,201809,송하동,380618.0
안동_현지인,201809,강남동,414116.0
안동_현지인,201810,풍산읍,191916.0
안동_현지인,201810,와룡면,92572.0
안동_현지인,201810,북후면,57617.0
안동_현지인,201810,서후면,157622.0
안동_현지인,201810,풍천면,106250.0
안동_현지인,201810,일직면,48748.0
안동_현지인,201810,남후면,63224.0
안동_현지인,201810,남선면,52724.0
안동_현지인,201810,임하면,61614.0
안동_현지인,201810,길안면,56942.0
안동_현지인,201810,임동면,36603.0
안동_현지인,201810,예안면,23398.0
안동_현지인,201810,도산면,41755.0
안동_현지인,201810,녹전면,21808.0
안동_현지인,201810,중구동,779342.0
안동_현지인,201810,명륜동,204424.0
안동_현지인,201810,용상동,807334.0
안동_현지인,201810,서구동,680995.0
안동_현지인,201810,태화동,467908.0
안동_현지인,201810,평화동,133262.0
안동_현지인,201810,안기동,100446.0
안동_현지인,201810,옥동,856744.0
안동_현지인,201810,송하동,377738.0
안동_현지인,201810,강남동,458462.0
안동_현지인,201811,풍산읍,188433.0
안동_현지인,201811,와룡면,81795.0
안동_현지인,201811,북후면,51516.0
안동_현지인,201811,서후면,138208.0
안동_현지인,201811,풍천면,100891.0
안동_현지인,201811,일직면,46554.0
안동_현지인,201811,남후면,59108.0
안동_현지인,201811,남선면,52462.0
안동_현지인,201811,임하면,55296.0
안동_현지인,201811,길안면,53778.0
안동_현지인,201811,임동면,30194.0
안동_현지인,201811,예안면,23202.0
안동_현지인,201811,도산면,36606.0
안동_현지인,201811,녹전면,19285.0
안동_현지인,201811,중구동,741408.0
안동_현지인,201811,명륜동,185574.0
안동_현지인,201811,용상동,812595.0
안동_현지인,201811,서구동,622160.0
안동_현지인,201811,태화동,446866.0
