SGG_CD,SGG_NM,PERIOD,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,2020,경상북도,상주시,8388,92.0,52.6,313,18.0,3.7
47170,경상북도 안동시,2020,경상북도,봉화군,8388,92.0,52.6,288,17.0,3.4
47170,경상북도 안동시,2020,경상북도,칠곡군,8388,92.0,52.6,267,16.0,3.2
47170,경상북도 안동시,2020,경상북도,영덕군,8388,92.0,52.6,260,16.0,3.1
47170,경상북도 안동시,2020,경상북도,경주시,8388,92.0,52.6,229,15.0,2.7
47170,경상북도 안동시,2020,경상북도,포항시 북구,8388,92.0,52.6,200,14.0,2.4
47170,경상북도 안동시,2020,경상북도,경산시,8388,92.0,52.6,173,13.0,2.1
47170,경상북도 안동시,2020,경상북도,김천시,8388,92.0,52.6,135,12.0,1.6
47170,경상북도 안동시,2020,경상북도,영양군,8388,92.0,52.6,132,11.0,1.6
47170,경상북도 안동시,2020,경상북도,영천시,8388,92.0,52.6,136,12.0,1.6
47170,경상북도 안동시,2020,경상북도,포항시 남구,8388,92.0,52.6,120,11.0,1.4
47170,경상북도 안동시,2020,경상북도,울진군,8388,92.0,52.6,112,11.0,1.3
47170,경상북도 안동시,2020,경상북도,성주군,8388,92.0,52.6,37,6.0,0.4
47170,경상북도 안동시,2020,경상북도,청도군,8388,92.0,52.6,25,5.0,0.3
47170,경상북도 안동시,2020,경상북도,고령군,8388,92.0,52.6,17,4.0,0.2
47170,경상북도 안동시,2020,대구광역시,북구,1653,41.0,10.4,424,21.0,25.7
47170,경상북도 안동시,2020,대구광역시,달서구,1653,41.0,10.4,296,17.0,17.9
47170,경상북도 안동시,2020,대구광역시,동구,1653,41.0,10.4,292,17.0,17.7
47170,경상북도 안동시,2020,대구광역시,수성구,1653,41.0,10.4,228,15.0,13.8
47170,경상북도 안동시,2020,대구광역시,달성군,1653,41.0,10.4,142,12.0,8.6
47170,경상북도 안동시,2020,대구광역시,중구,1653,41.0,10.4,114,11.0,6.9
47170,경상북도 안동시,2020,대구광역시,서구,1653,41.0,10.4,90,9.0,5.4
