SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL
27230,대구광역시 북구,3,체류시간,10.5
27230,대구광역시 북구,4,목적지 검색량,
27230,대구광역시 북구,5,관광소비,13.1
27140,대구광역시 동구,1,방문자유입,
27140,대구광역시 동구,2,숙박방문자 비율,12.6
27140,대구광역시 동구,3,체류시간,10.5
27140,대구광역시 동구,4,목적지 검색량,
27140,대구광역시 동구,5,관광소비,15.6
27710,대구광역시 달성군,1,방문자유입,
27710,대구광역시 달성군,2,숙박방문자 비율,11.9
27710,대구광역시 달성군,3,체류시간,11.1
27710,대구광역시 달성군,4,목적지 검색량,
27710,대구광역시 달성군,5,관광소비,14.3
27200,대구광역시 남구,1,방문자유입,
27200,대구광역시 남구,2,숙박방문자 비율,11.6
27200,대구광역시 남구,3,체류시간,11.4
27200,대구광역시 남구,4,목적지 검색량,
27200,대구광역시 남구,5,관광소비,13.1
27170,대구광역시 서구,1,방문자유입,
27170,대구광역시 서구,2,숙박방문자 비율,12.2
27170,대구광역시 서구,3,체류시간,11.0
27170,대구광역시 서구,4,목적지 검색량,
27170,대구광역시 서구,5,관광소비,14.2
27110,대구광역시 중구,1,방문자유입,
27110,대구광역시 중구,2,숙박방문자 비율,14.2
27110,대구광역시 중구,3,체류시간,12.3
27110,대구광역시 중구,4,목적지 검색량,
27110,대구광역시 중구,5,관광소비,13.3
27260,대구광역시 수성구,1,방문자유입,
27260,대구광역시 수성구,2,숙박방문자 비율,11.9
27260,대구광역시 수성구,3,체류시간,10.4
27260,대구광역시 수성구,4,목적지 검색량,
27260,대구광역시 수성구,5,관광소비,13.5
28245,인천광역시 계양구,1,방문자유입,
28245,인천광역시 계양구,2,숙박방문자 비율,11.8
28245,인천광역시 계양구,3,체류시간,9.9
28245,인천광역시 계양구,4,목적지 검색량,
28245,인천광역시 계양구,5,관광소비,12.4
28710,인천광역시 강화군,1,방문자유입,
28710,인천광역시 강화군,2,숙박방문자 비율,11.6
28710,인천광역시 강화군,3,체류시간,13.0
28710,인천광역시 강화군,4,목적지 검색량,
28710,인천광역시 강화군,5,관광소비,13.5
28290,인천광역시 검단구,1,방문자유입,
28290,인천광역시 검단구,2,숙박방문자 비율,
28290,인천광역시 검단구,3,체류시간,
28290,인천광역시 검단구,4,목적지 검색량,
28290,인천광역시 검단구,5,관광소비,
28200,인천광역시 남동구,1,방문자유입,
28200,인천광역시 남동구,2,숙박방문자 비율,10.8
28200,인천광역시 남동구,3,체류시간,9.8
28200,인천광역시 남동구,4,목적지 검색량,
28200,인천광역시 남동구,5,관광소비,13.1
28237,인천광역시 부평구,1,방문자유입,
28237,인천광역시 부평구,2,숙박방문자 비율,11.7
28237,인천광역시 부평구,3,체류시간,11.1
28237,인천광역시 부평구,4,목적지 검색량,
28237,인천광역시 부평구,5,관광소비,13.8
28177,인천광역시 미추홀구,1,방문자유입,
28177,인천광역시 미추홀구,2,숙박방문자 비율,11.2
28177,인천광역시 미추홀구,3,체류시간,11.1
28177,인천광역시 미추홀구,4,목적지 검색량,
28177,인천광역시 미추홀구,5,관광소비,12.8
28260,인천광역시 서구,1,방문자유입,
28260,인천광역시 서구,2,숙박방문자 비율,12.0
28260,인천광역시 서구,3,체류시간,9.6
28260,인천광역시 서구,4,목적지 검색량,
28260,인천광역시 서구,5,관광소비,12.5
28155,인천광역시 영종구,1,방문자유입,
28155,인천광역시 영종구,2,숙박방문자 비율,
28155,인천광역시 영종구,3,체류시간,
28155,인천광역시 영종구,4,목적지 검색량,
28155,인천광역시 영종구,5,관광소비,
28720,인천광역시 옹진군,1,방문자유입,
28720,인천광역시 옹진군,2,숙박방문자 비율,12.8
28720,인천광역시 옹진군,3,체류시간,11.5
28720,인천광역시 옹진군,4,목적지 검색량,
28720,인천광역시 옹진군,5,관광소비,13.7
28125,인천광역시 제물포구,1,방문자유입,
28125,인천광역시 제물포구,2,숙박방문자 비율,
28125,인천광역시 제물포구,3,체류시간,
28125,인천광역시 제물포구,4,목적지 검색량,
28125,인천광역시 제물포구,5,관광소비,
28275,인천광역시 서해구,1,방문자유입,
28275,인천광역시 서해구,2,숙박방문자 비율,
28275,인천광역시 서해구,3,체류시간,
28275,인천광역시 서해구,4,목적지 검색량,
28275,인천광역시 서해구,5,관광소비,
28185,인천광역시 연수구,1,방문자유입,
28185,인천광역시 연수구,2,숙박방문자 비율,12.8
28185,인천광역시 연수구,3,체류시간,11.5
28185,인천광역시 연수구,4,목적지 검색량,
28185,인천광역시 연수구,5,관광소비,14.5
28140,인천광역시 동구,1,방문자유입,
28140,인천광역시 동구,2,숙박방문자 비율,10.1
28140,인천광역시 동구,3,체류시간,9.5
28140,인천광역시 동구,4,목적지 검색량,
28140,인천광역시 동구,5,관광소비,10.4
28110,인천광역시 중구,1,방문자유입,
28110,인천광역시 중구,2,숙박방문자 비율,15.4
28110,인천광역시 중구,3,체류시간,8.5
28110,인천광역시 중구,4,목적지 검색량,
28110,인천광역시 중구,5,관광소비,13.7
30230,대전광역시 대덕구,1,방문자유입,
30230,대전광역시 대덕구,2,숙박방문자 비율,11.4
30230,대전광역시 대덕구,3,체류시간,9.6
30230,대전광역시 대덕구,4,목적지 검색량,
30230,대전광역시 대덕구,5,관광소비,15.1
30110,대전광역시 동구,1,방문자유입,
30110,대전광역시 동구,2,숙박방문자 비율,13.4
30110,대전광역시 동구,3,체류시간,10.4
30110,대전광역시 동구,4,목적지 검색량,
30110,대전광역시 동구,5,관광소비,9.6
29140,광주광역시 서구,1,방문자유입,
29140,광주광역시 서구,2,숙박방문자 비율,11.9
29140,광주광역시 서구,3,체류시간,10.1
29140,광주광역시 서구,4,목적지 검색량,
29140,광주광역시 서구,5,관광소비,14.6
29200,광주광역시 광산구,1,방문자유입,
29200,광주광역시 광산구,2,숙박방문자 비율,12.5
29200,광주광역시 광산구,3,체류시간,10.4
29200,광주광역시 광산구,4,목적지 검색량,
29200,광주광역시 광산구,5,관광소비,14.3
29110,광주광역시 동구,1,방문자유입,
29110,광주광역시 동구,2,숙박방문자 비율,12.9
29110,광주광역시 동구,3,체류시간,12.0
