SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL,TURSM_DNS_DIV_VAL2
11560,서울특별시 영등포구,1,방문자유입,253,7
11560,서울특별시 영등포구,2,숙박방문자 비율,248,12
11560,서울특별시 영등포구,3,체류시간,20,240
11560,서울특별시 영등포구,4,목적지 검색량,240,19
11560,서울특별시 영등포구,5,관광소비,254,6
11380,서울특별시 은평구,1,방문자유입,183,77
11380,서울특별시 은평구,2,숙박방문자 비율,186,74
11380,서울특별시 은평구,3,체류시간,215,45
11380,서울특별시 은평구,4,목적지 검색량,143,116
11380,서울특별시 은평구,5,관광소비,189,71
11110,서울특별시 종로구,1,방문자유입,256,4
11110,서울특별시 종로구,2,숙박방문자 비율,228,32
11110,서울특별시 종로구,3,체류시간,3,257
11110,서울특별시 종로구,4,목적지 검색량,220,39
11110,서울특별시 종로구,5,관광소비,252,8
11260,서울특별시 중랑구,1,방문자유입,179,81
11260,서울특별시 중랑구,2,숙박방문자 비율,168,92
11260,서울특별시 중랑구,3,체류시간,171,89
11260,서울특별시 중랑구,4,목적지 검색량,83,176
11260,서울특별시 중랑구,5,관광소비,158,102
26170,부산광역시 동구,1,방문자유입,169,91
26170,부산광역시 동구,2,숙박방문자 비율,97,163
26170,부산광역시 동구,3,체류시간,5,255
26170,부산광역시 동구,4,목적지 검색량,110,149
26170,부산광역시 동구,5,관광소비,119,141
26290,부산광역시 남구,1,방문자유입,159,101
26290,부산광역시 남구,2,숙박방문자 비율,149,111
26290,부산광역시 남구,3,체류시간,145,115
26290,부산광역시 남구,4,목적지 검색량,119,140
26290,부산광역시 남구,5,관광소비,130,130
26710,부산광역시 기장군,1,방문자유입,192,68
26710,부산광역시 기장군,2,숙박방문자 비율,153,107
26710,부산광역시 기장군,3,체류시간,18,242
26710,부산광역시 기장군,4,목적지 검색량,235,24
26710,부산광역시 기장군,5,관광소비,203,57
26440,부산광역시 강서구,1,방문자유입,186,74
26440,부산광역시 강서구,2,숙박방문자 비율,102,158
26440,부산광역시 강서구,3,체류시간,16,244
26440,부산광역시 강서구,4,목적지 검색량,201,58
26440,부산광역시 강서구,5,관광소비,191,69
26410,부산광역시 금정구,1,방문자유입,154,106
26410,부산광역시 금정구,2,숙박방문자 비율,121,139
26410,부산광역시 금정구,3,체류시간,112,148
26410,부산광역시 금정구,4,목적지 검색량,118,141
26410,부산광역시 금정구,5,관광소비,116,144
26260,부산광역시 동래구,1,방문자유입,185,75
26260,부산광역시 동래구,2,숙박방문자 비율,152,108
26260,부산광역시 동래구,3,체류시간,54,206
26260,부산광역시 동래구,4,목적지 검색량,131,128
26260,부산광역시 동래구,5,관광소비,148,112
26230,부산광역시 부산진구,1,방문자유입,248,12
26230,부산광역시 부산진구,2,숙박방문자 비율,242,18
26230,부산광역시 부산진구,3,체류시간,30,230
26230,부산광역시 부산진구,4,목적지 검색량,174,85
26230,부산광역시 부산진구,5,관광소비,220,40
26500,부산광역시 수영구,1,방문자유입,184,76
26500,부산광역시 수영구,2,숙박방문자 비율,182,78
26500,부산광역시 수영구,3,체류시간,25,235
26500,부산광역시 수영구,4,목적지 검색량,147,112
26500,부산광역시 수영구,5,관광소비,137,123
26470,부산광역시 연제구,1,방문자유입,149,111
26470,부산광역시 연제구,2,숙박방문자 비율,118,142
26470,부산광역시 연제구,3,체류시간,57,203
26470,부산광역시 연제구,4,목적지 검색량,59,200
26470,부산광역시 연제구,5,관광소비,144,116
26380,부산광역시 사하구,1,방문자유입,128,132
26380,부산광역시 사하구,2,숙박방문자 비율,133,127
26380,부산광역시 사하구,3,체류시간,200,60
26380,부산광역시 사하구,4,목적지 검색량,101,158
26380,부산광역시 사하구,5,관광소비,106,154
26110,부산광역시 중구,1,방문자유입,189,71
26110,부산광역시 중구,2,숙박방문자 비율,103,157
26110,부산광역시 중구,3,체류시간,2,258
26110,부산광역시 중구,4,목적지 검색량,113,146
26110,부산광역시 중구,5,관광소비,136,124
26530,부산광역시 사상구,1,방문자유입,148,112
26530,부산광역시 사상구,2,숙박방문자 비율,120,140
26530,부산광역시 사상구,3,체류시간,59,201
26530,부산광역시 사상구,4,목적지 검색량,112,147
26530,부산광역시 사상구,5,관광소비,145,115
26320,부산광역시 북구,1,방문자유입,125,135
26320,부산광역시 북구,2,숙박방문자 비율,122,138
26320,부산광역시 북구,3,체류시간,134,126
26320,부산광역시 북구,4,목적지 검색량,79,180
26320,부산광역시 북구,5,관광소비,223,37
26140,부산광역시 서구,1,방문자유입,117,143
26140,부산광역시 서구,2,숙박방문자 비율,91,169
26140,부산광역시 서구,3,체류시간,37,223
26140,부산광역시 서구,4,목적지 검색량,62,197
26140,부산광역시 서구,5,관광소비,74,186
26200,부산광역시 영도구,1,방문자유입,108,152
26200,부산광역시 영도구,2,숙박방문자 비율,69,191
26200,부산광역시 영도구,3,체류시간,51,209
26200,부산광역시 영도구,4,목적지 검색량,95,164
26200,부산광역시 영도구,5,관광소비,44,216
26350,부산광역시 해운대구,1,방문자유입,244,16
26350,부산광역시 해운대구,2,숙박방문자 비율,256,4
26350,부산광역시 해운대구,3,체류시간,69,191
26350,부산광역시 해운대구,4,목적지 검색량,239,20
26350,부산광역시 해운대구,5,관광소비,251,9
27290,대구광역시 달서구,1,방문자유입,227,33
27290,대구광역시 달서구,2,숙박방문자 비율,233,27
27290,대구광역시 달서구,3,체류시간,176,84
27290,대구광역시 달서구,4,목적지 검색량,172,87
27290,대구광역시 달서구,5,관광소비,188,72
27200,대구광역시 남구,1,방문자유입,144,116
27200,대구광역시 남구,2,숙박방문자 비율,101,159
27200,대구광역시 남구,3,체류시간,44,216
27200,대구광역시 남구,4,목적지 검색량,88,171
27200,대구광역시 남구,5,관광소비,85,175
27230,대구광역시 북구,1,방문자유입,215,45
27230,대구광역시 북구,2,숙박방문자 비율,202,58
