SGG_CD,SGG_NM,AGEG_DIV_NM,TOU_NUM1,TOU_NUM1_RATE,TOU_NUM2,TOU_NUM2_RATE
11350,서울특별시 노원구,0~9세,1542255.0,0.3,1795552.0,0.4
11230,서울특별시 동대문구,70세 이상,19483120.0,4.2,15456110.0,3.3
11230,서울특별시 동대문구,60~69세,42207571.0,9.0,27343890.0,5.8
11230,서울특별시 동대문구,50~59세,51328055.0,11.0,34672095.0,7.4
11230,서울특별시 동대문구,40~49세,44626641.0,9.5,27630939.0,5.9
11230,서울특별시 동대문구,30~39세,46893345.0,10.0,33177811.0,7.1
11230,서울특별시 동대문구,20~29세,49521171.0,10.6,53641639.0,11.5
11230,서울특별시 동대문구,10~19세,9324386.0,2.0,10336254.0,2.2
11230,서울특별시 동대문구,0~9세,964053.0,0.2,1128223.0,0.2
11215,서울특별시 광진구,70세 이상,16909236.0,2.8,12482622.0,2.1
11215,서울특별시 광진구,60~69세,45698419.0,7.6,29095943.0,4.9
11215,서울특별시 광진구,50~59세,61814026.0,10.3,41720693.0,7.0
11215,서울특별시 광진구,40~49세,59883445.0,10.0,37242441.0,6.2
11215,서울특별시 광진구,30~39세,67013225.0,11.2,50803998.0,8.5
11215,서울특별시 광진구,20~29세,69351204.0,11.6,76214442.0,12.7
11215,서울특별시 광진구,10~19세,12612824.0,2.1,15020443.0,2.5
11215,서울특별시 광진구,0~9세,1094091.0,0.2,1349004.0,0.2
11590,서울특별시 동작구,70세 이상,16854519.0,3.4,13360417.0,2.7
11590,서울특별시 동작구,60~69세,37194677.0,7.5,26077177.0,5.2
11590,서울특별시 동작구,50~59세,49760763.0,10.0,34151463.0,6.9
11590,서울특별시 동작구,40~49세,49948518.0,10.1,30257490.0,6.1
11590,서울특별시 동작구,30~39세,58726552.0,11.8,42949054.0,8.6
11590,서울특별시 동작구,20~29세,56239005.0,11.3,60432000.0,12.2
11590,서울특별시 동작구,10~19세,9257182.0,1.9,9737404.0,2.0
11590,서울특별시 동작구,0~9세,826330.0,0.2,973247.0,0.2
11440,서울특별시 마포구,70세 이상,21421949.0,2.2,16605881.0,1.7
11440,서울특별시 마포구,60~69세,62932980.0,6.4,37464213.0,3.8
11440,서울특별시 마포구,50~59세,92819707.0,9.4,58639172.0,5.9
11440,서울특별시 마포구,40~49세,97662213.0,9.9,59189350.0,6.0
11440,서울특별시 마포구,30~39세,115998243.0,11.8,92326508.0,9.4
11440,서울특별시 마포구,20~29세,119930528.0,12.1,159532695.0,16.2
11440,서울특별시 마포구,10~19세,20409290.0,2.1,28950799.0,2.9
11440,서울특별시 마포구,0~9세,1485307.0,0.2,1826647.0,0.2
11650,서울특별시 서초구,70세 이상,39968340.0,2.9,30663102.0,2.2
11650,서울특별시 서초구,60~69세,101582658.0,7.3,69152460.0,5.0
11650,서울특별시 서초구,50~59세,149648330.0,10.8,95956745.0,6.9
11650,서울특별시 서초구,40~49세,159112280.0,11.4,94085670.0,6.8
11650,서울특별시 서초구,30~39세,172092067.0,12.4,129637710.0,9.3
11650,서울특별시 서초구,20~29세,133075962.0,9.6,158441554.0,11.4
11650,서울특별시 서초구,10~19세,24123854.0,1.7,28728125.0,2.1
11650,서울특별시 서초구,0~9세,2074322.0,0.1,2498893.0,0.2
11410,서울특별시 서대문구,70세 이상,18392315.0,2.6,17366147.0,2.5
11410,서울특별시 서대문구,60~69세,44592891.0,6.3,34703002.0,4.9
11410,서울특별시 서대문구,50~59세,62698544.0,8.9,49548815.0,7.0
11410,서울특별시 서대문구,40~49세,63882604.0,9.0,46642626.0,6.6
11410,서울특별시 서대문구,30~39세,73004591.0,10.3,63675871.0,9.0
11410,서울특별시 서대문구,20~29세,82329964.0,11.6,113242875.0,16.0
11410,서울특별시 서대문구,10~19세,14625451.0,2.1,20852583.0,2.9
11410,서울특별시 서대문구,0~9세,1279278.0,0.2,1560351.0,0.2
11710,서울특별시 송파구,70세 이상,30317678.0,3.0,24845173.0,2.4
11710,서울특별시 송파구,60~69세,77107028.0,7.6,57670321.0,5.6
11710,서울특별시 송파구,50~59세,103035830.0,10.1,74335091.0,7.3
11710,서울특별시 송파구,40~49세,109372103.0,10.7,71621748.0,7.0
11710,서울특별시 송파구,30~39세,118648542.0,11.6,94942529.0,9.3
11710,서울특별시 송파구,20~29세,94131238.0,9.2,106665154.0,10.4
11710,서울특별시 송파구,10~19세,24149411.0,2.4,27873587.0,2.7
11710,서울특별시 송파구,0~9세,2923395.0,0.3,3575705.0,0.4
11290,서울특별시 성북구,70세 이상,14010508.0,3.2,13131093.0,3.0
11290,서울특별시 성북구,60~69세,34254909.0,7.7,24167434.0,5.5
11290,서울특별시 성북구,50~59세,45520936.0,10.3,33151881.0,7.5
11290,서울특별시 성북구,40~49세,41294125.0,9.3,27895662.0,6.3
11290,서울특별시 성북구,30~39세,42955245.0,9.7,32039379.0,7.2
11290,서울특별시 성북구,20~29세,49790047.0,11.2,54797158.0,12.4
11290,서울특별시 성북구,10~19세,12484312.0,2.8,14415247.0,3.3
11290,서울특별시 성북구,0~9세,1262255.0,0.3,1434895.0,0.3
11470,서울특별시 양천구,70세 이상,10393051.0,3.1,9069275.0,2.7
11470,서울특별시 양천구,60~69세,28797306.0,8.6,19320575.0,5.8
11470,서울특별시 양천구,50~59세,38839947.0,11.6,26091489.0,7.8
11470,서울특별시 양천구,40~49세,38188344.0,11.4,23887745.0,7.1
11470,서울특별시 양천구,30~39세,38607871.0,11.5,27146754.0,8.1
11470,서울특별시 양천구,20~29세,28026754.0,8.4,25351215.0,7.6
11470,서울특별시 양천구,10~19세,9466765.0,2.8,8934719.0,2.7
11470,서울특별시 양천구,0~9세,1318018.0,0.4,1457457.0,0.4
11560,서울특별시 영등포구,70세 이상,26646985.0,2.9,20024823.0,2.2
11560,서울특별시 영등포구,60~69세,70148420.0,7.6,46069024.0,5.0
11560,서울특별시 영등포구,50~59세,97921508.0,10.6,63439528.0,6.9
11560,서울특별시 영등포구,40~49세,101894370.0,11.0,59060685.0,6.4
11560,서울특별시 영등포구,30~39세,119484676.0,12.9,88104493.0,9.5
11560,서울특별시 영등포구,20~29세,92159372.0,10.0,106974986.0,11.6
11560,서울특별시 영등포구,10~19세,13579271.0,1.5,15468232.0,1.7
11560,서울특별시 영등포구,0~9세,1358311.0,0.1,1637671.0,0.2
11380,서울특별시 은평구,70세 이상,11871658.0,3.8,11922512.0,3.8
11380,서울특별시 은평구,60~69세,24803026.0,7.9,20548047.0,6.5
11380,서울특별시 은평구,50~59세,31535430.0,10.0,26122288.0,8.3
11380,서울특별시 은평구,40~49세,30212127.0,9.6,21746713.0,6.9
11380,서울특별시 은평구,30~39세,31928573.0,10.1,26827373.0,8.5
11380,서울특별시 은평구,20~29세,29751077.0,9.4,30378237.0,9.6
11380,서울특별시 은평구,10~19세,7600656.0,2.4,7847857.0,2.5
11380,서울특별시 은평구,0~9세,1170025.0,0.4,1361590.0,0.4
11200,서울특별시 성동구,70세 이상,15961661.0,3.0,11668448.0,2.2
11200,서울특별시 성동구,60~69세,41705596.0,7.9,24872801.0,4.7
11200,서울특별시 성동구,50~59세,56747345.0,10.8,35255553.0,6.7
11200,서울특별시 성동구,40~49세,56610598.0,10.8,33255828.0,6.3
11200,서울특별시 성동구,30~39세,63096156.0,12.0,48048546.0,9.1
11200,서울특별시 성동구,20~29세,53150399.0,10.1,63966226.0,12.2
11200,서울특별시 성동구,10~19세,8722177.0,1.7,11043588.0,2.1
11200,서울특별시 성동구,0~9세,905180.0,0.2,1087680.0,0.2
11260,서울특별시 중랑구,70세 이상,11443398.0,3.7,9412058.0,3.0
11260,서울특별시 중랑구,60~69세,29444659.0,9.5,19016238.0,6.2
11260,서울특별시 중랑구,50~59세,37466861.0,12.1,25835809.0,8.4
11260,서울특별시 중랑구,40~49세,32786167.0,10.6,20390667.0,6.6
