SGG_CD,SGG_NM,BASE_YM,PRE_BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11305,서울특별시 강북구,201905,,2768336.0,,
11305,서울특별시 강북구,201906,,2695791.0,,
11305,서울특별시 강북구,201907,,2955558.0,,
11305,서울특별시 강북구,201908,,3382141.0,,
11305,서울특별시 강북구,201909,,3050306.0,,
11305,서울특별시 강북구,201910,,2861204.0,,
11305,서울특별시 강북구,201911,,3075982.0,,
11305,서울특별시 강북구,201912,,2920362.0,,
11305,서울특별시 강북구,202001,,2856406.0,,
11305,서울특별시 강북구,202002,,2323374.0,,
11305,서울특별시 강북구,202003,,2282000.0,,
11305,서울특별시 강북구,202004,,2359864.0,,
11305,서울특별시 강북구,202005,,2677997.0,,
11305,서울특별시 강북구,202006,,2360788.0,,
11305,서울특별시 강북구,202007,,2610206.0,,
11305,서울특별시 강북구,202008,,2302531.0,,
11305,서울특별시 강북구,202009,,2255022.0,,
11305,서울특별시 강북구,202010,,2689390.0,,
11305,서울특별시 강북구,202011,,2306052.0,,
11305,서울특별시 강북구,202012,,1903818.0,,
11305,서울특별시 강북구,202101,202001,1990544.0,,
11305,서울특별시 강북구,202102,202002,2161747.0,,
11305,서울특별시 강북구,202103,202003,2522723.0,,
11305,서울특별시 강북구,202104,202004,2229101.0,,
11305,서울특별시 강북구,202105,202005,2457556.0,,
11305,서울특별시 강북구,202106,202006,2340370.0,,
11305,서울특별시 강북구,202107,202007,2231128.0,,
11305,서울특별시 강북구,202108,202008,2206799.0,,
11305,서울특별시 강북구,202109,202009,2485760.0,,
11305,서울특별시 강북구,202110,202010,2443791.0,,
11305,서울특별시 강북구,202111,202011,2442517.0,,
11305,서울특별시 강북구,202112,202012,2308656.0,,
11305,서울특별시 강북구,202201,202101,2368618.0,,
11305,서울특별시 강북구,202202,202102,2111802.0,,
11305,서울특별시 강북구,202203,202103,2447742.0,,
11305,서울특별시 강북구,202204,202104,2679957.0,,
11305,서울특별시 강북구,202205,202105,2914793.0,,
11305,서울특별시 강북구,202206,202106,2618200.0,,
11305,서울특별시 강북구,202207,202107,2803304.0,,
11305,서울특별시 강북구,202208,202108,2644859.0,,
11305,서울특별시 강북구,202209,202109,2879286.0,,
11305,서울특별시 강북구,202210,202110,2819593.0,,
11305,서울특별시 강북구,202211,202111,2587638.0,,
11305,서울특별시 강북구,202212,202112,2632794.0,,
11305,서울특별시 강북구,202301,202201,2669468.0,,
11305,서울특별시 강북구,202302,202202,2436662.0,,
11305,서울특별시 강북구,202303,202203,2952330.0,,
11305,서울특별시 강북구,202304,202204,2584337.0,,
11305,서울특별시 강북구,202305,202205,2772094.0,,
11305,서울특별시 강북구,202306,202206,2645906.0,,
11305,서울특별시 강북구,202307,202207,2757632.0,,
11305,서울특별시 강북구,202308,202208,2708332.0,,
11305,서울특별시 강북구,202309,202209,2920050.0,,
11305,서울특별시 강북구,202310,202210,2833736.0,,
11305,서울특별시 강북구,202311,202211,2607304.0,,
11305,서울특별시 강북구,202312,202212,2839616.0,,
11305,서울특별시 강북구,202401,202301,2621392.0,,
11305,서울특별시 강북구,202402,202302,2727000.0,,
11305,서울특별시 강북구,202403,202303,3050649.0,,
11305,서울특별시 강북구,202404,202304,2539484.0,,
11305,서울특별시 강북구,202405,202305,2860764.0,,
11305,서울특별시 강북구,202406,202306,2647323.0,,
11305,서울특별시 강북구,202407,202307,2610346.0,,
11305,서울특별시 강북구,202408,202308,2780337.0,,
11305,서울특별시 강북구,202409,202309,2855251.0,,
11305,서울특별시 강북구,202410,202310,3026992.0,,
11305,서울특별시 강북구,202411,202311,2809510.0,,
11305,서울특별시 강북구,202412,202312,2769490.0,,
11305,서울특별시 강북구,202501,202401,2768780.0,,
11305,서울특별시 강북구,202502,202402,2485098.0,,
11305,서울특별시 강북구,202503,202403,3108728.0,,
11305,서울특별시 강북구,202504,202404,2733938.0,,
11305,서울특별시 강북구,202505,202405,3236810.0,,
11305,서울특별시 강북구,202506,202406,2873528.0,,
11305,서울특별시 강북구,202507,202407,3109810.0,,
11305,서울특별시 강북구,202508,202408,2976312.0,,
11305,서울특별시 강북구,202509,202409,2892460.0,,
11305,서울특별시 강북구,202510,202410,3225702.0,,
11305,서울특별시 강북구,202511,202411,2944350.0,,
11305,서울특별시 강북구,202512,202412,2963712.0,,
11305,서울특별시 강북구,202601,202501,2759463.0,,
11305,서울특별시 강북구,202602,202502,2776200.0,,
11305,서울특별시 강북구,202603,202503,3198542.0,,
11305,서울특별시 강북구,202604,202504,2721022.0,,
11305,서울특별시 강북구,202605,202505,3150448.0,,
11305,서울특별시 강북구,202606,202506,2781012.0,,
11305,서울특별시 강북구,202607,202507,2790781.0,,
11305,서울특별시 강북구,202608,202508,2903198.0,,
11740,서울특별시 강동구,201801,,3752402.0,,
11740,서울특별시 강동구,201802,,3523664.0,,
11740,서울특별시 강동구,201803,,4261058.0,,
11740,서울특별시 강동구,201804,,3855674.0,,
11740,서울특별시 강동구,201805,,4117407.0,,
11740,서울특별시 강동구,201806,,4038699.0,,
11740,서울특별시 강동구,201807,,4585763.0,,
11740,서울특별시 강동구,201808,,4059699.0,,
11740,서울특별시 강동구,201809,,4257148.0,,
11740,서울특별시 강동구,201810,,4253714.0,,
11740,서울특별시 강동구,201811,,4046665.0,,
11740,서울특별시 강동구,201812,,4168206.0,,
11740,서울특별시 강동구,201901,,3913504.0,,
11740,서울특별시 강동구,201902,,3611293.0,,
11740,서울특별시 강동구,201903,,4558788.0,,
11740,서울특별시 강동구,201904,,3731651.0,,
11740,서울특별시 강동구,201905,,4163904.0,,
11740,서울특별시 강동구,201906,,4143475.0,,
11740,서울특별시 강동구,201907,,4497272.0,,
11740,서울특별시 강동구,201908,,4891369.0,,
11740,서울특별시 강동구,201909,,4741492.0,,
11740,서울특별시 강동구,201910,,4628113.0,,
11740,서울특별시 강동구,201911,,5039710.0,,
11740,서울특별시 강동구,201912,,4752902.0,,
11740,서울특별시 강동구,202001,,4681068.0,,
11740,서울특별시 강동구,202002,,3912237.0,,
11740,서울특별시 강동구,202003,,4000448.0,,
11740,서울특별시 강동구,202004,,4222589.0,,
11740,서울특별시 강동구,202005,,4634766.0,,
11740,서울특별시 강동구,202006,,3997542.0,,
11740,서울특별시 강동구,202007,,4224314.0,,
11740,서울특별시 강동구,202008,,3654518.0,,
11740,서울특별시 강동구,202009,,3792880.0,,
11740,서울특별시 강동구,202010,,4234153.0,,
11740,서울특별시 강동구,202011,,3838324.0,,
11740,서울특별시 강동구,202012,,3322844.0,,
11740,서울특별시 강동구,202101,202001,3428005.0,,
11740,서울특별시 강동구,202102,202002,3650185.0,,
11740,서울특별시 강동구,202103,202003,4460785.0,,
11740,서울특별시 강동구,202104,202004,3924708.0,,
11740,서울특별시 강동구,202105,202005,4158763.0,,
11740,서울특별시 강동구,202106,202006,3958668.0,,
11740,서울특별시 강동구,202107,202007,3767376.0,,
11740,서울특별시 강동구,202108,202008,3721658.0,,
11740,서울특별시 강동구,202109,202009,4129758.0,,
11740,서울특별시 강동구,202110,202010,4170786.0,,
11740,서울특별시 강동구,202111,202011,4081668.0,,
11740,서울특별시 강동구,202112,202012,3978303.0,,
11740,서울특별시 강동구,202201,202101,3847750.0,,
11740,서울특별시 강동구,202202,202102,3304441.0,,
11740,서울특별시 강동구,202203,202103,4031016.0,,
11740,서울특별시 강동구,202204,202104,4360212.0,,
11740,서울특별시 강동구,202205,202105,4560290.0,,
11740,서울특별시 강동구,202206,202106,4147952.0,,
11740,서울특별시 강동구,202207,202107,4317296.0,,
11740,서울특별시 강동구,202208,202108,4101251.0,,
11740,서울특별시 강동구,202209,202109,4299102.0,,
11740,서울특별시 강동구,202210,202110,4364472.0,,
11740,서울특별시 강동구,202211,202111,4122265.0,,
11740,서울특별시 강동구,202212,202112,4097062.0,,
11740,서울특별시 강동구,202301,202201,3994414.0,,
11740,서울특별시 강동구,202302,202202,3887947.0,,
11740,서울특별시 강동구,202303,202203,4483668.0,,
11740,서울특별시 강동구,202304,202204,3976914.0,,
11740,서울특별시 강동구,202305,202205,4395254.0,,
11740,서울특별시 강동구,202306,202206,4131082.0,,
11740,서울특별시 강동구,202307,202207,4213104.0,,
11740,서울특별시 강동구,202308,202208,4219352.0,,
11740,서울특별시 강동구,202309,202209,4213748.0,,
11740,서울특별시 강동구,202310,202210,4264662.0,,
11740,서울특별시 강동구,202311,202211,4012442.0,,
11740,서울특별시 강동구,202312,202212,4217580.0,,
11740,서울특별시 강동구,202401,202301,4039724.0,,
11740,서울특별시 강동구,202402,202302,3975720.0,,
11740,서울특별시 강동구,202403,202303,4694700.0,,
11740,서울특별시 강동구,202404,202304,4154440.0,,
11740,서울특별시 강동구,202405,202305,4404390.0,,
11740,서울특별시 강동구,202406,202306,4198506.0,,
11740,서울특별시 강동구,202407,202307,4272786.0,,
11740,서울특별시 강동구,202408,202308,4352229.0,,
11740,서울특별시 강동구,202409,202309,4326581.0,,
11740,서울특별시 강동구,202410,202310,4605055.0,,
11740,서울특별시 강동구,202411,202311,4212898.0,,
11740,서울특별시 강동구,202412,202312,4594303.0,,
11740,서울특별시 강동구,202501,202401,4399003.0,,
11740,서울특별시 강동구,202502,202402,4237474.0,,
11740,서울특별시 강동구,202503,202403,5013309.0,,
