SGG_CD,SGG_NM,PERIOD,수도권,부울경,대구경북,합계
11110,서울특별시 종로구,2019,97.65,0.28,0.35,260488
11110,서울특별시 종로구,2022,97.33,0.33,0.37,306626
11110,서울특별시 종로구,2023,97.65,0.29,0.3,338916
11110,서울특별시 종로구,2025,97.65,0.31,0.33,216281
11140,서울특별시 중구,2019,98.13,0.15,0.2,897251
11140,서울특별시 중구,2022,97.81,0.2,0.25,1036864
11140,서울특별시 중구,2023,98.26,0.14,0.18,1118840
11140,서울특별시 중구,2025,98.39,0.14,0.17,790697
11260,서울특별시 중랑구,2019,97.56,0.24,0.31,18199
11260,서울특별시 중랑구,2022,97.65,0.15,0.31,29929
11260,서울특별시 중랑구,2023,97.32,0.26,0.32,28927
11260,서울특별시 중랑구,2025,96.41,0.37,0.46,19086
26440,부산광역시 강서구,2019,2.35,90.47,4.29,25743
26440,부산광역시 강서구,2022,2.43,90.5,4.31,56056
26440,부산광역시 강서구,2023,2.46,89.98,4.47,60610
26440,부산광역시 강서구,2025,3.5,87.18,5.35,39645
26410,부산광역시 금정구,2019,1.85,91.23,4.78,7450
26410,부산광역시 금정구,2022,1.78,92.3,4.13,16204
26410,부산광역시 금정구,2023,1.89,91.01,5.01,15125
26410,부산광역시 금정구,2025,3.0,88.5,5.7,10395
26710,부산광역시 기장군,2019,2.6,87.19,7.84,83132
26710,부산광역시 기장군,2022,2.6,87.25,7.71,126008
26710,부산광역시 기장군,2023,2.38,87.2,8.05,188553
26710,부산광역시 기장군,2025,2.57,85.75,8.94,124270
26290,부산광역시 남구,2019,2.04,92.24,3.47,19998
26290,부산광역시 남구,2022,1.64,93.19,3.36,47544
26290,부산광역시 남구,2023,1.86,92.84,3.49,56320
26290,부산광역시 남구,2025,2.12,91.94,3.93,40972
26170,부산광역시 동구,2019,1.53,93.51,3.13,48292
26170,부산광역시 동구,2022,1.68,93.73,2.94,91605
26170,부산광역시 동구,2023,1.58,93.99,2.84,99121
26170,부산광역시 동구,2025,1.67,93.6,3.09,67821
26260,부산광역시 동래구,2019,1.67,92.7,4.01,44396
26260,부산광역시 동래구,2022,1.61,93.2,3.71,68155
26260,부산광역시 동래구,2023,1.61,92.68,4.09,67092
26260,부산광역시 동래구,2025,1.77,92.32,4.1,45825
26230,부산광역시 부산진구,2019,2.0,91.56,4.39,90545
26230,부산광역시 부산진구,2022,2.31,90.84,4.64,136447
26230,부산광역시 부산진구,2023,1.86,91.34,4.65,139342
26230,부산광역시 부산진구,2025,1.9,91.85,4.39,99834
26320,부산광역시 북구,2019,1.37,93.61,3.44,14185
26320,부산광역시 북구,2022,1.18,94.04,3.32,32254
26320,부산광역시 북구,2023,1.49,92.9,3.79,35497
26320,부산광역시 북구,2025,1.89,91.25,4.51,25130
26530,부산광역시 사상구,2019,1.26,93.52,3.49,34837
26530,부산광역시 사상구,2022,1.43,93.32,3.5,55673
26530,부산광역시 사상구,2023,1.38,92.61,3.88,56629
26530,부산광역시 사상구,2025,1.85,90.76,4.55,40339
26380,부산광역시 사하구,2019,2.06,90.61,4.91,7898
26380,부산광역시 사하구,2022,2.09,90.66,4.6,18588
26380,부산광역시 사하구,2023,1.91,91.49,4.07,20519
26380,부산광역시 사하구,2025,2.63,89.6,4.51,14881
26140,부산광역시 서구,2019,1.59,93.29,3.17,16563
26140,부산광역시 서구,2022,2.13,90.96,4.77,48738
26140,부산광역시 서구,2023,1.62,92.49,4.04,45829
26140,부산광역시 서구,2025,1.83,92.17,4.1,53948
26500,부산광역시 수영구,2019,2.1,91.03,4.43,60498
26500,부산광역시 수영구,2022,1.95,91.17,4.52,92291
26500,부산광역시 수영구,2023,2.03,90.31,5.02,92192
26500,부산광역시 수영구,2025,2.18,90.53,4.71,64630
26470,부산광역시 연제구,2019,1.38,93.67,3.43,18570
26470,부산광역시 연제구,2022,1.49,93.44,3.35,37626
26470,부산광역시 연제구,2023,1.82,92.3,3.88,41687
26470,부산광역시 연제구,2025,1.86,92.18,4.16,30871
26200,부산광역시 영도구,2019,2.15,92.45,3.34,29678
26200,부산광역시 영도구,2022,1.78,91.59,4.45,45343
26200,부산광역시 영도구,2023,1.86,91.72,4.24,53653
26200,부산광역시 영도구,2025,1.94,91.8,4.02,33986
26110,부산광역시 중구,2019,2.4,90.47,4.27,72828
26110,부산광역시 중구,2022,2.48,90.99,4.13,93125
26110,부산광역시 중구,2023,1.97,91.33,4.29,99074
26110,부산광역시 중구,2025,1.91,91.64,3.87,70345
26350,부산광역시 해운대구,2019,4.0,85.05,7.17,488869
26350,부산광역시 해운대구,2022,3.29,86.73,6.85,582149
26350,부산광역시 해운대구,2023,3.18,86.7,6.95,583681
26350,부산광역시 해운대구,2025,3.24,86.92,6.73,391044
27720,대구광역시 군위군,2023,2.78,5.03,89.23,4355
27720,대구광역시 군위군,2025,2.7,3.75,91.11,5599
27200,대구광역시 남구,2019,2.14,3.51,92.17,18235
27200,대구광역시 남구,2022,2.67,4.4,90.32,26594
27200,대구광역시 남구,2023,2.55,4.22,90.76,25048
27200,대구광역시 남구,2025,3.51,5.78,87.8,17685
27290,대구광역시 달서구,2019,3.34,6.19,86.54,45341
27290,대구광역시 달서구,2022,3.82,5.93,86.44,69798
27290,대구광역시 달서구,2023,3.64,6.01,86.34,72538
27290,대구광역시 달서구,2025,4.89,6.85,83.45,50354
27710,대구광역시 달성군,2019,4.23,13.16,77.54,12139
27710,대구광역시 달성군,2022,4.93,14.58,75.49,18755
27710,대구광역시 달성군,2023,5.73,15.55,72.88,18909
27710,대구광역시 달성군,2025,6.61,18.99,68.03,12991
27140,대구광역시 동구,2019,3.2,6.57,86.8,61817
27140,대구광역시 동구,2022,3.57,5.69,87.45,134006
27140,대구광역시 동구,2023,3.53,5.81,87.14,131366
27140,대구광역시 동구,2025,4.06,6.47,85.65,92764
27230,대구광역시 북구,2019,4.11,5.93,85.88,34048
27230,대구광역시 북구,2022,4.29,6.01,85.71,68123
