응답번호,응답시각,Q1_3년내_방문,Q2_주_이동수단,Q3_대중교통_불편,Q4_이동불편_포기한곳,Q5_원도심_식사후_이동,Q6_영수증_체험쿠폰_의향,Q7_가장좋은_혜택,Q8_야간택시셔틀_의향,Q9_월영교_밤_식당편의,Q10_야간팝업포차_의향,Q11_유료체험_망설임,Q12_영수증_축제혜택_의향,Q13_귀가_교통_시간대
84,2026. 9. 24 오전 9:09:59,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,매우있다,매우부족했다,매우 있다,체험 정보가 부족해서,매우있다,20시 ~ 22시 (막차 시간대)
85,2026. 9. 24 오전 10:07:53,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",월영교 등 밤 야경 보러 이동,있다,10% ~ 20% 가격 할인,보통이다,부족했다,있다,줄을 오래 서거나 예약하기 불편해서,있다,20시 ~ 22시 (막차 시간대)
86,2026. 9. 24 오후 12:50:24,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,매우있다,10% ~ 20% 가격 할인,있다,부족했다,매우 있다,가격이 부담스러워서,있다,20시 ~ 22시 (막차 시간대)
87,2026. 9. 24 오후 1:12:06,아니오,기타 (택시 및 안동관광택시 등),불편하지 않았다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",있다,30% 넘는 큰 가격 할인,있다,보통이다,있다,체험 정보가 부족해서,있다,20시 ~ 22시 (막차 시간대)
88,2026. 9. 24 오후 2:22:03,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),카페에 갔다가 집/역으로 이동,보통이다,20% ~ 30% 가격 할인,매우있다,보통이다,있다,체험 정보가 부족해서,있다,18시 ~ 20시
89,2026. 9. 24 오후 6:07:44,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지","하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,매우있다,부족했다,매우 있다,가격이 부담스러워서,매우있다,18시 ~ 20시
90,2026. 9. 24 오후 9:05:21,예,대중교통 (시내버스 등),이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,보통이다,보통이다,매우 있다,줄을 오래 서거나 예약하기 불편해서,매우있다,18시 ~ 20시
91,2026. 9. 24 오후 9:06:04,예,자가용 / 렌터카,불편했다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,매우있다,10% ~ 20% 가격 할인,매우있다,보통이다,매우 있다,체험 정보가 부족해서,,20시 ~ 22시 (막차 시간대)
92,2026. 9. 24 오후 9:09:06,아니오,대중교통 (시내버스 등),불편하지 않았다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",있다,20% ~ 30% 가격 할인,있다,부족했다,있다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
93,2026. 9. 24 오후 9:09:48,예,대중교통 (시내버스 등),이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지",카페에 갔다가 집/역으로 이동,있다,10% ~ 20% 가격 할인,있다,부족했다,있다,다음 장소로 이동할 시간이 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
94,2026. 9. 24 오후 9:10:14,아니오,자가용 / 렌터카,불편하지 않았다,월영교 같은 밤에 가기 좋은 야간 명소,월영교 등 밤 야경 보러 이동,있다,10% ~ 20% 가격 할인,있다,부족했다,있다,줄을 오래 서거나 예약하기 불편해서,있다,18시 ~ 20시
95,2026. 9. 24 오후 9:10:42,아니오,대중교통 (시내버스 등),불편하지 않았다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,보통이다,30% 넘는 큰 가격 할인,매우있다,부족했다,있다,다음 장소로 이동할 시간이 부족해서,매우있다,18시 ~ 20시
96,2026. 9. 24 오후 9:11:20,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지","하회마을, 도산서원 등 관광지 구경",있다,30% 넘는 큰 가격 할인,매우있다,부족했다,있다,체험 정보가 부족해서,매우있다,20시 ~ 22시 (막차 시간대)
97,2026. 9. 24 오후 9:11:50,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,보통이다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
98,2026. 9. 24 오후 9:12:08,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",매우있다,30% 넘는 큰 가격 할인,있다,부족했다,보통이다,체험 정보가 부족해서,보통이다,20시 ~ 22시 (막차 시간대)
99,2026. 9. 24 오후 9:12:53,예,대중교통 (시내버스 등),불편하지 않았다,"하회마을, 도산서원 같은 외곽 관광지",카페에 갔다가 집/역으로 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,있다,줄을 오래 서거나 예약하기 불편해서,보통이다,20시 ~ 22시 (막차 시간대)
100,2026. 9. 24 오후 9:13:16,아니오,대중교통 (시내버스 등),이용하지 않았다 / 잘 모르겠다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,있다,20% ~ 30% 가격 할인,있다,부족했다,있다,줄을 오래 서거나 예약하기 불편해서,별로 없다,20시 ~ 22시 (막차 시간대)
101,2026. 9. 24 오후 9:41:17,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,있다,20% ~ 30% 가격 할인,있다,부족했다,있다,가격이 부담스러워서,있다,20시 ~ 22시 (막차 시간대)
102,2026. 9. 24 오후 9:41:40,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,매우있다,20% ~ 30% 가격 할인,매우있다,부족했다,매우 있다,체험 정보가 부족해서,매우있다,20시 ~ 22시 (막차 시간대)
103,2026. 9. 24 오후 9:42:11,예,자가용 / 렌터카,불편했다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",보통이다,20% ~ 30% 가격 할인,보통이다,보통이다,보통이다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
