응답번호,응답시각,Q1_3년내_방문,Q2_주_이동수단,Q3_대중교통_불편,Q4_이동불편_포기한곳,Q5_원도심_식사후_이동,Q6_영수증_체험쿠폰_의향,Q7_가장좋은_혜택,Q8_야간택시셔틀_의향,Q9_월영교_밤_식당편의,Q10_야간팝업포차_의향,Q11_유료체험_망설임,Q12_영수증_축제혜택_의향,Q13_귀가_교통_시간대
24,2026. 9. 23 오전 10:36:40,아니오,대중교통 (시내버스 등),이용하지 않았다 / 잘 모르겠다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",매우있다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,매우있다,부족했다,매우 있다,다음 장소로 이동할 시간이 부족해서,별로 없다,당일 귀가 안 함 (안동에서 숙박)
25,2026. 9. 23 오전 10:37:18,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",카페갔다가 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,보통이다,가격이 부담스러워서,매우있다,20시 ~ 22시 (막차 시간대)
26,2026. 9. 23 오전 10:37:47,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),숙소로 이동해서 휴식,있다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,있다,부족했다,별로 없다,체험 정보가 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
27,2026. 9. 23 오전 10:39:38,아니오,대중교통 (시내버스 등),이용하지 않았다 / 잘 모르겠다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,보통이다,30% 넘는 큰 가격 할인,있다,보통이다,매우 있다,다음 장소로 이동할 시간이 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
28,2026. 9. 23 오전 10:41:32,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),"하회마을, 도산서원 등 관광지 구경",보통이다,20% ~ 30% 가격 할인,있다,보통이다,있다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
29,2026. 9. 23 오전 10:56:14,아니오,대중교통 (시내버스 등),불편하지 않았다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,있다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,매우있다,부족했다,매우 있다,다음 장소로 이동할 시간이 부족해서,있다,20시 ~ 22시 (막차 시간대)
30,2026. 9. 23 오전 10:58:06,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,매우 있다,가격이 부담스러워서,매우있다,20시 ~ 22시 (막차 시간대)
31,2026. 9. 23 오전 11:55:05,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,있다,20% ~ 30% 가격 할인,있다,보통이다,보통이다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
32,2026. 9. 23 오후 12:38:40,예,대중교통 (시내버스 등),불편하지 않았다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,매우 있다,체험 정보가 부족해서,있다,20시 ~ 22시 (막차 시간대)
33,2026. 9. 23 오후 12:59:15,아니오,,,,,있다,30% 넘는 큰 가격 할인,있다,,있다,,있다,20시 ~ 22시 (막차 시간대)
34,2026. 9. 23 오후 1:41:08,예,자가용 / 렌터카,불편하지 않았다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,있다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
35,2026. 9. 23 오후 1:42:25,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,매우있다,20% ~ 30% 가격 할인,있다,부족했다,매우 있다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
36,2026. 9. 23 오후 1:43:09,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,보통이다,30% 넘는 큰 가격 할인,매우있다,부족했다,매우 있다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
37,2026. 9. 23 오후 1:45:03,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,만휴정,월영교 등 밤 야경 보러 이동,있다,20% ~ 30% 가격 할인,매우있다,보통이다,있다,체험 정보가 부족해서,보통이다,당일 귀가 안 함 (안동에서 숙박)
38,2026. 9. 23 오후 1:53:09,예,자가용 / 렌터카,불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",월영교 등 밤 야경 보러 이동,별로없다,30% 넘는 큰 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,보통이다,퀄리티가 별로 안좋아서,보통이다,당일 귀가 안 함 (안동에서 숙박)
39,2026. 9. 23 오후 1:56:19,예,자가용 / 렌터카,불편했다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,있다,가격이 부담스러워서,있다,당일 귀가 안 함 (안동에서 숙박)
40,2026. 9. 23 오후 2:11:47,예,기타 (택시 및 안동관광택시 등),불편했다,"월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",카페에 갔다가 집/역으로 이동,있다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,매우있다,부족했다,매우 있다,다음 장소로 이동할 시간이 부족해서,보통이다,20시 ~ 22시 (막차 시간대)
41,2026. 9. 23 오후 2:14:40,예,자가용 / 렌터카,불편했다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,전혀없다,30% 넘는 큰 가격 할인,매우있다,매우부족했다,전혀 없다,가격이 부담스러워서,전혀 없다,당일 귀가 안 함 (안동에서 숙박)
42,2026. 9. 23 오후 2:20:13,예,자가용 / 렌터카,불편했다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,매우 있다,다음 장소로 이동할 시간이 부족해서,매우있다,18시 ~ 20시
43,2026. 9. 23 오후 2:35:50,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),"하회마을, 도산서원 등 관광지 구경",별로없다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,별로없다(자차/렌터카 이용 등),보통이다,있다,체험 정보가 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
44,2026. 9. 23 오후 2:46:16,예,자가용 / 렌터카,불편했다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,있다,부족했다,있다,다음 장소로 이동할 시간이 부족해서,있다,18시 ~ 20시
45,2026. 9. 23 오후 2:48:47,아니오,,,,,,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,있다,,,줄을 오래 서거나 예약하기 불편해서,있다,20시 ~ 22시 (막차 시간대)
46,2026. 9. 23 오후 4:06:15,예,대중교통 (시내버스 등),불편했다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,보통이다,20% ~ 30% 가격 할인,있다,보통이다,있다,가격이 부담스러워서,있다,18시 ~ 20시
