문항,기준,응답,명,기준_n
Q6_영수증_체험쿠폰_의향,방문자,보통이다,9,72
Q6_영수증_체험쿠폰_의향,방문자,별로없다,5,72
Q6_영수증_체험쿠폰_의향,방문자,전혀없다,1,72
Q7_가장좋은_혜택,전체,30% 넘는 큰 가격 할인,39,103
Q7_가장좋은_혜택,전체,20% ~ 30% 가격 할인,39,103
Q7_가장좋은_혜택,전체,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,13,103
Q7_가장좋은_혜택,전체,10% ~ 20% 가격 할인,10,103
Q7_가장좋은_혜택,전체,(빈칸),2,103
Q7_가장좋은_혜택,방문자,20% ~ 30% 가격 할인,35,72
Q7_가장좋은_혜택,방문자,30% 넘는 큰 가격 할인,27,72
Q7_가장좋은_혜택,방문자,10% ~ 20% 가격 할인,5,72
Q7_가장좋은_혜택,방문자,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,5,72
Q8_야간택시셔틀_의향,전체,매우있다,43,103
Q8_야간택시셔틀_의향,전체,있다,38,103
Q8_야간택시셔틀_의향,전체,별로없다(자차/렌터카 이용 등),15,103
Q8_야간택시셔틀_의향,전체,보통이다,5,103
Q8_야간택시셔틀_의향,전체,(빈칸),2,103
Q8_야간택시셔틀_의향,방문자,매우있다,34,72
Q8_야간택시셔틀_의향,방문자,있다,23,72
Q8_야간택시셔틀_의향,방문자,별로없다(자차/렌터카 이용 등),11,72
Q8_야간택시셔틀_의향,방문자,보통이다,4,72
Q9_월영교_밤_식당편의,전체,보통이다,44,103
Q9_월영교_밤_식당편의,전체,부족했다,44,103
Q9_월영교_밤_식당편의,전체,(빈칸),8,103
Q9_월영교_밤_식당편의,전체,매우부족했다,4,103
Q9_월영교_밤_식당편의,전체,충분하다,3,103
Q9_월영교_밤_식당편의,방문자,부족했다,34,72
Q9_월영교_밤_식당편의,방문자,보통이다,32,72
Q9_월영교_밤_식당편의,방문자,매우부족했다,4,72
Q9_월영교_밤_식당편의,방문자,충분하다,2,72
Q10_야간팝업포차_의향,전체,매우 있다,42,103
Q10_야간팝업포차_의향,전체,있다,38,103
Q10_야간팝업포차_의향,전체,보통이다,12,103
Q10_야간팝업포차_의향,전체,별로 없다,6,103
Q10_야간팝업포차_의향,전체,(빈칸),4,103
Q10_야간팝업포차_의향,전체,전혀 없다,1,103
Q10_야간팝업포차_의향,방문자,매우 있다,35,72
Q10_야간팝업포차_의향,방문자,있다,24,72
Q10_야간팝업포차_의향,방문자,보통이다,9,72
Q10_야간팝업포차_의향,방문자,별로 없다,3,72
Q10_야간팝업포차_의향,방문자,전혀 없다,1,72
Q11_유료체험_망설임,전체,체험 정보가 부족해서,34,103
Q11_유료체험_망설임,전체,줄을 오래 서거나 예약하기 불편해서,31,103
Q11_유료체험_망설임,전체,다음 장소로 이동할 시간이 부족해서,15,103
Q11_유료체험_망설임,전체,가격이 부담스러워서,13,103
Q11_유료체험_망설임,전체,(빈칸),7,103
Q11_유료체험_망설임,전체,굳이 참여할정도로 매력적인 콘텐츠가 아님,1,103
Q11_유료체험_망설임,전체,퀄리티가 별로 안좋아서,1,103
Q11_유료체험_망설임,전체,관심없음,1,103
Q11_유료체험_망설임,방문자,체험 정보가 부족해서,29,72
Q11_유료체험_망설임,방문자,줄을 오래 서거나 예약하기 불편해서,22,72
Q11_유료체험_망설임,방문자,가격이 부담스러워서,11,72
Q11_유료체험_망설임,방문자,다음 장소로 이동할 시간이 부족해서,9,72
Q11_유료체험_망설임,방문자,퀄리티가 별로 안좋아서,1,72
Q12_영수증_축제혜택_의향,전체,있다,44,103
Q12_영수증_축제혜택_의향,전체,매우있다,32,103
Q12_영수증_축제혜택_의향,전체,보통이다,17,103
Q12_영수증_축제혜택_의향,전체,(빈칸),5,103
Q12_영수증_축제혜택_의향,전체,별로 없다,4,103
Q12_영수증_축제혜택_의향,전체,전혀 없다,1,103
Q12_영수증_축제혜택_의향,방문자,있다,30,72
Q12_영수증_축제혜택_의향,방문자,매우있다,28,72
Q12_영수증_축제혜택_의향,방문자,보통이다,11,72
Q12_영수증_축제혜택_의향,방문자,(빈칸),2,72
Q12_영수증_축제혜택_의향,방문자,전혀 없다,1,72
Q13_귀가_교통_시간대,전체,당일 귀가 안 함 (안동에서 숙박),46,103
Q13_귀가_교통_시간대,전체,20시 ~ 22시 (막차 시간대),29,103
Q13_귀가_교통_시간대,전체,18시 ~ 20시,18,103
Q13_귀가_교통_시간대,전체,(빈칸),6,103
Q13_귀가_교통_시간대,전체,18시 이전,4,103
Q13_귀가_교통_시간대,방문자,당일 귀가 안 함 (안동에서 숙박),32,72
Q13_귀가_교통_시간대,방문자,20시 ~ 22시 (막차 시간대),23,72
Q13_귀가_교통_시간대,방문자,18시 ~ 20시,13,72
Q13_귀가_교통_시간대,방문자,18시 이전,4,72
