정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
ADB354000716,월영교,36.578122,128.758944,2025-10-31,540712,37040,경상북도 안동시,안동BIS
ADB354000843,월영교,36.578155,128.758814,2025-10-31,540839,37040,경상북도 안동시,안동BIS
