정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
ADB354000049,구 안동역 건너,36.563401,128.734309,2025-10-31,540049,37040,경상북도 안동시,안동BIS
ADB354000063,구 안동역,36.563255,128.73413,2025-10-31,540063,37040,경상북도 안동시,안동BIS
ADB354000416,안동역(안동터미널),36.573483,128.675524,2025-10-31,540413,37040,경상북도 안동시,안동BIS
ADB354000459,안동역(안동터미널),36.57419,128.67597,2025-10-31,540456,37040,경상북도 안동시,안동BIS
ADB354000536,안동역(안동터미널),36.57349,128.67566,2025-10-31,540533,37040,경상북도 안동시,안동BIS
