정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
ADB354000943,농협안동시지부,36.565983,128.732117,2025-10-31,540939,37040,경상북도 안동시,안동BIS
ADB354001806,교보생명,36.563116,128.730886,2025-10-31,541793,37040,경상북도 안동시,안동BIS
