,방문,방문당소비,체류시간,숙박객비중,야간비중,주말비중,수도권비중,권역,예측_방문당소비,격차_%,격차_순위(낮은순)
홍성군,13169252.0,14323.77,25.1,11.02,21.99,34.78,24.05,충청,14380.5,-0.39,63
양주시,35057313.0,17546.04,20.18,7.16,18.81,35.22,96.83,수도권,17536.73,0.05,64
동두천시,10291390.0,11059.43,21.1,8.07,21.05,35.14,95.34,수도권,10926.49,1.22,65
원주시,34872732.0,19616.82,32.79,13.98,24.67,36.08,62.11,강원,19327.68,1.5,66
의정부시,43723446.0,17862.26,23.06,8.02,21.12,34.13,95.91,수도권,17466.01,2.27,67
진안군,5015661.0,10183.49,14.93,10.22,17.6,41.36,7.42,호남,9951.69,2.33,68
충주시,31363094.0,17277.66,25.9,11.67,23.85,36.84,43.13,충청,16832.9,2.64,69
양구군,3034165.0,10015.8,34.42,15.54,24.83,34.75,43.04,강원,9705.34,3.2,70
진주시,23631729.0,13647.52,34.53,12.51,24.76,35.39,7.76,동남,13207.98,3.33,71
통영시,16342886.0,12589.06,26.23,20.13,28.91,39.11,8.67,동남,12103.03,4.02,72
영월군,7287029.0,13449.27,22.57,17.99,24.75,39.5,42.55,강원,12854.8,4.62,73
김해시,47535703.0,18936.79,24.68,8.08,19.99,34.91,4.08,동남,18049.86,4.91,74
의성군,7121964.0,13975.29,20.09,10.16,18.58,36.75,6.83,대경,13213.9,5.76,75
남해군,9057444.0,11738.4,23.51,23.74,28.98,41.19,9.73,동남,10873.65,7.95,76
울진군,8678669.0,12735.47,30.16,20.39,28.7,38.43,14.71,대경,11779.69,8.11,77
김천시,15764189.0,16256.42,22.25,9.2,20.85,35.39,13.28,대경,15032.43,8.14,78
구미시,27913759.0,17825.28,31.87,10.73,24.59,32.59,14.65,대경,16439.84,8.43,79
강화군,17196704.0,13251.93,19.61,14.42,22.6,43.26,98.64,수도권,12182.9,8.77,80
서산시,18388255.0,17577.67,30.43,13.28,23.7,35.7,30.0,충청,16059.87,9.45,81
칠곡군,23083000.0,22100.83,11.66,5.04,14.57,34.75,2.51,대경,20142.88,9.72,82
제주시,60111076.0,27584.15,40.65,21.51,30.23,29.81,2.13,제주,25113.5,9.84,83
예산군,16398129.0,16595.05,18.06,9.97,20.4,37.2,30.7,충청,15068.04,10.13,84
시흥시,56498246.0,21396.07,19.96,6.62,19.89,33.52,93.87,수도권,19378.09,10.41,85
동해시,12337400.0,16240.67,24.7,16.8,25.92,37.09,20.34,강원,14694.49,10.52,86
단양군,9427933.0,14078.68,14.87,15.65,22.06,43.6,37.15,충청,12707.39,10.79,87
청도군,10707684.0,13857.52,13.34,10.2,18.06,45.42,1.04,대경,12155.45,14.0,88
영덕군,10876644.0,14083.93,17.36,16.57,24.88,41.85,9.17,대경,12144.95,15.97,89
금산군,10288171.0,13927.79,17.8,8.55,19.2,40.34,9.92,충청,11962.22,16.43,90
고창군,9636640.0,12679.68,18.82,11.56,21.04,39.85,10.32,호남,10777.09,17.65,91
부안군,10923148.0,14220.9,18.97,18.18,24.87,40.58,13.79,호남,12012.08,18.39,92
남원시,10841883.0,15374.51,21.5,13.25,21.38,38.18,8.9,호남,12909.59,19.09,93
거창군,6971355.0,10741.99,24.22,13.84,23.03,40.46,7.64,동남,8951.92,20.0,94
속초시,26005012.0,23720.68,19.13,24.24,30.1,39.0,31.9,강원,19241.04,23.28,95
하남시,58949343.0,23114.05,13.36,4.12,17.34,36.74,93.12,수도권,18587.1,24.36,96
홍천군,22264903.0,19510.41,15.88,14.81,24.16,40.8,76.12,강원,14741.14,32.35,97
부여군,11419362.0,17315.58,20.06,11.37,21.38,38.29,27.27,충청,13049.24,32.69,98
당진시,22250363.0,21262.82,27.76,11.22,22.24,36.84,43.22,충청,15938.98,33.4,99
장수군,2759017.0,13195.3,24.0,14.57,19.07,37.7,7.35,호남,9866.71,33.74,100
이천시,36501258.0,24715.28,20.76,7.1,19.4,32.66,81.0,수도권,18113.97,36.44,101
김포시,52503774.0,25507.01,21.78,6.88,19.93,33.9,97.33,수도권,18649.26,36.77,102
진천군,13983850.0,23165.45,25.69,9.72,19.72,31.01,32.69,충청,16831.25,37.63,103
