BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
202508,전국,관광총소비,0000,15229041149.0,15729874136.0
202509,전국,관광총소비,0000,14241971854.0,15003213011.0
202510,전국,관광총소비,0000,15817606235.0,15631728908.0
202511,전국,관광총소비,0000,15405325819.0,14877640950.0
202512,전국,관광총소비,0000,15775367781.0,15350384631.0
202601,전국,관광총소비,0000,15049636966.0,14189500554.0
202602,전국,관광총소비,0000,14226268805.0,12602526019.0
202607,전국,관광총소비,0000,15542690886.0,14899034402.0
202603,전국,육상운송,31,3088470273.0,2669878369.0
202603,전국,레저용품쇼핑,43,327244673.0,340137257.0
202603,전국,항공운송,33,955648409.0,629165927.0
202603,전국,문화서비스,56,127945950.0,131718243.0
202603,전국,콘도,12,22227478.0,23399382.0
202603,전국,기타숙박,14,293771950.0,229428281.0
202603,전국,대형쇼핑몰,42,2672047062.0,2697322318.0
202603,전국,기타레저,55,147777841.0,145671489.0
202603,전국,관광유원시설,52,38760779.0,39117399.0
202603,전국,렌터카,34,52327911.0,60270863.0
202603,전국,캠핑장/펜션,13,9301202.0,8310764.0
202603,전국,골프장,53,286141736.0,271881023.0
202603,전국,일반외식업,71,3707148282.0,3572791252.0
202603,전국,여행업,21,299925788.0,284813786.0
202603,전국,기타관광쇼핑,44,2249940144.0,2180894355.0
202603,전국,호텔,11,131227667.0,127777820.0
202603,전국,뷰티,62,331397333.0,305302077.0
202603,전국,제과음료업,72,712498250.0,659072037.0
202603,전국,스키장,54,296356.0,498881.0
202603,전국,수상운송,32,7846793.0,7531739.0
202603,전국,면세점,41,140597518.0,159037164.0
202604,전국,캠핑장/펜션,13,12030376.0,9081223.0
202604,전국,면세점,41,146505994.0,153059889.0
202604,전국,레저용품쇼핑,43,366680539.0,354091631.0
202604,전국,일반외식업,71,3752770554.0,3438503832.0
202604,전국,기타레저,55,141260357.0,133464385.0
202604,전국,호텔,11,128010810.0,122437526.0
202604,전국,렌터카,34,52066479.0,61778002.0
202604,전국,기타숙박,14,287594166.0,227673712.0
202604,전국,대형쇼핑몰,42,2581582977.0,2336009686.0
202604,전국,관광유원시설,52,49354821.0,49347712.0
202604,전국,여행업,21,211539321.0,286602131.0
202604,전국,기타관광쇼핑,44,2268707782.0,2133688502.0
202604,전국,뷰티,62,302783762.0,267839043.0
202604,전국,문화서비스,56,125752618.0,135331275.0
202604,전국,골프장,53,364830571.0,336492703.0
202604,전국,제과음료업,72,725587047.0,651011439.0
202604,전국,육상운송,31,3148683139.0,2620748209.0
202604,전국,수상운송,32,9757071.0,10126011.0
202604,전국,콘도,12,28519289.0,26918887.0
202604,전국,항공운송,33,436463597.0,563205325.0
202604,전국,스키장,54,155873.0,83238.0
202605,전국,골프장,53,420909947.0,399737672.0
202605,전국,기타숙박,14,298355728.0,252142777.0
202605,전국,대형쇼핑몰,42,3009073192.0,2763516301.0
202605,전국,기타레저,55,172334984.0,160772486.0
202605,전국,여행업,21,185804816.0,261744590.0
202605,전국,기타관광쇼핑,44,2478985017.0,2380347456.0
202605,전국,호텔,11,165127588.0,156127442.0
202605,전국,렌터카,34,52326355.0,64631929.0
202605,전국,뷰티,62,335639255.0,301504374.0
202605,전국,제과음료업,72,806653521.0,735300117.0
202605,전국,문화서비스,56,146657636.0,166372622.0
202605,전국,레저용품쇼핑,43,407241606.0,421412211.0
202605,전국,관광유원시설,52,61698198.0,58126592.0
202605,전국,육상운송,31,3252611250.0,2713987304.0
202605,전국,캠핑장/펜션,13,12665426.0,10911637.0
202605,전국,일반외식업,71,4287956819.0,3982796550.0
202605,전국,면세점,41,148218577.0,194734793.0
202605,전국,콘도,12,42252296.0,37024801.0
202605,전국,수상운송,32,10604495.0,11521150.0
202605,전국,항공운송,33,357335758.0,582971323.0
202605,전국,스키장,54,294713.0,267329.0
202606,전국,항공운송,33,474350756.0,528099015.0
202606,전국,문화서비스,56,124573199.0,142186177.0
202606,전국,기타숙박,14,297023215.0,241117599.0
202606,전국,대형쇼핑몰,42,2448148565.0,2484345090.0
202606,전국,여행업,21,215978288.0,243591030.0
202606,전국,기타관광쇼핑,44,2246357614.0,2125717171.0
202606,전국,제과음료업,72,712062572.0,662745149.0
202606,전국,렌터카,34,55416451.0,63521450.0
202606,전국,캠핑장/펜션,13,10953554.0,9744541.0
202606,전국,육상운송,31,3181806207.0,2511616699.0
202606,전국,레저용품쇼핑,43,324319376.0,336228404.0
202606,전국,일반외식업,71,3675118492.0,3454481623.0
202606,전국,기타레저,55,151547886.0,148071241.0
202606,전국,호텔,11,135855028.0,133085152.0
202606,전국,관광유원시설,52,38473721.0,41675400.0
202606,전국,뷰티,62,315883248.0,280466775.0
202606,전국,골프장,53,396457446.0,371432509.0
202606,전국,수상운송,32,8097252.0,8927711.0
202606,전국,면세점,41,125150744.0,147988702.0
202606,전국,콘도,12,41114795.0,38769309.0
202606,전국,스키장,54,327908.0,358175.0
201801,전국,제과음료업,72,359837518.0,0.0
201801,전국,레저용품쇼핑,43,222983054.0,0.0
201801,전국,대형쇼핑몰,42,2141925954.0,0.0
201801,전국,캠핑장/펜션,13,8380476.0,0.0
201801,전국,기타레저,55,121853412.0,0.0
201801,전국,관광유원시설,52,22259539.0,0.0
201801,전국,여행업,21,198808402.0,0.0
201801,전국,렌터카,34,12602710.0,0.0
201801,전국,육상운송,31,2618806336.0,0.0
201801,전국,호텔,11,106662958.0,0.0
201801,전국,기타숙박,14,98068542.0,0.0
201801,전국,문화서비스,56,152098763.0,0.0
201801,전국,뷰티,62,241230483.0,0.0
201801,전국,기타관광쇼핑,44,1681962876.0,0.0
201801,전국,수상운송,32,7783207.0,0.0
201801,전국,골프장,53,50610382.0,0.0
201801,전국,일반외식업,71,2482296576.0,0.0
201801,전국,면세점,41,187570076.0,0.0
201801,전국,콘도,12,66257353.0,0.0
201801,전국,항공운송,33,594844203.0,0.0
201801,전국,스키장,54,10931622.0,0.0
