BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201801,전국,콘도,12,3401326.0,0.0
201801,전국,캠핑장/펜션,13,749128.0,0.0
201801,전국,기타숙박,14,19718859.0,0.0
201801,전국,여행업,21,1951532.0,0.0
201801,전국,육상운송,31,6351864.0,0.0
201801,전국,수상운송,32,18730.0,0.0
201801,전국,항공운송,33,22730009.0,0.0
201801,전국,렌터카,34,585187.0,0.0
201801,전국,면세점,41,64333287.0,0.0
201801,전국,레저용품쇼핑,43,3833189.0,0.0
201801,전국,기타관광쇼핑,44,45074458.0,0.0
201801,전국,관광유원시설,52,141914.0,0.0
201801,전국,골프장,53,538453.0,0.0
201801,전국,기타레저,55,594106.0,0.0
201801,전국,문화서비스,56,888703.0,0.0
201801,전국,의료관광,61,20674233.0,0.0
201801,전국,뷰티,62,13413210.0,0.0
201801,전국,일반외식업,71,26330165.0,0.0
201801,전국,제과음료업,72,3933990.0,0.0
201801,전국,대형쇼핑몰,42,121881330.0,0.0
201801,전국,카지노,51,21907388.0,0.0
201801,전국,스키장,54,34524.0,0.0
201802,전국,호텔,11,101800203.0,0.0
201802,전국,콘도,12,2120627.0,0.0
201802,전국,캠핑장/펜션,13,1208900.0,0.0
201802,전국,기타숙박,14,20753622.0,0.0
201802,전국,여행업,21,1561017.0,0.0
201802,전국,육상운송,31,7555864.0,0.0
201802,전국,수상운송,32,33245.0,0.0
201802,전국,항공운송,33,19157804.0,0.0
201802,전국,렌터카,34,762789.0,0.0
201802,전국,면세점,41,56731316.0,0.0
201802,전국,레저용품쇼핑,43,5186929.0,0.0
201802,전국,기타관광쇼핑,44,50269536.0,0.0
201802,전국,관광유원시설,52,186352.0,0.0
201802,전국,골프장,53,778906.0,0.0
201802,전국,기타레저,55,817321.0,0.0
201802,전국,문화서비스,56,1225233.0,0.0
201802,전국,의료관광,61,18368499.0,0.0
201802,전국,뷰티,62,14168936.0,0.0
201802,전국,일반외식업,71,31412540.0,0.0
201802,전국,제과음료업,72,4719397.0,0.0
201802,전국,대형쇼핑몰,42,133902671.0,0.0
201802,전국,카지노,51,17976137.0,0.0
201802,전국,스키장,54,64403.0,0.0
201803,전국,호텔,11,130894979.0,0.0
201803,전국,콘도,12,10674833.0,0.0
201803,전국,캠핑장/펜션,13,986141.0,0.0
201803,전국,기타숙박,14,25198861.0,0.0
201803,전국,여행업,21,1896896.0,0.0
201803,전국,육상운송,31,7883722.0,0.0
201803,전국,수상운송,32,42366.0,0.0
201803,전국,항공운송,33,25645983.0,0.0
201803,전국,렌터카,34,836804.0,0.0
201803,전국,면세점,41,82748502.0,0.0
201803,전국,레저용품쇼핑,43,5490457.0,0.0
201803,전국,기타관광쇼핑,44,65809760.0,0.0
201803,전국,관광유원시설,52,318105.0,0.0
201803,전국,골프장,53,2154060.0,0.0
201803,전국,기타레저,55,899587.0,0.0
201803,전국,문화서비스,56,974710.0,0.0
201803,전국,의료관광,61,24230516.0,0.0
201803,전국,뷰티,62,18650121.0,0.0
201803,전국,일반외식업,71,35458015.0,0.0
201803,전국,제과음료업,72,5830072.0,0.0
201803,전국,대형쇼핑몰,42,123191103.0,0.0
201803,전국,카지노,51,24225179.0,0.0
201803,전국,스키장,54,3386.0,0.0
201804,전국,호텔,11,143663620.0,0.0
201804,전국,콘도,12,9794473.0,0.0
201804,전국,캠핑장/펜션,13,958617.0,0.0
201804,전국,기타숙박,14,28113571.0,0.0
201804,전국,여행업,21,1613318.0,0.0
201804,전국,육상운송,31,12018994.0,0.0
201804,전국,수상운송,32,76386.0,0.0
201804,전국,항공운송,33,24371472.0,0.0
201804,전국,렌터카,34,917369.0,0.0
201804,전국,면세점,41,88871369.0,0.0
201804,전국,레저용품쇼핑,43,5663505.0,0.0
201804,전국,기타관광쇼핑,44,69550140.0,0.0
201804,전국,관광유원시설,52,508991.0,0.0
201804,전국,골프장,53,1802827.0,0.0
201804,전국,기타레저,55,985446.0,0.0
201804,전국,문화서비스,56,1337843.0,0.0
201804,전국,의료관광,61,26302353.0,0.0
201804,전국,뷰티,62,21234115.0,0.0
201804,전국,일반외식업,71,38945198.0,0.0
201804,전국,제과음료업,72,6222338.0,0.0
201804,전국,대형쇼핑몰,42,145802503.0,0.0
201804,전국,카지노,51,25008441.0,0.0
201804,전국,스키장,54,40.0,0.0
201805,전국,호텔,11,139264029.0,0.0
201805,전국,콘도,12,8320167.0,0.0
201805,전국,캠핑장/펜션,13,894388.0,0.0
201805,전국,기타숙박,14,29093509.0,0.0
201805,전국,여행업,21,2146637.0,0.0
201805,전국,육상운송,31,12250003.0,0.0
201805,전국,수상운송,32,86015.0,0.0
201805,전국,항공운송,33,28638894.0,0.0
201805,전국,렌터카,34,940632.0,0.0
201805,전국,면세점,41,93661900.0,0.0
201805,전국,레저용품쇼핑,43,6806277.0,0.0
201805,전국,기타관광쇼핑,44,63092675.0,0.0
201805,전국,관광유원시설,52,441657.0,0.0
201805,전국,골프장,53,2133251.0,0.0
201805,전국,기타레저,55,1126245.0,0.0
201805,전국,문화서비스,56,1664894.0,0.0
201805,전국,의료관광,61,25909527.0,0.0
201805,전국,뷰티,62,19626068.0,0.0
201805,전국,일반외식업,71,42308911.0,0.0
201805,전국,제과음료업,72,6306703.0,0.0
201805,전국,대형쇼핑몰,42,158931824.0,0.0
201805,전국,카지노,51,32161374.0,0.0
201805,전국,스키장,54,40.0,0.0
201806,전국,호텔,11,134838468.0,0.0
201806,전국,콘도,12,10659595.0,0.0
201806,전국,캠핑장/펜션,13,1150517.0,0.0
201806,전국,기타숙박,14,27994293.0,0.0
201806,전국,여행업,21,2267185.0,0.0
201806,전국,육상운송,31,11196822.0,0.0
201806,전국,수상운송,32,97740.0,0.0
201806,전국,항공운송,33,27422047.0,0.0
201806,전국,렌터카,34,964136.0,0.0
201806,전국,면세점,41,88057182.0,0.0
201806,전국,레저용품쇼핑,43,5690914.0,0.0
201806,전국,기타관광쇼핑,44,61816614.0,0.0
201806,전국,관광유원시설,52,540717.0,0.0
201806,전국,골프장,53,2214465.0,0.0
201806,전국,기타레저,55,1112433.0,0.0
201806,전국,문화서비스,56,1372292.0,0.0
201806,전국,의료관광,61,24738539.0,0.0
201806,전국,뷰티,62,19751066.0,0.0
201806,전국,일반외식업,71,42424802.0,0.0
201806,전국,제과음료업,72,6262958.0,0.0
201806,전국,대형쇼핑몰,42,117960723.0,0.0
201806,전국,카지노,51,30730411.0,0.0
201807,전국,호텔,11,137587299.0,0.0
201807,전국,콘도,12,7877981.0,0.0
201807,전국,캠핑장/펜션,13,1939881.0,0.0
201807,전국,기타숙박,14,30324859.0,0.0
201807,전국,여행업,21,2412337.0,0.0
201807,전국,육상운송,31,12485676.0,0.0
201807,전국,수상운송,32,126066.0,0.0
201807,전국,항공운송,33,26957144.0,0.0
201807,전국,렌터카,34,952922.0,0.0
201807,전국,면세점,41,82805464.0,0.0
201807,전국,레저용품쇼핑,43,5606352.0,0.0
201807,전국,기타관광쇼핑,44,57877369.0,0.0
201807,전국,관광유원시설,52,676139.0,0.0
201807,전국,골프장,53,1730957.0,0.0
201807,전국,기타레저,55,1372460.0,0.0
201807,전국,문화서비스,56,1586010.0,0.0
201807,전국,의료관광,61,25121248.0,0.0
201807,전국,뷰티,62,18787879.0,0.0
201807,전국,일반외식업,71,43013605.0,0.0
201807,전국,제과음료업,72,6428011.0,0.0
201807,전국,대형쇼핑몰,42,118823488.0,0.0
201807,전국,카지노,51,31702785.0,0.0
201808,전국,호텔,11,131835753.0,0.0
201808,전국,콘도,12,14800960.0,0.0
201808,전국,캠핑장/펜션,13,1527494.0,0.0
201808,전국,기타숙박,14,31746799.0,0.0
201808,전국,여행업,21,2386930.0,0.0
201808,전국,육상운송,31,12457777.0,0.0
201808,전국,수상운송,32,96254.0,0.0
201808,전국,항공운송,33,24770120.0,0.0
201808,전국,렌터카,34,867834.0,0.0
201808,전국,면세점,41,80049063.0,0.0
201808,전국,레저용품쇼핑,43,5359141.0,0.0
201808,전국,기타관광쇼핑,44,58933596.0,0.0
201808,전국,관광유원시설,52,586935.0,0.0
201808,전국,골프장,53,1674121.0,0.0
201808,전국,기타레저,55,1252898.0,0.0
201808,전국,문화서비스,56,1509370.0,0.0
201808,전국,의료관광,61,22845942.0,0.0
201808,전국,뷰티,62,18184585.0,0.0
201808,전국,일반외식업,71,42558840.0,0.0
201808,전국,제과음료업,72,6522468.0,0.0
201808,전국,대형쇼핑몰,42,122078555.0,0.0
201808,전국,카지노,51,34806513.0,0.0
201808,전국,스키장,54,420.0,0.0
201809,전국,호텔,11,122469310.0,0.0
201809,전국,콘도,12,10190172.0,0.0
201809,전국,캠핑장/펜션,13,1321790.0,0.0
201809,전국,기타숙박,14,28407563.0,0.0
