DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,DTL_TOU_NUM_RATE2
경상남도,의령군,48333580635.0,498498.0,3.7,248499820.0,498.0,0.5,0.5
경상남도,진주시,48333580635.0,1750866.0,3.7,3065533222.0,1751.0,6.3,6.3
경상남도,창녕군,48333580635.0,1218749.0,3.7,1485348235.0,1219.0,3.1,3.1
경상남도,창원시,48333580635.0,4085061.0,3.7,16687723993.0,4085.0,34.5,34.5
경상남도,통영시,48333580635.0,1307146.0,3.7,1708631237.0,1307.0,3.5,3.5
경상남도,하동군,48333580635.0,868089.0,3.7,753577987.0,868.0,1.6,1.6
경상남도,함안군,48333580635.0,1331181.0,3.7,1772043211.0,1331.0,3.7,3.7
경상남도,함양군,48333580635.0,721969.0,3.7,521239736.0,722.0,1.1,1.1
경상남도,합천군,48333580635.0,640088.0,3.7,409712400.0,640.0,0.8,0.8
경상북도,경산시,44912476394.0,1967465.0,3.5,3870919952.0,1967.0,8.6,8.6
경상북도,경주시,44912476394.0,2686998.0,3.5,7219956487.0,2687.0,16.1,16.1
경상북도,고령군,44912476394.0,673400.0,3.5,453467886.0,673.0,1.0,1.0
경상북도,구미시,44912476394.0,2122903.0,3.5,4506716460.0,2123.0,10.0,10.0
경상북도,김천시,44912476394.0,1465691.0,3.5,2148251570.0,1466.0,4.8,4.8
경상북도,문경시,44912476394.0,1330903.0,3.5,1771302319.0,1331.0,3.9,3.9
경상북도,봉화군,44912476394.0,560410.0,3.5,314059687.0,560.0,0.7,0.7
경상북도,상주시,44912476394.0,1143794.0,3.5,1308264524.0,1144.0,2.9,2.9
경상북도,성주군,44912476394.0,1266735.0,3.5,1604618016.0,1267.0,3.6,3.6
경상북도,안동시,44912476394.0,1484283.0,3.5,2203094956.0,1484.0,4.9,4.9
경상북도,영덕군,44912476394.0,1043454.0,3.5,1088795521.0,1043.0,2.4,2.4
경상북도,영양군,44912476394.0,304228.0,3.5,92554717.0,304.0,0.2,0.2
경상북도,영주시,44912476394.0,1004140.0,3.5,1008298068.0,1004.0,2.2,2.2
경상북도,영천시,44912476394.0,1372050.0,3.5,1882520009.0,1372.0,4.2,4.2
경상북도,예천군,44912476394.0,704626.0,3.5,496497794.0,705.0,1.1,1.1
경상북도,울릉군,44912476394.0,492234.0,3.5,242294625.0,492.0,0.5,0.5
경상북도,울진군,44912476394.0,907159.0,3.5,822937492.0,907.0,1.8,1.8
경상북도,의성군,44912476394.0,852124.0,3.5,726114912.0,852.0,1.6,1.6
경상북도,청도군,44912476394.0,1046049.0,3.5,1094218083.0,1046.0,2.4,2.4
경상북도,청송군,44912476394.0,648215.0,3.5,420182564.0,648.0,0.9,0.9
경상북도,칠곡군,44912476394.0,2042661.0,3.5,4172462512.0,2043.0,9.3,9.3
경상북도,포항시,44912476394.0,2732206.0,3.5,7464948242.0,2732.0,16.6,16.6
대구광역시,군위군,47417193347.0,1314972.0,3.6,1729150548.0,1315.0,3.6,3.6
대구광역시,남구,47417193347.0,1231170.0,3.6,1515780713.0,1231.0,3.2,3.2
대구광역시,달서구,47417193347.0,2439374.0,3.6,5950544054.0,2439.0,12.5,12.5
대구광역시,달성군,47417193347.0,1690868.0,3.6,2859034147.0,1691.0,6.0,6.0
대구광역시,동구,47417193347.0,3738864.0,3.6,13979105270.0,3739.0,29.5,29.5
대구광역시,북구,47417193347.0,2373714.0,3.6,5634515838.0,2374.0,11.9,11.9
대구광역시,서구,47417193347.0,1656467.0,3.6,2743882707.0,1656.0,5.8,5.8
대구광역시,수성구,47417193347.0,2425187.0,3.6,5881531941.0,2425.0,12.4,12.4
대구광역시,중구,47417193347.0,2669016.0,3.6,7123648129.0,2669.0,15.0,15.0
대전광역시,대덕구,40448444290.0,1909592.0,3.1,3646542075.0,1910.0,9.0,9.0
대전광역시,동구,40448444290.0,3498445.0,3.1,12239117454.0,3498.0,30.3,30.3
대전광역시,서구,40448444290.0,2868423.0,3.1,8227852541.0,2868.0,20.3,20.3
대전광역시,유성구,40448444290.0,3470984.0,3.1,12047733382.0,3471.0,29.8,29.8
대전광역시,중구,40448444290.0,2070555.0,3.1,4287198838.0,2071.0,10.6,10.6
부산광역시,강서구,78970158419.0,2459270.0,6.1,6048011081.0,2459.0,7.7,7.7
부산광역시,금정구,78970158419.0,1625639.0,6.1,2642702948.0,1626.0,3.3,3.3
부산광역시,기장군,78970158419.0,2746530.0,6.1,7543427546.0,2747.0,9.6,9.6
부산광역시,남구,78970158419.0,1785442.0,6.1,3187801824.0,1785.0,4.0,4.0
부산광역시,동구,78970158419.0,1666780.0,6.1,2778155415.0,1667.0,3.5,3.5
부산광역시,동래구,78970158419.0,1956160.0,6.1,3826563832.0,1956.0,4.8,4.8
부산광역시,부산진구,78970158419.0,2915636.0,6.1,8500933839.0,2916.0,10.8,10.8
부산광역시,북구,78970158419.0,2935896.0,6.1,8619482437.0,2936.0,10.9,10.9
부산광역시,사상구,78970158419.0,1926303.0,6.1,3710643418.0,1926.0,4.7,4.7
부산광역시,사하구,78970158419.0,1466677.0,6.1,2151142726.0,1467.0,2.7,2.7
부산광역시,서구,78970158419.0,1096793.0,6.1,1202954037.0,1097.0,1.5,1.5
부산광역시,수영구,78970158419.0,1832436.0,6.1,3357819999.0,1832.0,4.3,4.3
부산광역시,연제구,78970158419.0,1924739.0,6.1,3704621467.0,1925.0,4.7,4.7
부산광역시,영도구,78970158419.0,862007.0,6.1,743056421.0,862.0,0.9,0.9
부산광역시,중구,78970158419.0,1825784.0,6.1,3333485642.0,1826.0,4.2,4.2
부산광역시,해운대구,78970158419.0,4197542.0,6.1,17619355786.0,4198.0,22.3,22.3
서울특별시,강남구,391235070318.0,7118497.0,30.1,50673005096.0,7118.0,13.0,13.0
서울특별시,강동구,391235070318.0,2610955.0,30.1,6817087527.0,2611.0,1.7,1.7
서울특별시,강북구,391235070318.0,2135886.0,30.1,4562010673.0,2136.0,1.2,1.2
서울특별시,강서구,391235070318.0,5478583.0,30.1,30014866229.0,5479.0,7.7,7.7
서울특별시,관악구,391235070318.0,2700809.0,30.1,7294371917.0,2701.0,1.9,1.9
서울특별시,광진구,391235070318.0,2983089.0,30.1,8898821808.0,2983.0,2.3,2.3
서울특별시,구로구,391235070318.0,3039900.0,30.1,9240991100.0,3040.0,2.4,2.4
