BASE_DATE,SGG_NM,KTO_TOB_MCLS_NM,CNSM_AMT,SPPY_CNSM_AMT
202401,김포시,관광총소비,95515622.0,99038039.0
202401,화성시,관광총소비,147877144.0,152817499.0
202401,광주시,관광총소비,62575999.0,64770585.0
202401,양주시,관광총소비,44179267.0,44861822.0
202401,포천시,관광총소비,37703795.0,41180856.0
202401,여주시,관광총소비,55378192.0,61550230.0
202401,연천군,관광총소비,4889309.0,4801024.0
202401,가평군,관광총소비,24054454.0,27022529.0
202401,양평군,관광총소비,22657091.0,26232302.0
202401,청주시,관광총소비,230981705.0,247801960.0
202401,청주시 상당구,관광총소비,45317675.0,49837012.0
202401,청주시 서원구,관광총소비,53182666.0,57143066.0
202401,청주시 흥덕구,관광총소비,82900653.0,90135893.0
202401,청주시 청원구,관광총소비,49580711.0,50685989.0
202401,충주시,관광총소비,32944406.0,34442720.0
202401,제천시,관광총소비,22528995.0,27991742.0
202401,보은군,관광총소비,4696945.0,5356702.0
202401,옥천군,관광총소비,10168482.0,11628028.0
202401,영동군,관광총소비,4839882.0,5792317.0
202401,증평군,관광총소비,9164769.0,10281597.0
202401,진천군,관광총소비,20265397.0,21308717.0
202401,괴산군,관광총소비,9538235.0,10893345.0
202401,음성군,관광총소비,31473360.0,33723592.0
202401,단양군,관광총소비,7394321.0,8175544.0
202401,천안시,관광총소비,135976945.0,143520615.0
202401,천안시 동남구,관광총소비,59049041.0,62680946.0
202401,천안시 서북구,관광총소비,76927904.0,80839670.0
202401,공주시,관광총소비,29561220.0,30105349.0
202401,보령시,관광총소비,15600239.0,18657085.0
202401,아산시,관광총소비,51811261.0,49875686.0
202401,서산시,관광총소비,21181150.0,23267444.0
202401,논산시,관광총소비,18806649.0,20891063.0
202401,계룡시,관광총소비,4375432.0,4561214.0
202401,당진시,관광총소비,35658532.0,35860511.0
202401,금산군,관광총소비,8744517.0,10302163.0
202401,부여군,관광총소비,9617326.0,12439813.0
202401,서천군,관광총소비,6940491.0,8624606.0
202401,청양군,관광총소비,3577915.0,4004532.0
202401,홍성군,관광총소비,14439290.0,14998663.0
202401,예산군,관광총소비,19191063.0,20035491.0
202401,태안군,관광총소비,10230264.0,11770104.0
202401,목포시,관광총소비,30323872.0,31819476.0
202401,목포시,관광총소비,30323872.0,31819476.0
202401,여수시,관광총소비,38229017.0,41926488.0
202401,여수시,관광총소비,38229017.0,41926488.0
202401,순천시,관광총소비,28379789.0,32564046.0
202401,순천시,관광총소비,28379789.0,32564046.0
