BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
202603,전국,관광총소비,0000,13466425592.0,12637791817.0
202604,전국,관광총소비,0000,13319305914.0,12048957560.0
202605,전국,관광총소비,0000,14802995416.0,13643477689.0
202606,전국,관광총소비,0000,13157113419.0,12161463262.0
201801,전국,관광총소비,0000,10864435576.0,0.0
201802,전국,관광총소비,0000,10416167847.0,0.0
201803,전국,관광총소비,0000,11549901700.0,0.0
201804,전국,관광총소비,0000,11498241537.0,0.0
201805,전국,관광총소비,0000,12528353277.0,0.0
201806,전국,관광총소비,0000,11917498976.0,0.0
201807,전국,관광총소비,0000,12460700850.0,0.0
201808,전국,관광총소비,0000,12616991390.0,0.0
201809,전국,관광총소비,0000,12671781790.0,0.0
201810,전국,관광총소비,0000,12410681435.0,0.0
201811,전국,관광총소비,0000,11832469358.0,0.0
201812,전국,관광총소비,0000,12735511300.0,0.0
201901,전국,관광총소비,0000,11830724188.0,10864435576.0
201902,전국,관광총소비,0000,10713263923.0,10416167847.0
201903,전국,관광총소비,0000,12435590559.0,11549901700.0
201904,전국,관광총소비,0000,10993378380.0,11498241537.0
201905,전국,관광총소비,0000,12193243262.0,12528353277.0
201906,전국,관광총소비,0000,11543757107.0,11917498976.0
201907,전국,관광총소비,0000,11492117584.0,12460700850.0
201908,전국,관광총소비,0000,12561539243.0,12616991390.0
201909,전국,관광총소비,0000,11356039088.0,12671781790.0
201910,전국,관광총소비,0000,12185592983.0,12410681435.0
201911,전국,관광총소비,0000,11828861408.0,11832469358.0
201912,전국,관광총소비,0000,12320712354.0,12735511300.0
202001,전국,관광총소비,0000,11337308935.0,11830724188.0
202002,전국,관광총소비,0000,8737680857.0,10713263923.0
202003,전국,관광총소비,0000,8314042969.0,12435590559.0
202004,전국,관광총소비,0000,9167773984.0,10993378380.0
202005,전국,관광총소비,0000,10833170434.0,12193243262.0
202006,전국,관광총소비,0000,10202896352.0,11543757107.0
202007,전국,관광총소비,0000,10553420309.0,11492117584.0
202008,전국,관광총소비,0000,10550521251.0,12561539243.0
202009,전국,관광총소비,0000,9946604763.0,11356039088.0
202010,전국,관광총소비,0000,10819748766.0,12185592983.0
202011,전국,관광총소비,0000,10105682534.0,11828861408.0
202012,전국,관광총소비,0000,8572173962.0,12320712354.0
202101,전국,관광총소비,0000,8437798488.0,11337308935.0
202102,전국,관광총소비,0000,8989604948.0,8737680857.0
202103,전국,관광총소비,0000,10256241515.0,8314042969.0
202104,전국,관광총소비,0000,10451206048.0,9167773984.0
202105,전국,관광총소비,0000,11142720197.0,10833170434.0
202106,전국,관광총소비,0000,10620775966.0,10202896352.0
202107,전국,관광총소비,0000,10634689232.0,10553420309.0
202108,전국,관광총소비,0000,10527578723.0,10550521251.0
202109,전국,관광총소비,0000,11059499626.0,9946604763.0
202110,전국,관광총소비,0000,12233938828.0,10819748766.0
202111,전국,관광총소비,0000,11827259092.0,10105682534.0
202112,전국,관광총소비,0000,11311343832.0,8572173962.0
202201,전국,관광총소비,0000,11080048264.0,8437798488.0
202202,전국,관광총소비,0000,8831264724.0,8989604948.0
202203,전국,관광총소비,0000,10732184737.0,10256241515.0
202204,전국,관광총소비,0000,12432723475.0,10451206048.0
202205,전국,관광총소비,0000,13855294304.0,11142720197.0
202206,전국,관광총소비,0000,12753512930.0,10620775966.0
202207,전국,관광총소비,0000,13541602114.0,10634689232.0
202208,전국,관광총소비,0000,13148460499.0,10527578723.0
202209,전국,관광총소비,0000,12759337615.0,11059499626.0
202210,전국,관광총소비,0000,14278920757.0,12233938828.0
202211,전국,관광총소비,0000,12781549131.0,11827259092.0
