조회_시도,조회기간,BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT
43,2024_1-8,202407,충청북도,관광총소비,00,1525908.0
43,2024_1-8,202408,충청북도,관광총소비,00,1520513.0
43,2026_1-8,202601,충청북도,관광총소비,00,1719902.0
43,2026_1-8,202602,충청북도,관광총소비,00,1632033.0
43,2026_1-8,202603,충청북도,관광총소비,00,3817708.0
43,2026_1-8,202604,충청북도,관광총소비,00,3853376.0
43,2026_1-8,202605,충청북도,관광총소비,00,4268131.0
43,2026_1-8,202606,충청북도,관광총소비,00,3818687.0
43,2026_1-8,202607,충청북도,관광총소비,00,3195775.0
43,2026_1-8,202608,충청북도,관광총소비,00,3363815.0
43,2025,202502,충청북도,관광총소비,00,1292252.0
43,2025,202501,충청북도,관광총소비,00,1428974.0
43,2025,202504,충청북도,관광총소비,00,2251397.0
43,2025,202503,충청북도,관광총소비,00,2154366.0
43,2025,202506,충청북도,관광총소비,00,2215573.0
43,2025,202505,충청북도,관광총소비,00,2423617.0
43,2025,202507,충청북도,관광총소비,00,2145786.0
43,2025,202509,충청북도,관광총소비,00,2715386.0
43,2025,202508,충청북도,관광총소비,00,2018351.0
43,2025,202511,충청북도,관광총소비,00,4794017.0
43,2025,202510,충청북도,관광총소비,00,2827567.0
43,2025,202512,충청북도,관광총소비,00,2507636.0
00,2024_1-8,202401,전국,관광총소비,00,515209154.0
00,2024_1-8,202402,전국,관광총소비,00,490874656.0
00,2024_1-8,202403,전국,관광총소비,00,720114375.0
00,2024_1-8,202404,전국,관광총소비,00,828496830.0
00,2024_1-8,202405,전국,관광총소비,00,809518318.0
00,2024_1-8,202406,전국,관광총소비,00,819169383.0
00,2024_1-8,202407,전국,관광총소비,00,751514209.0
00,2024_1-8,202408,전국,관광총소비,00,770609552.0
00,2026_1-8,202601,전국,관광총소비,00,885932876.0
00,2026_1-8,202602,전국,관광총소비,00,801938090.0
00,2026_1-8,202603,전국,관광총소비,00,1335037755.0
00,2026_1-8,202604,전국,관광총소비,00,1597129304.0
00,2026_1-8,202605,전국,관광총소비,00,1687728507.0
00,2026_1-8,202606,전국,관광총소비,00,1638409371.0
00,2026_1-8,202607,전국,관광총소비,00,1510219623.0
