조회_SGG_CD,조회_지역,조회기간,CD_NM1,THIS_YEAR_VAL,SPPY_YEAR_VAL,CARD_AMT,CARD_PER
47170,경상북도 안동시,202501-202512,숙박업,7220849.0,,,
47170,경상북도 안동시,202501-202512,여행업,270406.0,,,
47170,경상북도 안동시,202501-202512,운송업,68418257.0,,,
