조회_SGG_CD,조회_지역,조회기간,CMPR_SGG_CD_1,SIDO_NM,SGG_NM,CMPR_SGG_CD_2,NAV_SRCH_TYPE_CMPR
47170,경상북도 안동시,202501-202512,47170,경상북도 안동시,경상북도 문경시,47280,0.9998449886391428
47170,경상북도 안동시,202501-202512,47170,경상북도 안동시,충청남도 예산군,44810,0.9997490326881282
47170,경상북도 안동시,202501-202512,47170,경상북도 안동시,경상북도 예천군,47900,0.999748264385127
