조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE,TOT_DTL_TOU_NUM_RATE
47170,경상북도 안동시,202401-202408,기타,기타,41623.0,204.0,29.5,29.45
47170,경상북도 안동시,202401-202408,베트남,베트남,37578.0,194.0,26.6,26.59
47170,경상북도 안동시,202401-202408,중국,중국,9484.0,97.0,6.7,6.71
47170,경상북도 안동시,202401-202408,일본,일본,8237.0,91.0,5.8,5.83
47170,경상북도 안동시,202401-202408,말레이시아,말레이시아,6568.0,81.0,4.6,4.65
47170,경상북도 안동시,202401-202408,대만,대만,5463.0,74.0,3.9,3.87
47170,경상북도 안동시,202401-202408,미국,미국,3894.0,62.0,2.8,2.76
47170,경상북도 안동시,202401-202408,프랑스,프랑스,3304.0,57.0,2.3,2.34
47170,경상북도 안동시,202401-202408,독일,독일,3023.0,55.0,2.1,2.14
47170,경상북도 안동시,202401-202408,인도네시아,인도네시아,2740.0,52.0,1.9,1.94
47170,경상북도 안동시,202401-202408,태국,태국,2621.0,51.0,1.9,1.85
47170,경상북도 안동시,202401-202408,홍콩,홍콩,2478.0,50.0,1.8,1.75
47170,경상북도 안동시,202401-202408,싱가포르,싱가포르,2109.0,46.0,1.5,1.49
47170,경상북도 안동시,202401-202408,필리핀,필리핀,1972.0,44.0,1.4,1.4
47170,경상북도 안동시,202401-202408,영국,영국,1844.0,43.0,1.3,1.3
47170,경상북도 안동시,202401-202408,러시아,러시아,1736.0,42.0,1.2,1.23
47170,경상북도 안동시,202401-202408,캐나다,캐나다,1479.0,38.0,1.0,1.05
47170,경상북도 안동시,202401-202408,오스트레일리아,오스트레일리아,1356.0,37.0,1.0,0.96
47170,경상북도 안동시,202401-202408,몽골,몽골,1266.0,36.0,0.9,0.9
47170,경상북도 안동시,202401-202408,인도,인도,1012.0,32.0,0.7,0.72
47170,경상북도 안동시,202401-202408,카자흐스탄,카자흐스탄,651.0,26.0,0.5,0.46
47170,경상북도 안동시,202401-202408,튀르키예,튀르키예,502.0,22.0,0.4,0.36
47170,경상북도 안동시,202401-202408,멕시코,멕시코,282.0,17.0,0.2,0.2
47170,경상북도 안동시,202401-202408,사우디아라비아,사우디아라비아,58.0,8.0,0.0,0.04
47170,경상북도 안동시,202401-202408,아랍에미리트,아랍에미리트,32.0,6.0,0.0,0.02
