조회_SGG_CD,조회_지역,조회기간,KTO_TOB_MCLS_NM,GEN_CD,AGED_DIV_CD,AGED_PER
47170,경상북도 안동시,202501-202512,일반외식업,여성,50대,18.7
47170,경상북도 안동시,202501-202512,육상운송,여성,50대,23.7
47170,경상북도 안동시,202501-202512,기타관광쇼핑,여성,50대,17.0
