조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_TOU_NUM,TOU_NUM
44,2025,30,대전광역시,2,외국인,611329.0,1191378.0
44,2025,36,세종특별자치시,2,외국인,244513.0,475625.0
52,2024_1-8,41,경기도,1,내국인,185049757.0,418092986.0
52,2024_1-8,11,서울특별시,1,내국인,169961734.0,394230336.0
52,2024_1-8,28,인천광역시,1,내국인,53092587.0,118083906.0
52,2024_1-8,47,경상북도,1,내국인,52758120.0,118252319.0
52,2024_1-8,44,충청남도,1,내국인,49493024.0,109549306.0
52,2024_1-8,51,강원특별자치도,1,내국인,48000483.0,100240955.0
52,2024_1-8,48,경상남도,1,내국인,47661970.0,104650598.0
52,2024_1-8,26,부산광역시,1,내국인,47129741.0,99754130.0
52,2024_1-8,46,전라남도,1,내국인,38614325.0,84930716.0
52,2024_1-8,43,충청북도,1,내국인,33828290.0,76036429.0
52,2024_1-8,27,대구광역시,1,내국인,32434397.0,69765307.0
52,2024_1-8,52,전북특별자치도,1,내국인,29790107.0,63453001.0
52,2024_1-8,30,대전광역시,1,내국인,25423139.0,56348670.0
52,2024_1-8,29,광주광역시,1,내국인,20848970.0,44217418.0
52,2024_1-8,50,제주특별자치도,1,내국인,20588904.0,39480735.0
52,2024_1-8,31,울산광역시,1,내국인,15018105.0,33261483.0
52,2024_1-8,36,세종특별자치시,1,내국인,7991017.0,18596210.0
52,2024_1-8,11,서울특별시,2,외국인,14111743.0,26851352.0
52,2024_1-8,41,경기도,2,외국인,7398872.0,14811965.0
52,2024_1-8,28,인천광역시,2,외국인,6977873.0,14345701.0
52,2024_1-8,50,제주특별자치도,2,외국인,4064402.0,7930589.0
52,2024_1-8,26,부산광역시,2,외국인,3721487.0,7280570.0
52,2024_1-8,48,경상남도,2,외국인,2474770.0,4981954.0
52,2024_1-8,46,전라남도,2,외국인,2469734.0,4780928.0
52,2024_1-8,47,경상북도,2,외국인,1450550.0,2892055.0
52,2024_1-8,44,충청남도,2,외국인,1334006.0,2642443.0
52,2024_1-8,31,울산광역시,2,외국인,1083695.0,2181661.0
52,2024_1-8,51,강원특별자치도,2,외국인,1016677.0,2144258.0
52,2024_1-8,43,충청북도,2,외국인,874526.0,1724871.0
52,2024_1-8,52,전북특별자치도,2,외국인,785474.0,1538438.0
52,2024_1-8,27,대구광역시,2,외국인,636041.0,1234274.0
52,2024_1-8,30,대전광역시,2,외국인,325941.0,636112.0
52,2024_1-8,29,광주광역시,2,외국인,304687.0,591799.0
52,2024_1-8,36,세종특별자치시,2,외국인,111804.0,218818.0
52,2026_1-8,41,경기도,1,내국인,194570147.0,438468310.0
