조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_C,SRCH_CNT
47170,경상북도 안동시,202401-202408,74,130249FD33A5B138E7B6A7FA90F60FD7,654585672a1038f3db72285b458d49b0,교동면옥안동옥동점,한식,691
47170,경상북도 안동시,202401-202408,74,ABA6B72A9003DC6AC6A6351F3439BFFD,42fc7df79e660c2355ea98b989aa494e,국가대표빵선생,간이음식,691
47170,경상북도 안동시,202401-202408,76,86D111CA04B62561076E26449E37D80E,c5ec3a8332270bdca6bda58f0083f409,동굴매운탕,한식,670
47170,경상북도 안동시,202401-202408,77,9242F6211292D559D1661090ECAF0E30,e636c9ee05f02d0a8f702947b1b4ed06,그녀의홈카페,카페/찻집,669
47170,경상북도 안동시,202401-202408,78,A27F0AFE076D94415F5155E82E6BEB12,c471fd2d811c71d8ce2447987d97ca91,황소곳간,한식,665
47170,경상북도 안동시,202401-202408,79,835EE7854E5D7D9FF36BAAB9B9354E7F,db00304955b6aca7c85d9b8fad30693c,옛날이야기,카페/찻집,647
47170,경상북도 안동시,202401-202408,80,BBDD3F602B22D27979100CE87B803164,e597799b72b32e53aad0f5a700acc060,투썸플레이스경북도청점,카페/찻집,644
47170,경상북도 안동시,202401-202408,81,74B5E2FEF1DA110CE3AC6CBE86C7DD3E,a5628a34dd9c38a7b187c65cef603b3c,카페서원,카페/찻집,632
47170,경상북도 안동시,202401-202408,82,B4BE015D9A2DE9D0602E8F03A4E7E589,33d392ef35e876ca8411199bcc38e77a,거창숯불갈비,한식,628
47170,경상북도 안동시,202401-202408,83,9DA0A22902EE747ACA332E0D0073B92F,1c353a750cf965d258be17bfbf5fcea5,안동간고등어숯불가든본점,한식,607
47170,경상북도 안동시,202401-202408,84,4E45B82E2E35745444F278626621EAC0,1fd801018917f9788c2e58a3b9721a39,안동김대감찜닭,전문음식,604
47170,경상북도 안동시,202401-202408,85,A2F84D59DBDEFA205C11D8BC9AB254DF,6a44f09e11afd1709d2afba87373c663,나드리김밥경북도청점,간이음식,598
47170,경상북도 안동시,202401-202408,86,C2F8EABF837AEBCE1F02E384A475DB63,4b3c16f854bf5103abfa0bea97269cd8,병산손국수,한식,592
47170,경상북도 안동시,202401-202408,87,24326BF8176CA2A6C9245B54B70A79DE,70aae94f60aaa5bf8d212a95c1fdc3f8,버거킹경북도청점,간이음식,587
47170,경상북도 안동시,202401-202408,88,93FD66B3088467AD09D9F4D869B3F0F1,d185f66724429c739c4a81439a121ed5,경복궁,한식,578
47170,경상북도 안동시,202401-202408,89,8461187CD35A2B36A15F5395A099DD77,3adbcf607666d0cb690dd7a030245624,진성식당,전문음식,563
