조회_SGG_CD,조회_지역,조회기간,CD_NM1,THIS_YEAR_VAL,SPPY_YEAR_VAL,CARD_AMT,CARD_PER
47170,경상북도 안동시,202401-202408,숙박업,3332171.0,,,
47170,경상북도 안동시,202401-202408,여행업,40774.0,,,
47170,경상북도 안동시,202401-202408,운송업,45863096.0,,,
