조회_SGG_CD,조회_지역,조회기간,RK,CNTRL_POI_ID,MD5_POI_ID,CNTRL_SIDO_CD,CNTRL_SIDO_NM,CNTRL_SGG_CD,CNTRL_SGG_NM,CNTRL_POI_X_COORD,CNTRL_POI_Y_COORD,CNTRL_TAR_NM,RLTN_TAR_NM,CNTRL_TAR_ADDR_ROAD_NM,RLTN_CATE_NM_LARGE,RLTN_CATE_NM_MIDL,CNTRL_CATE_NM_LARGE,CNTRL_CATE_NM_MIDL,DGRE_CNTRL,BASE_YM
47170,경상북도 안동시,202601-202608,1,805DB1A51BD0A535C76D9B07EEFE8A9F,20f293475800f79e12653fa07c97258b,47,경상북도,47170,안동시,128.7609,36.5765,월영교,월영교,경북 안동시,관광지,기타관광,관광지,기타관광,4.246519022630317,202608
47170,경상북도 안동시,202601-202608,2,3B4656B45B731E7F16BBF5B3D1C4F8AE,446c3106f3d69d4cef86e1cfe0b876bf,47,경상북도,47170,안동시,128.5179,36.539,안동하회마을,안동하회마을,경북 안동시 하회종가길 2-1,관광지,역사관광,관광지,역사관광,3.186175122633686,202608
47170,경상북도 안동시,202601-202608,3,6A8AE4410EE675B86DBF6B6898C9DEB5,365d558c221846b3e972433e9691b393,47,경상북도,47170,안동시,128.8432,36.7273,도산서원,도산서원,경북 안동시 도산서원길 154-0,관광지,역사관광,관광지,역사관광,2.1127825338760093,202608
47170,경상북도 안동시,202601-202608,4,42E8AED63CD20640B5F2FD04275DD257,0cd50eb0d6cfdb3bb1560c0f51fb2504,47,경상북도,47170,안동시,128.5527,36.5404,병산서원,병산서원,경북 안동시 병산길 386-0,관광지,역사관광,관광지,역사관광,1.7279847383844682,202608
47170,경상북도 안동시,202601-202608,5,D3CBBA7E99D06CF450917CE4D16CAC47,20c99c680bff19bd1d0925e3aeb26f86,47,경상북도,47170,안동시,128.6625,36.6533,봉정사,봉정사,경북 안동시 봉정사길 222-0,관광지,역사관광,관광지,역사관광,1.6301886996652075,202608
47170,경상북도 안동시,202601-202608,6,6BC165A4B9DBCFC9692AF7706FC0794D,fdeb515b719050ed2934841d46f2040a,47,경상북도,47170,안동시,128.6748,36.5747,안동역,안동역,경북 안동시 경동로 122-16,관광지,기타관광,관광지,기타관광,1.2687265607625442,202608
47170,경상북도 안동시,202601-202608,7,FF6035F6D19F7D99925C2FC5E5547B03,d709d495a429adce5e59f46969e89f42,47,경상북도,47170,안동시,128.509,36.5685,스탠포드호텔/안동,스탠포드호텔/안동,경북 안동시 도청대로 400-0,숙박,숙박,숙박,숙박,1.2021765506422364,202608
47170,경상북도 안동시,202601-202608,8,9C8CCE57E3CBA93E49B18E092BF85DF5,976e0f7abaa5c9f9cd2dec1287213a7b,47,경상북도,47170,안동시,128.5165,36.5426,낙동강12경(부용경)/부용대,낙동강12경(부용경)/부용대,경북 안동시 광덕솔밭길 72-0,관광지,역사관광,관광지,역사관광,0.872948455599437,202608
47170,경상북도 안동시,202601-202608,9,041858CAF2C91C84AA7C2531564C6126,2fffa6dd1b50ced2b3d67b862bf2f61d,47,경상북도,47170,안동시,128.9098,36.4104,만휴정,만휴정,경북 안동시 묵계하리길 42-0,관광지,역사관광,관광지,역사관광,0.7534379791091054,202608
47170,경상북도 안동시,202601-202608,10,6CB787495DB3768DFC41FD53228103C6,101c58daf41e6c21759125ffe828e86e,47,경상북도,47170,안동시,128.6758,36.5744,안동터미널,안동터미널,경북 안동시 경동로 130-0,관광지,기타관광,관광지,기타관광,0.6702521768277807,202608
