조회연도,DIV_NM,ROWNUM,EMD_CD,EMD_NM,ITS_BRO_ID,ITS_BRO_NM,ADDR_ROAD_NM,KTO_CATE_SCLS_NM,SRCH_CNT
2022,전체,6,47170510,중구동,1312936,안동임청각공사중(2024년완공예정),경북 안동시 임청각길 63-0,역사유적지,104
2022,전체,7,47170510,중구동,10348065,모디684,경북 안동시 경동로 684-0,기타문화관광지,88
2022,전체,8,47170510,중구동,2882464,안동중앙문화의거리,경북 안동시,기타쇼핑시설,86
2022,전체,9,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,32
2022,전체,10,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,26
2022,전체,11,47170510,중구동,1312649,안동태사묘,경북 안동시 태사길 13-0,역사유적지,20
2022,현지인,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,40
2022,현지인,2,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,36
2022,현지인,3,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,14
2022,현지인,3,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,14
2022,현지인,5,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,10
2022,현지인,6,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,6
2022,현지인,6,47170510,중구동,10348065,모디684,경북 안동시 경동로 684-0,기타문화관광지,6
2022,현지인,6,47170510,중구동,1312936,안동임청각공사중(2024년완공예정),경북 안동시 임청각길 63-0,역사유적지,6
2022,현지인,6,47170510,중구동,10225842,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설,6
2022,현지인,10,47170510,중구동,1312649,안동태사묘,경북 안동시 태사길 13-0,역사유적지,4
2022,현지인,11,47170510,중구동,2882464,안동중앙문화의거리,경북 안동시,기타쇼핑시설,2
2023,외지인,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,5744
2023,외지인,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,2128
2023,외지인,3,47170510,중구동,1155859,안동국제탈춤페스티벌,경북 안동시 육사로 239-0,기타문화관광지,1912
2023,외지인,4,47170510,중구동,10225842,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설,846
2023,외지인,5,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,702
2023,외지인,6,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,638
2023,외지인,7,47170510,중구동,2882464,안동중앙문화의거리,경북 안동시,기타쇼핑시설,458
