조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_C,SRCH_NTV_CNT
47170,경상북도 안동시,202401-202408,1,8FB981CDF3BAA325AC5BE4B45A28C1EC,b1197a937fe9631d363597593ea51bfb,스타벅스안동강변DT점,카페/찻집,2443
47170,경상북도 안동시,202401-202408,2,EC011C23A6B2CF31C12704E194ABAEAD,3e54cfb3b3b84acd551bf082997531bf,맘모스베이커리남부본점,간이음식,1703
47170,경상북도 안동시,202401-202408,3,0FBA58C292177C928CB72B4E7DF2696E,a4e46da5595fde44d05fc900c8b7b790,신촌닭백숙식당,한식,1531
47170,경상북도 안동시,202401-202408,4,9FF3E771BA051DC2476B06D932A7955B,dec62406ebb257630ea0c7c64ed68d3a,폴모스트,카페/찻집,1472
47170,경상북도 안동시,202401-202408,5,35C0732F89636F73EB34930A4896ECF6,c761025fe0d45b3150c591dd59da63be,다이닝원안동점,전문음식,1398
47170,경상북도 안동시,202401-202408,6,536CD9CE4CCC68C00548588BE6964A57,bfdff166461906418b5143bd779d8fa9,맥도날드안동DT점,간이음식,1389
47170,경상북도 안동시,202401-202408,7,AAE1C13E300A766885073DB8E7191C3D,24e32523ff728febd6436991cd09151f,까치와호랑이,카페/찻집,1249
47170,경상북도 안동시,202401-202408,8,0D7A266AE37B433B6F52B298661D1644,456a9274b1bcc69301d510350d6b374e,일직식당,한식,1214
47170,경상북도 안동시,202401-202408,9,323569E9E40AD83A8EC4CE1CE04AF501,bcd310a73b7ca4a3668a60d80dccd705,회왕[일식],외국식,1196
47170,경상북도 안동시,202401-202408,10,14C90B5ABE5CACC72377414E30A9A640,375877e160c9eaed2620c2ac56168777,핸즈커피안동댐점,카페/찻집,1120
47170,경상북도 안동시,202401-202408,11,7F5BEDE2D7DDE6A5595E3092D80AED8E,02b7b26820acf09b21826c2510024376,먼다리생선구이,한식,1062
47170,경상북도 안동시,202401-202408,12,B0BEF2E76819DD3753DC119518CF3C6F,443960accffffae6e363a7886987abe8,비욘드,카페/찻집,1051
47170,경상북도 안동시,202401-202408,13,875433D77C818781717FA22CACCF06A8,b5eacdc9f9281c4120cf321a8f5adf5c,월영당,카페/찻집,971
47170,경상북도 안동시,202401-202408,14,B8EB83301D73CA6984B0265546FEF6F4,a53aeaeaa931cf2a93705a5902ca2a01,동악골금재가든,한식,950
47170,경상북도 안동시,202401-202408,15,B16572349A0FE5938C1EB841CEC291AD,602006a5f5996cea67da891ea42e596a,소담촌안동점,전문음식,898
47170,경상북도 안동시,202401-202408,16,79D4B660256E8D9BB797F3AF248EA2B2,a7595c1dde46a3e5ff04908cc3028b76,바토플루이르안동점,카페/찻집,871
47170,경상북도 안동시,202401-202408,17,FF978541E72A87986FC6356BF6B5EC4F,7ab5779d0b6e6530cf0b2e50aadc5c69,한상채비,한식,863
47170,경상북도 안동시,202401-202408,18,DD80BB7D548863206BF48DB033BDBF04,ac5f2fe3b96fc0c071769bf2afbe151b,396커피컴퍼니,카페/찻집,862
47170,경상북도 안동시,202401-202408,19,924602C97B4583AFE14C5632CA1F46C0,2441bd830e162102d101541a1f24e577,가야숯불구이안동본점,한식,845
47170,경상북도 안동시,202401-202408,20,FE3B07499021D28492B9CFC54B86172F,79a17959eaa0fc74df8d4e107d2c4c23,윤훈식농가쌈밥도청점,한식,796
47170,경상북도 안동시,202401-202408,21,08AC31A497EDF1C2E7FF9DF45B7081CC,d61f48c14c8c98fc9ae5b6778d04f333,옥동손국수,한식,777
47170,경상북도 안동시,202401-202408,22,EA074C8F8FCBB6279D3E6BD1ABC2C12A,9cff2fca444044d311e45e8f402bc617,안동간고등어직영식당,한식,753
