조회_시도,조회기간,BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,CNSM_AMT
47,2024_1-8,202404,경상북도,관광총소비,465397047.0
47,2024_1-8,202403,경상북도,관광총소비,468716261.0
47,2024_1-8,202402,경상북도,관광총소비,421678375.0
47,2024_1-8,202401,경상북도,관광총소비,405841057.0
47,2024_1-8,202408,경상북도,관광총소비,513333141.0
47,2024_1-8,202407,경상북도,관광총소비,458304445.0
47,2024_1-8,202406,경상북도,관광총소비,466427354.0
47,2024_1-8,202405,경상북도,관광총소비,504585995.0
47,2026_1-8,202604,경상북도,관광총소비,511177039.0
47,2026_1-8,202603,경상북도,관광총소비,497427037.0
47,2026_1-8,202602,경상북도,관광총소비,457596768.0
47,2026_1-8,202601,경상북도,관광총소비,458558742.0
47,2026_1-8,202608,경상북도,관광총소비,541893054.0
47,2026_1-8,202607,경상북도,관광총소비,513254559.0
47,2026_1-8,202606,경상북도,관광총소비,502959097.0
47,2026_1-8,202605,경상북도,관광총소비,577348510.0
47,2025,202504,경상북도,관광총소비,437083796.0
47,2025,202503,경상북도,관광총소비,448027765.0
47,2025,202502,경상북도,관광총소비,378564643.0
47,2025,202501,경상북도,관광총소비,444908025.0
47,2025,202508,경상북도,관광총소비,515226242.0
47,2025,202507,경상북도,관광총소비,469836475.0
47,2025,202506,경상북도,관광총소비,437509392.0
47,2025,202505,경상북도,관광총소비,499372011.0
47,2025,202512,경상북도,관광총소비,481128434.0
47,2025,202511,경상북도,관광총소비,510257930.0
47,2025,202510,경상북도,관광총소비,544834678.0
47,2025,202509,경상북도,관광총소비,443084177.0
44,2024_1-8,202404,충청남도,관광총소비,481466871.0
44,2024_1-8,202403,충청남도,관광총소비,479930332.0
44,2024_1-8,202402,충청남도,관광총소비,414255827.0
44,2024_1-8,202401,충청남도,관광총소비,396665327.0
44,2024_1-8,202408,충청남도,관광총소비,510617583.0
44,2024_1-8,202407,충청남도,관광총소비,451211821.0
44,2024_1-8,202406,충청남도,관광총소비,486109863.0
44,2024_1-8,202405,충청남도,관광총소비,517594385.0
44,2026_1-8,202604,충청남도,관광총소비,510419747.0
44,2026_1-8,202603,충청남도,관광총소비,485333234.0
44,2026_1-8,202602,충청남도,관광총소비,440917551.0
44,2026_1-8,202601,충청남도,관광총소비,441634828.0
44,2026_1-8,202608,충청남도,관광총소비,538861997.0
44,2026_1-8,202607,충청남도,관광총소비,507664211.0
44,2026_1-8,202606,충청남도,관광총소비,502958119.0
44,2026_1-8,202605,충청남도,관광총소비,585856351.0
44,2025,202504,충청남도,관광총소비,454819660.0
44,2025,202503,충청남도,관광총소비,459541980.0
44,2025,202502,충청남도,관광총소비,364966055.0
44,2025,202501,충청남도,관광총소비,422091362.0
44,2025,202508,충청남도,관광총소비,506602413.0
44,2025,202507,충청남도,관광총소비,465970863.0
44,2025,202506,충청남도,관광총소비,450347216.0
44,2025,202505,충청남도,관광총소비,519843453.0
44,2025,202512,충청남도,관광총소비,467203016.0
44,2025,202511,충청남도,관광총소비,507325699.0
44,2025,202510,충청남도,관광총소비,548964252.0
44,2025,202509,충청남도,관광총소비,462942149.0
52,2024_1-8,202404,전북특별자치도,관광총소비,281511694.0
52,2024_1-8,202403,전북특별자치도,관광총소비,286403096.0
52,2024_1-8,202402,전북특별자치도,관광총소비,265290338.0
52,2024_1-8,202401,전북특별자치도,관광총소비,250437732.0
52,2024_1-8,202408,전북특별자치도,관광총소비,306266867.0
52,2024_1-8,202407,전북특별자치도,관광총소비,275804144.0
52,2024_1-8,202406,전북특별자치도,관광총소비,288246524.0
52,2024_1-8,202405,전북특별자치도,관광총소비,314722590.0
52,2026_1-8,202604,전북특별자치도,관광총소비,303524066.0
52,2026_1-8,202603,전북특별자치도,관광총소비,306738803.0
52,2026_1-8,202602,전북특별자치도,관광총소비,293729097.0
52,2026_1-8,202601,전북특별자치도,관광총소비,284695822.0
52,2026_1-8,202608,전북특별자치도,관광총소비,328777682.0
52,2026_1-8,202607,전북특별자치도,관광총소비,308364034.0
52,2026_1-8,202606,전북특별자치도,관광총소비,298258074.0
52,2026_1-8,202605,전북특별자치도,관광총소비,353324023.0
52,2025,202504,전북특별자치도,관광총소비,273951539.0
52,2025,202503,전북특별자치도,관광총소비,281112251.0
52,2025,202502,전북특별자치도,관광총소비,228465589.0
52,2025,202501,전북특별자치도,관광총소비,287402475.0
52,2025,202508,전북특별자치도,관광총소비,302902571.0
52,2025,202507,전북특별자치도,관광총소비,278637875.0
52,2025,202506,전북특별자치도,관광총소비,270719263.0
52,2025,202505,전북특별자치도,관광총소비,324340365.0
52,2025,202512,전북특별자치도,관광총소비,312432720.0
52,2025,202511,전북특별자치도,관광총소비,322295802.0
52,2025,202510,전북특별자치도,관광총소비,351999257.0
52,2025,202509,전북특별자치도,관광총소비,273900989.0
43,2024_1-8,202403,충청북도,관광총소비,482003381.0
