조회_SGG_CD,조회_지역,조회기간,DSTNC_DIV_NM,DSTNC_DIV_CD,TOU_NUM,TOU_NUM_RATE
47170,경상북도 안동시,202601-202608,30km 미만,1,537335.0,4.58
47170,경상북도 안동시,202601-202608,30km 이상 70km 미만,2,4224977.0,36.03
47170,경상북도 안동시,202601-202608,70km 이상 140km 미만 ,3,3409645.0,29.08
47170,경상북도 안동시,202601-202608,140km 이상 190km 미만,4,1674830.0,14.28
47170,경상북도 안동시,202601-202608,190km 이상 240km 미만,5,1733179.0,14.78
47170,경상북도 안동시,202601-202608,240km 이상 ,6,146333.0,1.25
