조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DISP_NM,DTL_TOU_NUM,TOT_DTL_TOU_NUM_RATE,TOU_NUM,TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE
47170,경상북도 안동시,202401-202408,경상북도,예천군,경상북도 예천군,1543790.0,14.0,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,영주시,경상북도 영주시,892371.0,8.1,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,의성군,경상북도 의성군,549252.0,5.0,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,청송군,경상북도 청송군,442083.0,4.0,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,구미시,경상북도 구미시,276202.0,2.5,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,영양군,경상북도 영양군,248764.0,2.3,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,경산시,경상북도 경산시,188948.0,1.7,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,봉화군,경상북도 봉화군,177810.0,1.6,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,문경시,경상북도 문경시,151012.0,1.4,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,포항시 북구,경상북도 포항시 북구,134054.0,1.2,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,상주시,경상북도 상주시,122809.0,1.1,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,경주시,경상북도 경주시,101574.0,0.9,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,포항시 남구,경상북도 포항시 남구,85388.0,0.8,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,칠곡군,경상북도 칠곡군,72089.0,0.7,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,김천시,경상북도 김천시,64223.0,0.6,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,영덕군,경상북도 영덕군,63230.0,0.6,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,영천시,경상북도 영천시,51825.0,0.5,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,울진군,경상북도 울진군,53280.0,0.5,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,성주군,경상북도 성주군,18625.0,0.2,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,청도군,경상북도 청도군,13097.0,0.1,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,고령군,경상북도 고령군,12787.0,0.1,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,경상북도,울릉군,경상북도 울릉군,7528.0,0.1,5270740.0,2296.0,47.8
47170,경상북도 안동시,202401-202408,대구광역시,북구,대구광역시 북구,371127.0,3.4,1598148.0,1264.0,14.5
47170,경상북도 안동시,202401-202408,대구광역시,달서구,대구광역시 달서구,335502.0,3.0,1598148.0,1264.0,14.5
47170,경상북도 안동시,202401-202408,대구광역시,수성구,대구광역시 수성구,250295.0,2.3,1598148.0,1264.0,14.5
47170,경상북도 안동시,202401-202408,대구광역시,동구,대구광역시 동구,230664.0,2.1,1598148.0,1264.0,14.5
47170,경상북도 안동시,202401-202408,대구광역시,달성군,대구광역시 달성군,137463.0,1.2,1598148.0,1264.0,14.5
47170,경상북도 안동시,202401-202408,대구광역시,서구,대구광역시 서구,84925.0,0.8,1598148.0,1264.0,14.5
47170,경상북도 안동시,202401-202408,대구광역시,남구,대구광역시 남구,83386.0,0.8,1598148.0,1264.0,14.5
47170,경상북도 안동시,202401-202408,대구광역시,중구,대구광역시 중구,63885.0,0.6,1598148.0,1264.0,14.5
